SI.No.,Category,State/UT/City,Total No. of Persons Arrested,New Offenders - Number,New offenders - Percentage to total,Old offenders Convicted in the past - Once - Number,Old offenders Convicted in the Past - Once - Percentage to total,Old offenders Convicted in the Past - Twice - Number,Old offenders Convicted in the past - Twice - Percentage to total,Old offenders Convicted in the past - Thrice or More - Number,Old offenders Convicted in the past - Thrice or More - Percentage to total,Old offenders Convicted in the past - Percentage of Recidivists [Col. 8+10+12]
1,State,Andhra Pradesh,193333,179872,93,11322,5.9,1671,0.9,468,0.2,7
2,State,Arunachal Pradesh,2144,1687,78.7,453,21.1,4,0.2,0,0,21.3
3,State,Assam,47071,44423,94.4,1890,4,558,1.2,200,0.4,5.6
4,State,Bihar,226429,198627,87.7,25775,11.4,1505,0.7,522,0.2,12.3
5,State,Goa,3538,3494,98.8,34,1,5,0.1,5,0.1,1.2
6,State,Gujarat,164973,152695,92.6,10598,6.4,1239,0.8,441,0.3,7.4
7,State,Haryana,52371,47646,91,3556,6.8,835,1.6,334,0.6,9
8,State,Himachal Pradesh,17105,15784,92.3,1177,6.9,107,0.6,37,0.2,7.7
9,State,Jammu & Kashmir,22027,22027,100,0,0,0,0,0,0,0
10,State,Karnataka,161577,156256,96.7,5064,3.1,188,0.1,69,0,3.3
11,State,Kerala,138492,126113,91.1,5012,3.6,4466,3.2,2901,2.1,8.9
12,State,Madhya Pradesh,306162,287197,93.8,14656,4.8,3393,1.1,916,0.3,6.2
13,State,Maharashtra,276826,266666,96.3,8782,3.2,719,0.3,659,0.2,3.7
14,State,Manipur,1189,1111,93.4,78,6.6,0,0,0,0,6.6
15,State,Meghalaya,2201,1583,71.9,394,17.9,162,7.4,62,2.8,28.1
16,State,Mizoram,2049,1869,91.2,102,5,68,3.3,10,0.5,8.8
17,State,Nagaland,1606,1449,90.2,90,5.6,52,3.2,15,0.9,9.8
18,State,Orissa,83151,77649,93.4,5252,6.3,195,0.2,55,0.1,6.6
19,State,Punjab,23678,20081,84.8,2794,11.8,752,3.2,51,0.2,15.2
20,State,Rajasthan,229038,202585,88.5,21327,9.3,3812,1.7,1314,0.6,11.5
21,State,Sikkim,815,799,98,11,1.3,4,0.5,1,0.1,2
22,State,Tamil Nadu,205642,168060,81.7,26502,12.9,9601,4.7,1479,0.7,18.3
23,State,Tripura,4422,4382,99.1,35,0.8,3,0.1,2,0,0.9
24,State,Uttar Pradesh,240862,232730,96.6,5829,2.4,1878,0.8,425,0.2,3.4
25,State,West Bengal,109233,105517,96.6,2796,2.6,603,0.6,317,0.3,3.4
Total States,State,Total States,2515934,2320302,92.2,153529,6.1,31820,1.3,10283,0.4,7.8
26,UT,A & N Islands,626,340,54.3,159,25.4,81,12.9,46,7.3,45.7
27,UT,Chandigarh,1913,1409,73.7,486,25.4,18,0.9,0,0,26.3
28,UT,D & N Haveli,395,395,100,0,0,0,0,0,0,0
29,UT,Daman & DIU,344,344,100,0,0,0,0,0,0,0
30,UT,Delhi,52130,48663,93.3,2594,5,484,0.9,389,0.7,6.7
31,UT,Lakshadweep,7,7,100,0,0,0,0,0,0,0
32,UT,Pondicherry,4478,4412,98.5,47,1,8,0.2,11,0.2,1.5
Total (UTs),UT,Total (UTs),59893,55570,92.8,3286,5.5,591,1,446,0.7,7.2
Total (All -India),Total (All -India),Total (All -India),2575827,2375872,92.2,156815,6.1,32411,1.3,10729,0.4,7.8
33,City,Ahmedabad,23002,18431,80.1,3950,17.2,538,2.3,83,0.4,19.9
34,City,Bangalore,20379,20094,98.6,206,1,59,0.3,20,0.1,1.4
35,City,Bhopal,11100,8619,77.6,1964,17.7,313,2.8,204,1.8,22.4
36,City,Bombay,25335,18154,71.7,6514,25.7,375,1.5,292,1.2,28.3
37,City,Calcutta,7865,7404,94.1,399,5.1,51,0.6,11,0.1,5.9
38,City,Coimbatore,4955,4671,94.3,74,1.5,98,2,112,2.3,5.7
39,City,Delhi,47216,43908,93,2474,5.2,463,1,371,0.8,7
40,City,Hyderabad,11488,11088,96.5,236,2.1,89,0.8,75,0.7,3.5
41,City,Indore,9361,9057,96.8,240,2.6,48,0.5,16,0.2,3.2
42,City,Jaipur,11370,10825,95.2,286,2.5,190,1.7,69,0.6,4.8
43,City,Kanpur,7223,6645,92,390,5.4,176,2.4,12,0.2,8
44,City,Kochi,6722,6664,99.1,56,0.8,0,0,2,0,0.9
45,City,Lucknow,5326,5206,97.7,84,1.6,29,0.5,7,0.1,2.3
46,City,Ludhiana,1392,1392,100,0,0,0,0,0,0,0
47,City,Madras,7968,6991,87.7,612,7.7,210,2.6,155,1.9,12.3
48,City,Madurai,3236,3189,98.5,43,1.3,4,0.1,0,0,1.5
49,City,Nagpur,6675,6607,99,59,0.9,9,0.1,0,0,1
50,City,Patna,11357,11073,97.5,261,2.3,18,0.2,5,0,2.5
51,City,Pune,13341,13300,99.7,22,0.2,9,0.1,10,0.1,0.3
52,City,Surat,5642,4967,88,406,7.2,89,1.6,180,3.2,12
53,City,Vadodra,8223,7432,90.4,791,9.6,0,0,0,0,9.6
54,City,Varanasi,1707,1594,93.4,100,5.9,11,0.6,2,0.1,6.6
55,City,Vishakhapatnam,2928,1863,63.6,858,29.3,120,4.1,87,3,36.4
