SI.No.,State/UT,Estimated mid-Year Population,Murder - Incidence,Murder - Rate,Murder - Percentage contribution to All-India,Hurt - Incidence,Hurt - Rate,Hurt - Percentage contribution to All-India,Rape - Incidence,Rape - Rate,Rape - Percentage contribution to All-India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage contribution to All-India,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage contribution to All-India,Robbery - Incidence,Robbery - Rate,Robbery - Percentage contribution to All-India,Arson - Incidence,Arson - Rate,Arson - Percentage contribution to All-India,Prot. Of Civil Rights Act - Incidence,Prot. Of Civil Rights Act - Rate,Prot. Of Civil Rights Act - Percentage contribution to All-India,SC/ST(Prev. of Atroc.) Act - Incidence,SC/ST(Prev. of Atroc.) Act - Rate,SC/ST(Prev. of Atroc.) Act - Percentage contribution to All-India,other Offences - Incidence,other Offences - Rate,other Offences - Percentage contribution to All-India,Total - Incidence,Total - Rate,Total - Percentage contribution to All-India
1,Andhra Pradesh,733.6,33,0,6.4,303,0.4,7.8,59,0.1,5.7,12,0,4.9,0,0,0,0,0,0,14,0,3.6,266,0.4,21.9,635,0.9,7.9,558,0.8,4.5,1880,2.6,6.7
2,Arunachal Pradesh,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,252.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,952.4,33,0,6.4,225,0.2,5.8,20,0,1.9,8,0,3.3,3,0,5.2,3,0,1.9,5,0,1.3,0,0,0,208,0.2,2.6,205,0.2,1.7,710,0.7,2.5
5,Goa,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,1,0.1,0,2,0.1,0
6,Gujarat,464.2,18,0,3.5,215,0.5,5.6,21,0,2,13,0,5.3,2,0,3.4,13,0,8,21,0,5.4,116,0.2,9.5,602,1.3,7.5,810,1.7,6.5,1831,3.9,6.5
7,Haryana,190.2,5,0,1,42,0.2,1.1,12,0.1,1.2,1,0,0.4,0,0,0,0,0,0,1,0,0.3,0,0,0,9,0,0.1,23,0.1,0.2,93,0.5,0.3
8,Himachal Pradesh,62.3,1,0,0.2,5,0.1,0.1,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,16,0.3,1.3,28,0.4,0.3,8,0.1,0.1,61,1,0.2
9,Jammu & Kashmir,92.6,0,0,0,0,0,0,2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.1,0,8,0.1,0
10,Karnataka,502.9,10,0,1.9,55,0.1,1.4,5,0,0.5,1,0,0.4,0,0,0,0,0,0,2,0,0.5,207,0.4,17,923,1.8,11.4,24,0,0.2,1227,2.4,4.4
