SI.No.,State/UT,Number of cases in which property was - Stolen,Number of cases in which property was - Recoverd,Value of property (Rs.in Lakhs) - Stolen,Value of property (Rs.in Lakhs) - Recovered
1,Andhra Pradesh,104,51,23.1,8.3
2,Arunachal Pradesh,6,1,9.1,2
3,Assam,67,27,6.1,2.1
4,Bihar,49,22,44.4,41.8
5,Goa,7,1,1.4,0
6,Gujarat,544,127,191,32.9
7,Haryana,11,9,1,0.7
8,Himachal Pradesh,11,3,2.9,0.1
9,Jammu & Kashmir,4,2,0.5,0.5
10,Karnataka,49,6,4.4,0.6
11,Kerala,4,0,0.4,0
12,Madhya Pradesh,329,138,16.2,8
13,Maharashtra,4,2,4.8,0.7
14,Manipur,4,0,0.3,0
15,Meghalaya,2,0,0.1,0
16,Mizoram,0,0,0,0
17,Nagaland,0,0,0,0
18,Orissa,10,5,0.8,0.2
19,Punjab,4,3,0.4,0.2
20,Rajasthan,58,13,5.1,3.3
21,Sikkim,2,2,0.5,0.5
22,Tamil Nadu,45,22,10.9,8.6
23,Tripura,0,0,0,0
24,Uttar Pradesh,65,24,56.8,51.7
25,West Bengal,289,25,19.3,6.2
Total States,Total States,1668,483,399.5,168.4
26,A & N Islands,0,0,0,0
27,Chandigarh,0,0,0,0
28,D & N Haveli,0,0,0,0
29,Daman & DIU,9,2,1.4,0.1
30,Delhi,0,0,0,0
31,Lakshadweep,0,0,0,0
32,Pondicherry,0,0,0,0
Total (UTs),Total (UTs),9,2,1.4,0.1
Total (All -India),Total (All -India),1677,485,400.9,168.5
