SI.No.,Category,State/UT/City,1996,1997,Percentage Variation in 1997 Over 1996,Percentage Countribution to All-India During 1997
1,State,Andhra Pradesh,188883,193333,2.4,7.5
2,State,Arunachal Pradesh,2247,2144,-4.6,0.1
3,State,Assam,47436,47071,-0.8,1.8
4,State,Bihar,235966,226429,-4,8.8
5,State,Goa,3486,3538,1.5,0.1
6,State,Gujarat,161774,164973,2,6.4
7,State,Haryana,48910,52371,7.1,2
8,State,Himachal Pradesh,16767,17105,2,0.7
9,State,Jammu & Kashmir,16805,22027,31.1,0.9
10,State,Karnataka,172135,161577,-6.1,6.3
11,State,Kerala,139543,138492,-0.8,5.4
12,State,Madhya Pradesh,296566,306162,3.2,11.9
13,State,Maharashtra,262750,276826,5.4,10.7
14,State,Manipur,1933,1189,-38.5,0
15,State,Meghalaya,2023,2201,8.8,0.1
16,State,Mizoram,1743,2049,17.6,0.1
17,State,Nagaland,1085,1606,48,0.1
18,State,Orissa,84889,83151,-2,3.2
19,State,Punjab,21065,23678,12.4,0.9
20,State,Rajasthan,221408,229038,3.4,8.9
21,State,Sikkim,688,815,18.5,0
22,State,Tamil Nadu,202298,205642,1.7,8
23,State,Tripura,5339,4422,-17.2,0.2
24,State,Uttar Pradesh,278833,240862,-13.6,9.4
25,State,West Bengal,113349,109233,-3.6,4.2
Total States,State,Total States,2527921,2515934,-0.5,97.7
26,UT,A & N Islands,506,626,23.7,0
27,UT,Chandigarh,2146,1913,-10.9,0.1
28,UT,D & N Haveli,636,395,-37.9,0
29,UT,Daman & DIU,287,344,19.9,0
30,UT,Delhi,52676,52130,-1,2
31,UT,Lakshadweep,8,7,-12.5,0
32,UT,Pondicherry,4066,4478,10.1,0.2
Total (UTs),UT,Total (UTs),60325,59893,-0.7,2.3
Total (All-India),Total (All-India),Total (All-India),2588246,2575827,-0.5,100
33,City,Ahmedabad,15912,23002,44.6,0.9
34,City,Bangalore,18529,20379,10,0.8
35,City,Bhopal,9499,11100,16.9,0.4
36,City,Bombay,24293,25335,4.3,1
37,City,Calcutta,8719,7865,-9.8,0.3
38,City,Coimbatore,3330,4955,48.8,0.2
39,City,Delhi,43497,47216,8.6,1.8
40,City,Hyderabad,11963,11488,-4,0.4
41,City,Indore,10411,9361,-10.1,0.4
42,City,Jaipur,11790,11370,-3.6,0.4
43,City,Kanpur,7173,7223,0.7,0.3
44,City,Kochi,5114,6722,31.4,0.3
45,City,Lucknow,5195,5326,2.5,0.2
46,City,Ludhiana,1299,1392,7.2,0.1
47,City,Madras,7057,7968,12.9,0.3
48,City,Madurai,3762,3236,-14,0.1
49,City,Nagpur,7214,6675,-7.5,0.3
50,City,Patna,10345,11357,9.8,0.4
51,City,Pune,13236,13341,0.8,0.5
52,City,Surat,5507,5642,2.5,0.2
53,City,Vadodra,8446,8223,-2.6,0.3
54,City,Varanasi,2854,1707,-40.2,0.1
55,City,Vishakhapatnam,3272,2928,-10.5,0.1
