SI.No.,Category,State/UT/City,Residential Permises - Number,Residential Permises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Others Place - Number,Others Place - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,5942,730.3,14,6.2,0,0,2,0,33,2.3,533,71.1,439,94.5,6963,904.6
2,State,Arunachal Pradesh,125,31.4,0,0,0,0,0,0,0,0,60,10.5,12,3.2,197,45.1
3,State,Assam,2446,137.9,0,0,0,0,1,0,0,0,475,39.1,552,37.8,3474,214.9
4,State,Bihar,4622,223.3,17,0.4,0,0,3,0.1,0,0,357,31.1,956,36.4,5955,291.3
5,State,Goa,382,86.8,0,0,0,0,0,0,5,0,114,21.1,48,4.7,549,112.6
6,State,Gujarat,4369,785.2,32,3.2,1,0.1,0,0,48,4.6,745,193.8,1127,150.1,6322,1136.9
7,State,Haryana,1987,329.9,0,0,0,0,0,0,12,0,572,137.2,447,70.2,3018,537.3
8,State,Himachal Pradesh,361,46,7,2.2,0,0,0,0.5,11,0,202,32.3,240,16.6,821,97.6
9,State,Jammu & Kashmir,943,104,0,0,0,0,0,0,0,0,314,13.4,446,72.2,1703,189.5
10,State,Karnataka,6419,1023.2,0,0,0,0,3,0.1,41,1.2,1454,306.1,1448,198.8,9365,1529.4
11,State,Kerala,2611,649,0,0,1,1,1,0,21,21.2,914,207.4,1315,290.4,4863,1169
12,State,Madhya Pradesh,14035,939,2,0,0,0,6,0.5,7,6.3,1563,117.1,2583,184,18196,1247
13,State,Maharashtra,11984,2277.7,0,0.2,0,0,10,0.6,22,0.1,1763,708.7,2189,351.6,15968,3338.7
14,State,Manipur,59,12.5,0,0,0,0,0,0,0,0,23,7.4,32,1.9,114,21.8
15,State,Meghalaya,181,5.6,0,0,0,0,0,0,0,0,44,5.9,21,1.8,246,13.2
16,State,Mizoram,249,12.8,0,0,0,0,0,0,0,0,153,14.6,10,0.1,412,27.4
17,State,Nagaland,97,16.3,8,0,0,0,0,0,0,0,46,26.1,45,9.6,196,53.2
18,State,Orissa,3070,359.1,0,1.2,0,0,31,1.4,7,3,248,120.9,613,186.3,3969,670.8
19,State,Punjab,846,317.3,0,0,0,0,0,0,11,0.1,125,67.7,256,91.8,1238,476.9
20,State,Rajasthan,6852,641.8,0,0,0,0,5,0.1,0,0,687,41.8,1496,147.6,9040,831.4
21,State,Sikkim,43,3.9,0,0,0,0,0,0,1,12.7,8,3.1,4,1,56,20.8
22,State,Tamil Nadu,5067,856.5,1,0.1,0,0,5,0,42,1.9,349,142.5,1223,169.4,6687,1170.5
23,State,Tripura,279,13.5,0,0,0,0,0,0,0,0,22,1,22,0.6,323,15
24,State,Uttar Pradesh,8716,1391.7,0,0,0,0,0,0,0,0,206,28.7,900,66.7,9822,1487.1
25,State,West Bengal,402,67.4,0,0,0,0,0,0,1,0.1,57,22.9,214,30.9,674,121.3
Total States,State,Total States,82087,11061.8,81,13.5,2,1.1,67,3.4,262,53.7,11034,2371.6,16638,2218.3,110171,15723.3
26,UT,A & N Islands,54,16.6,0,0,0,0,0,0,0,0,0,0,0,0,54,16.6
27,UT,Chandigarh,155,33.1,0,0,0,0,0,0,0,0,49,11,17,4.4,221,48.5
28,UT,D & N Haveli,17,4,0,0,0,0,0,0,0,0,12,13.7,6,0.7,35,18.4
29,UT,Daman & DIU,20,5.7,0,0,0,0,0,0,0,0,9,4.4,1,0.1,30,10.2
30,UT,Delhi,1795,422.7,0,0,0,0,0,0,0,0,577,158.8,350,147.5,2722,729.1
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,4,0.2,4,0.2
32,UT,Pondicherry,34,7.3,0,0,0,0,0,0,0,0,22,6.6,26,1,82,14.9
Total (UTs),UT,Total (UTs),2075,489.3,0,0,0,0,0,0,0,0,669,194.6,404,153.6,3148,837.9
Total (All -India),Total (All -India),Total (All -India),84162,11551.1,81,13.5,2,1.1,67,3.4,262,53.7,11703,2566.2,17042,2372.2,113319,16561.1
33,City,Ahmedabad,523,185.5,0,0,0,0,0,0,0,0,155,50.7,67,12.4,745,248.6
34,City,Bangalore,2492,601.1,0,0,0,0,0,0,6,0,437,174.7,304,70,3289,845.8
35,City,Bhopal,552,40.9,0,0,0,0,0,0,0,0,104,11.1,97,4,753,56.1
36,City,Bombay,1528,978.2,0,0,0,0,0,0,0,0,656,412.4,418,7.6,2602,1398.2
37,City,Calcutta,69,27.1,0,0,0,0,0,0,1,0.1,46,22.1,28,9,144,58.3
38,City,Coimbatore,176,31.5,0,0,0,0,0,0,0,0,15,2.3,5,0.9,196,34.8
39,City,Delhi,1590,378.2,0,0,0,0,0,0,0,0,536,147.6,306,135.6,2432,661.4
40,City,Hyderabad,1410,183.7,0,0,0,0,0,0,0,0,0,0,0,0,1410,183.7
41,City,Indore,410,61.4,0,0,0,0,0,0,0,0,180,20.4,105,12.2,695,94
42,City,Jaipur,793,108.7,0,0,0,0,0,0,2,0,149,21.2,43,2.4,987,132.3
43,City,Kanpur,413,84.4,0,0,0,0,0,0,0,0,0,0,52,10,465,94.4
44,City,Kochi,171,59.9,0,0,1,1,0,0,2,0.7,56,21.8,58,47,288,130.4
45,City,Lucknow,329,37.3,0,0,0,0,0,0,0,0,0,0,103,4.9,432,42.3
46,City,Ludhiana,97,76.3,0,0,0,0,0,0,1,0,43,36.4,6,0.4,147,113.1
47,City,Madras,589,123.8,0,0,0,0,0,0,6,0.1,63,75.7,38,8.4,696,208
48,City,Madurai,148,29.6,0,0,0,0,0,0,0,0,18,9,22,2.2,188,40.8
49,City,Nagpur,868,128,0,0,0,0,0,0,7,0,195,17.8,147,10.2,1217,156
50,City,Patna,196,2.1,0,0,0,0,0,0,0,0,17,0.1,121,0.9,334,3.2
51,City,Pune,642,118.4,0,0,0,0,0,0,4,0,165,115.2,33,2,844,235.6
52,City,Surat,360,96.4,0,0,1,0.1,0,0,5,0,47,21.2,98,29.2,511,146.9
53,City,Vadodra,369,58.4,0,0,0,0,0,0,1,0,41,16.5,41,5.3,452,80.3
54,City,Varanasi,97,19,0,0,0,0,2,0,0,0,0,0,35,1.2,132,20.2
55,City,Vishakhapatnam,224,25.9,0,0,0,0,0,0,6,0,41,5.7,33,14.4,306,46
