SI.No.,Category,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs & Psy. Substances Act - Male,Narcotic Drugs & Psy. Substances Act - Female,Narcotic Drugs & Psy. Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosive & Explosive Subs.Act - Male,Explosive & Explosive Subs.Act - Female,Explosive & Explosive Subs.Act - Total,Immoral Trafic (prevention) Act - Male,Immoral Trafic (prevention) Act - Female,Immoral Trafic (prevention) Act - Total,Indian Raiways Act - Male,Indian Raiways Act - Female,Indian Raiways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasures Act - Male,Antiquity & Art Treasures Act - Female,Antiquity & Art Treasures Act - Total,Dowry Prohibtion Act - Male,Dowry Prohibtion Act - Female,Dowry Prohibtion Act - Total,Child Marriage Restraint Act - Male,Child Marriage Restraint Act - Female,Child Marriage Restraint Act - Total,Indecent Representation of Women (p) Act - Male,Indecent Representation of Women (p) Act - Female,Indecent Representation of Women (p) Act - Total,Copyright Act - Male,Copyright Act - Female,Copyright Act - Total,Sati Prevention Act - Male,Sati Prevention Act - Female,Sati Prevention Act - Total,SC/ST(Prev. of Atrocities Act) - Male,SC/ST(Prev. of Atrocities Act) - Female,SC/ST(Prev. of Atrocities Act) - Total,Forest Act - Male,Forest Act - Female,Forest Act - Total,Other SLL Crimes - Male,Other SLL Crimes - Female,Other SLL Crimes - Total,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total,Percentage of Female To total
1,State,Andhra Pradesh,765,0,765,907,44,951,35476,0,35476,10264,467,10731,12013,688,12701,681,1,682,174,850,1024,59,0,59,26,1,27,645,33,678,0,0,0,6,0,6,1,0,1,9,0,9,149,14,163,0,0,0,0,0,0,45,0,45,0,0,0,1362,32,1394,103,0,103,631110,9695,640805,693795,11825,705620,1.68
2,State,Arunachal Pradesh,10,0,10,27,0,27,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,28,95,3,98,3.06
3,State,Assam,769,1,770,343,9,352,520,0,520,119,0,19,158,0,158,168,1,169,30,17,47,33,0,33,10,1,11,0,0,0,53,8,61,59,0,59,14,1,15,0,0,0,62,4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937,10,1947,4275,52,4327,1.2
4,State,Bihar,4479,7,4486,361,3,364,1650,0,1650,1820,108,1928,8,0,8,496,1,497,38,13,51,154,0,154,2,0,2,79,0,79,4,0,4,438,5,443,24,0,24,0,0,0,2356,609,2965,0,0,0,0,0,0,3,0,3,0,0,0,1358,18,1376,163,0,163,2220,85,2305,15653,849,16502,5.14
5,State,Goa,9,0,9,11,1,12,599,0,599,0,0,0,0,0,0,0,0,0,1,143,144,3,0,3,14,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,0,0,0,0,0,0,0,0,0,758,139,897,1404,289,1693,17.07
6,State,Gujarat,373,1,374,256,9,265,23084,40,23124,0,0,0,65820,35247,101067,26,1,27,8,21,29,1656,19,1675,82,2,84,103,3,106,75,0,75,201,1,202,0,0,0,0,0,0,0,0,0,86,43,129,12,0,12,189,0,189,0,0,0,1421,189,1610,13,0,13,42173,2652,44825,135578,38228,173806,21.99
7,State,Haryana,944,0,944,1526,63,1589,4608,2,4610,72432,568,73000,0,0,0,27,0,27,18,14,32,1524,4,1528,4,0,4,2,0,2,1,0,1,277,1,278,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,14,0,14,0,0,0,14,0,14,0,0,0,7407,118,7525,88801,773,89574,0.86
8,State,Himachal Pradesh,23,0,23,104,2,106,223,0,223,3548,843,4391,0,0,0,11,0,11,2,0,2,2,0,2,17,3,20,34,11,45,0,0,0,18,1,19,0,0,0,0,0,0,0,0,0,15,8,23,0,0,0,4,0,4,0,0,0,73,6,79,579,3,582,159,0,159,4812,877,5689,15.42
9,State,Jammu & Kashmir,1901,1,1902,108,1,109,153,0,153,165,0,165,0,0,0,244,0,244,1,0,1,0,0,0,63,0,63,0,0,0,11,0,11,1386,0,1386,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,74,793,17,810,4901,19,4920,0.39
10,State,Karnataka,114,0,114,280,6,286,16948,69,17017,3296,136,3432,14,0,14,64,0,64,396,2115,2511,19,0,19,34,2,36,677,51,728,51,8,59,169,1,170,0,0,0,13,0,13,374,114,488,0,0,0,0,0,0,54,0,54,0,0,0,3090,155,3245,477,5,482,937902,3325,941227,963972,5987,969959,0.62
