SL.No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,182,172,300,285,5837,5439,60331,57163,66650,63059
2,State,Arunachal Pradesh,25,19,37,19,459,467,2588,2417,3109,2922
3,State,Assam,161,161,161,161,5006,4849,24696,23482,30024,28653
4,State,Bihar,237,178,466,466,13132,13132,50098,50098,63933,63874
5,State,Goa,8,5,18,9,264,216,1974,1832,2264,2062
6,State,Gujarat,109,109,171,171,2667,2667,48860,48860,51807,51807
7,State,Haryana,69,79,123,106,2987,2736,24442,23289,27621,26210
8,State,Himachal Pradesh,72,58,102,102,1201,1113,7241,6740,8616,8013
9,State,Jammu & Kashmir,125,115,302,216,3888,3034,24025,22177,28340,25542
10,State,Karnataka,141,140,251,243,5402,5131,46087,44049,51881,49563
11,State,Kerala,70,62,270,249,2780,2643,34566,27210,37686,30164
12,State,Madhya Pradesh,205,196,651,509,8106,7220,55896,48305,64858,56230
13,State,Maharashtra,187,180,467,363,14666,14561,112871,109003,128191,124107
14,State,Manipur,50,50,52,52,767,767,3833,3833,4702,4702
15,State,Meghalaya,32,24,37,22,1081,890,5203,4650,6353,5586
16,State,Mizoram,26,26,44,44,876,868,2088,2010,3034,2948
17,State,Nagaland,44,43,41,40,712,681,6855,6771,7652,7535
18,State,Orissa,147,146,170,158,5430,5069,22964,22100,28711,27473
19,State,Punjab,146,149,246,233,6104,5977,45714,44278,52210,50637
20,State,Rajasthan,280,189,338,283,7234,5411,50152,42783,58004,48666
21,State,Sikkim,26,18,28,27,277,248,1860,1615,2191,1908
22,State,Tamil Nadu,236,152,513,564,7323,5921,66583,58187,74655,64824
23,State,Tripura,43,38,125,57,1384,912,6790,4892,8342,5899
24,State,Uttar Pradesh,456,444,797,672,14032,13034,121310,117800,136595,131950
25,State,West Bengal,181,171,313,274,12773,11812,48547,45594,61814,57851
Total States,State,Total States,3258,2924,6023,5325,124388,114798,875574,819138,1009243,942185
26,UT,A & N Islands,3,3,12,11,349,332,1774,1697,2138,2043
27,UT,Chandigarh,4,4,9,9,416,394,2187,2096,2616,2503
28,UT,D & N Haveli,1,1,1,1,15,15,215,205,232,222
29,UT,Daman & DIU,1,1,3,3,28,21,321,300,353,325
30,UT,Delhi,58,72,247,215,8654,7855,33292,30525,42251,38667
31,UT,Lakshadweep,1,1,1,1,53,51,294,279,349,332
32,UT,Pondicherry,3,3,15,15,112,112,971,971,1101,1101
Total (UTs),UT,Total (UTs),71,85,288,255,9627,8780,39054,36073,49040,45193
Total (All-India),Total (All -India),Total (All-India),3329,3009,6311,5580,134015,123578,914628,855211,1058283,987378
33,City,Ahmedabad,16,15,20,18,708,426,6428,5620,7172,6079
34,City,Bangalore,14,18,31,45,1179,1347,6442,9884,7666,11294
35,City,Bhopal,3,6,17,19,332,322,2772,2745,3124,3092
36,City,Bombay,41,41,103,96,5441,4595,24897,21687,30482,26419
37,City,Calcutta,25,24,98,86,3704,3332,12251,11271,16078,14713
38,City,Coimbatore,5,5,12,12,160,127,1969,1685,2146,1829
39,City,Delhi,58,72,247,215,8654,7855,33292,30525,42251,38667
40,City,Hyderabad,25,25,47,42,868,755,8069,7595,9009,8417
41,City,Indore,4,4,9,9,323,283,2630,2578,2966,2874
42,City,Jaipur,14,14,29,27,777,614,6517,6148,7337,6803
43,City,Kanpur,4,4,16,15,484,349,3959,4024,4463,4392
44,City,Kochi,1,1,17,18,205,184,2152,1777,2375,1980
45,City,Lucknow,6,6,16,16,566,363,3372,3273,3960,3658
46,City,Ludhiana,4,5,8,8,260,269,2893,2844,3165,3126
47,City,Madras,21,21,52,52,818,692,7781,6828,8672,7593
48,City,Madurai,5,5,12,12,202,164,2629,2231,2848,2412
49,City,Nagpur,8,8,11,7,591,573,4759,4677,5369,5265
50,City,Patna,2,2,11,11,522,457,4249,4167,4784,4637
51,City,Pune,8,8,14,14,491,480,3444,3408,3957,3910
52,City,Surat,8,8,9,9,226,173,2318,2280,2561,2470
53,City,Vadodra,5,5,7,7,233,166,2612,2517,2857,2695
54,City,Varanasi,3,3,6,6,254,131,2958,2801,3221,2941
55,City,Vishakhapatnam,2,2,5,5,129,121,1664,1579,1800,1707
