SI.No.,State/UT,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (P) Act,Indian Railways Act,Registration of Foreigners Act,Protection Of Civil Rights Act,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Actvites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women Prohibitin Act,Copy Right Act,Sati Prevention Act,SC/ST (P) of Atrocities Act,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
1,Andhra Pradesh,15.89,18.47,98.67,58.82,81.73,48.66,72.74,95.83,0,14.22,NA,40,7.14,0,46.88,0,50,26.92,NA,25.36,0,98.63,97.83
2,Arunachal Pradesh,50,50,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,38.1
3,Assam,20.83,33.61,44.07,55.94,14.52,20,0,83.33,25,NA,75,25,38.6,NA,48.15,NA,NA,25,NA,NA,NA,24.23,35.08
4,Bihar,40.77,33.58,49.49,41.82,14.29,35.42,73.08,16.67,0,58.82,NA,29.58,44.44,25,35.19,27.27,NA,100,NA,26.88,45.31,32.21,38.84
5,Goa,14.29,65.12,93.55,NA,NA,0,84.75,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.48,93.03
6,Gujarat,22.01,15.25,39.84,NA,12.97,21.88,20,94.42,36.67,5.13,58.33,27.52,NA,NA,33.33,78.95,46.55,2.94,NA,10.19,25,66.8,25.56
7,Haryana,44.69,6.68,69.65,55.49,NA,40,0,88.56,100,NA,NA,9.6,0,NA,0,NA,NA,0,NA,NA,NA,28.36,52.96
8,Himachal Pradesh,16.67,0,38.55,14.27,NA,0,NA,NA,100,0,NA,21.43,NA,NA,0,50,NA,0,NA,11.11,17.51,29.03,15.34
9,Jammu & Kashmir,2.25,10.64,28.99,75,NA,17.65,NA,NA,90.91,0,97.73,27.73,0,NA,NA,NA,NA,NA,NA,0,0,35.11,23.49
10,Karnataka,6.45,4.84,86.38,16.26,0,4.69,90.76,33.33,75.76,0.28,0,5.19,0,0,2.84,NA,NA,0,NA,0.67,3.65,94.89,94.56
11,Kerala,15.79,50.23,93.61,45.83,45.73,16.28,43.48,45.45,85.71,0,23.08,11.11,NA,NA,0,0,0,0,NA,5.81,NA,48.62,57.69
12,Madhya Pradesh,57.4,32.84,91.63,89.31,33.33,58.64,59.09,98.85,100,40.57,NA,49.82,50,NA,45.74,0,NA,65.22,NA,31.66,68.97,95.43,93.22
13,Maharashtra,22.76,34.52,28.93,NA,15.53,24.32,86.54,99.35,99.26,5.66,50,20.16,9.38,NA,0,0,0,15.83,NA,7.02,0,92.67,68.29
14,Manipur,0,4.04,100,100,NA,0,NA,NA,100,NA,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,17.09,18.61
15,Meghalaya,74.29,63.64,87.5,73.53,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.95,73.21
16,Mizoram,50,96.88,100,NA,97.53,100,100,NA,100,NA,67.11,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.11,96.09
17,Nagaland,100,97.52,100,100,66.67,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.22,94.88
18,Orissa,8.52,10.05,53.73,13.1,6.67,8.11,0,50,NA,0,20,6.12,NA,NA,6.17,NA,NA,4.17,NA,6.25,NA,42.2,21.49
19,Punjab,48.56,14.58,73.55,72.41,NA,2.56,20,92.16,40,NA,60,22.06,100,NA,NA,0,100,57.14,NA,NA,NA,68.18,66.04
20,Rajasthan,64.77,40.78,91.7,84.44,NA,54.05,52.11,83.82,50,79.17,0,29.59,50,NA,0,50,NA,51.85,NA,25.92,81.47,48.86,71.91
21,Sikkim,50,100,NA,100,NA,NA,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.14,96.76
22,Tamil Nadu,34.67,67.71,97.15,NA,83.26,88.03,98.7,95.12,85.71,10.45,37.93,NA,37.14,NA,NA,50.92,0,NA,50,NA,14.47,NA,92.02
23,Tripura,9.68,60,75,NA,NA,33.33,NA,NA,NA,NA,NA,34.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.26,9.4
24,Uttar Pradesh,80.11,96.93,74.5,84.41,NA,59.5,57.65,96.48,66.67,75.32,100,28.49,64.58,NA,52.68,NA,50,47.83,NA,44.04,79.01,86.2,84.85
25,West Bengal,34.04,53.28,78.28,86.41,NA,14.95,76.47,99.69,91.42,NA,0,21.31,NA,NA,18.75,NA,NA,14.29,NA,NA,0,99.1,98.75
Total States,Total States,70.58,51.85,79.92,72.41,55.01,51.49,91.99,98,89.46,27.05,64.39,25.81,35.86,14.29,36.48,56.92,45.33,25.06,NA,31.42,71.64,94.64,88
26,A & N Islands,NA,60,100,99.94,66.67,NA,NA,NA,91.67,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.57,99.67
27,Chandigarh,73.33,28.57,90,83.87,NA,NA,100,NA,NA,NA,NA,50,0,NA,NA,NA,NA,0,NA,0,NA,75,72.04
28,D & N Haveli,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,12.5
29,Daman & DIU,NA,NA,0,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Delhi,41.67,22.22,71.97,19.22,NA,54.55,40.48,47.5,46.88,NA,25,27.91,20,NA,NA,NA,NA,31.82,NA,100,NA,23.55,39.44
31,Lakshadweep,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
32,Pondicherry,81.82,0,100,NA,NA,NA,91.49,NA,100,63.64,NA,81.82,NA,NA,100,NA,100,NA,NA,NA,NA,100,99.58
Total (UTs),Total (UTs),42.03,22.75,72.38,62.74,75,54.55,59.09,47.5,61.7,63.64,25,46.05,14.29,NA,100,NA,100,30.43,NA,50,NA,85.55,66.5
Total (All NAIndia),Total (All NAIndia),69.4,50.98,79.84,72.11,55.01,51.5,91.35,97.95,88.18,27.21,63.93,26.25,35.12,14.29,36.52,56.92,46.75,25.64,NA,31.43,71.64,94.63,87.93
