SI.No.,State/UT,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Others IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,25.66,22.75,15.71,22.48,11.84,13.2,9.41,25.18,0,25.86,41.33,46.86,10.64,22.18,23.65,33.33,20.4,22.8,19.73,24.04,64.38,21.29,46.59,37.26
2,Arunachal Pradesh,33.33,0,NA,NA,33.33,0,100,50,NA,50,68,78.43,0,16.67,25,NA,NA,40.58,NA,53.33,NA,NA,40.63,46.6
3,Assam,31.53,21.56,31.82,22.34,18.51,18.93,12.9,30.26,22.22,27.18,23.11,24.17,17.25,28.7,17.87,28.57,39.23,23.86,33.33,27.35,50,23.75,20.09,22.58
4,Bihar,31.44,33.02,28.26,33.83,27.58,29.29,25.69,29.84,37.88,26.77,29.01,25.46,23.29,28.46,32.02,37.04,30.28,31.45,40.31,31.58,20,43.65,24.58,26.23
5,Goa,33.33,20,18.18,57.14,9.09,11.11,0,0,NA,38.46,34.29,29.68,9,45.71,33.33,NA,11.54,13.17,NA,23.08,33.33,0,25.62,23.86
6,Gujarat,16.83,10.99,14.29,17.49,8.71,8.22,11.54,9.45,50,10.47,18.74,20.14,15.56,10.79,8.11,20,6.56,14.91,34.78,10.72,23.53,10.7,46.07,34.96
7,Haryana,35.43,23.02,14.86,27.03,22.47,21.17,26.83,35.29,9.52,19.64,34.65,32.55,25.42,21.13,17.22,0,17.27,16.93,21.6,16.4,66.67,10.57,47.88,36.98
8,Himachal Pradesh,33.33,36.67,9.09,27.69,8.96,10.17,0,0,NA,60,23.53,11.82,14.83,24,25.71,NA,22.22,9.15,33.33,9.43,25,8.82,37.92,29.06
9,Jammu & Kashmir,16.67,7,0,6.25,2,2.05,0,0,NA,0,17.71,9.53,0.96,0,21.13,NA,3.03,4.76,0,9.66,25.4,0,50.59,36.04
10,Karnataka,10.12,6.35,4.55,7.14,2.11,2.36,1.91,5.41,0,13.04,9.74,8.04,1.66,5.54,4.46,0,0.57,2.69,7.89,5.44,31.63,2.35,22.51,15.84
11,Kerala,43.6,22.46,11.11,21.26,7.5,7.14,8.33,4.44,62.5,30.25,31.14,32.25,7.4,16.91,10.2,36.36,2.42,9.16,33.33,8.87,33.33,20.25,40.04,32.48
12,Madhya Pradesh,34.08,28.73,32.06,26.72,17.93,17.39,22.47,20.45,25.74,28.01,37.34,46.89,27.43,40.56,34.66,0,32.47,46.72,33.07,55.32,52.56,48.43,51.74,46.96
13,Maharashtra,30.78,18.66,10.34,18.88,11.06,11.82,8.82,10.05,10.53,14.59,17.57,23.41,17.36,18.02,22.8,14.29,8.3,11.09,6.97,14.76,14.32,6.71,22.56,18.1
14,Manipur,0,4.76,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0.06
15,Meghalaya,42.86,16.67,0,25,36.36,28.57,50,28.57,NA,41.67,64.29,68.6,23.08,36.36,34.48,NA,33.33,88,NA,33.33,NA,NA,59.78,56.49
16,Mizoram,50,62.5,100,60,50,NA,50,100,NA,71.43,96.81,94.39,NA,75,77.78,NA,50,82.76,NA,94.44,NA,NA,98.23,93.88
17,Nagaland,90,75,0,50,100,100,100,100,NA,78.57,69.7,74.07,NA,83.33,62.5,NA,NA,87.5,NA,100,NA,NA,90.36,82.8
18,Orissa,23.97,11.81,4.67,19.08,9.76,9.26,50,15.81,100,10.54,7.96,9.49,9.72,7.52,8.87,0,4.49,11.03,12.5,7.71,9.87,7.14,13.37,11.79
19,Punjab,34.9,25.97,28.95,29.2,15.29,13.79,18.52,42.31,20,16.67,49.7,47.58,33.33,32.63,38.15,0,17.39,26.27,47.59,33.33,0,26.74,42.46,37.04
20,Rajasthan,37.74,40.34,46.99,26.99,33.37,33.43,33.03,35.71,71.43,39.59,50.3,50.12,50.29,34.31,41.19,0,37.3,50.27,28.93,44.14,28.57,32.07,54.47,50.76
21,Sikkim,NA,100,NA,100,100,100,NA,NA,NA,25,82.35,74.19,66.67,100,0,NA,NA,73.81,NA,80,NA,NA,72.22,73.1
22,Tamil Nadu,40.03,33.27,50,32.03,31.95,30.19,50,49.25,0,59.86,66.4,78.23,40.01,39.73,57.04,20,37.2,55.02,29.69,48.57,90.88,39.73,65.83,63.99
23,Tripura,31.03,5.26,0,10.42,7.69,13.04,0,7.55,0,0,7.78,10.49,12.1,0,14.29,NA,10.71,8.89,0,9.09,NA,2.67,7.71,10.13
24,Uttar Pradesh,45.84,49.49,50.76,49.96,50.08,51.39,45.86,36.96,46.07,47.18,43.93,48.04,49.47,45.8,42.86,60.71,73.87,60.1,54.16,61.63,69.77,52.79,52.48,51.36
25,West Bengal,25.13,15.45,20.12,14.07,11.27,11.02,12.5,11.11,22.45,21.05,25.64,26.18,14.54,12.71,27.63,14.29,27.66,16.19,13.41,18.57,7.5,27.53,25.77,21.87
Total States,Total States,34.18,33.65,36.19,28.1,26.21,26.43,25.46,27.13,35.14,30.6,34.84,40.77,26.91,27.41,27.55,24.11,27.12,30.85,35.22,37.09,62.02,23.53,42.91,38.08
26,A & N Islands,60,100,NA,0,0,0,NA,NA,NA,0,70,84,33.33,NA,100,NA,0,63.16,NA,100,NA,0,63.08,64.71
27,Chandigarh,33.33,30.77,0,40,17.65,8.33,40,NA,NA,50,79.71,81.07,19.35,39.13,66.67,NA,0,49.38,100,25,42.86,0,59.4,61.05
28,D & N Haveli,25,NA,NA,NA,NA,NA,NA,NA,NA,0,0,16.67,20,NA,NA,NA,0,47.83,NA,0,NA,0,30.34,27.33
29,Daman & DIU,25,0,NA,0,NA,NA,NA,NA,NA,NA,25,16.67,5.26,0,0,NA,NA,NA,NA,NA,NA,NA,27.27,19.83
30,Delhi,44.03,39.86,41.43,33.04,31.19,31.06,31.47,61.54,80,42.49,36.28,33.45,20.93,27.7,42.41,55.88,42.86,26.96,38.89,22.56,23.23,29.95,43.46,37.96
31,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,50,NA,100,NA,NA,NA,0,NA,NA,NA,NA,0,33.33
32,Pondicherry,48.57,30,83.33,50,25,0,33.33,100,NA,50,92,95.44,82.05,75,60,NA,0,87.13,100,16.67,100,40,96.78,92.64
Total (UTs),Total (UTs),44.07,39.58,44.16,33.06,30.5,29.87,31.79,66.67,80,42.32,43.4,43.95,40,30.17,44.91,55.88,16.67,34.6,43.59,23.44,26.61,28.57,53.44,46.25
Total (All NAIndia),Total (All NAIndia),34.41,33.76,36.44,28.23,26.44,26.59,25.94,27.27,35.47,30.9,35.09,40.89,26.97,27.48,28.12,28.29,27.08,30.89,35.33,36.93,61.09,23.61,43.09,38.23
