SI.No.,Category,State/UT/City,By Education - Illiterate,By Education - Primary,By Education - Above primary But Below H.Sec.,By Education - Matric /H.Sec. & Above,By Education - Total,By Family Background - Living with parents,By Family Background - Living with Guardians,By Family Background - Home Less,By Family Background - Total,By Economic setup - Lower Income upto Rs. 500 PM,By Economic setup - Low/Mid Income (from Rs. 501 to 1000 PM),By Economic setup - Middle Income (1001 to Rs. 2000 PM),By Economic setup - Upper/Middle Income (from 2001 to Rs. 3000 PM),By Economic setup - Upper Income (above Rs. 3000 PM),By Economic setup -Total,By Recidivism - New Delinquent,By Recidivism - old Delinquent,By Recidivism - Total
1,State,Andhra Pradesh,498,190,168,20,876,564,209,103,876,303,330,178,63,2,876,777,99,876
2,State,Arunachal Pradesh,8,13,17,2,40,21,18,1,40,22,10,1,7,0,40,40,0,40
3,State,Assam,139,77,60,16,292,129,85,78,292,148,61,35,39,9,292,215,77,292
4,State,Bihar,596,552,459,134,1741,731,554,456,1741,729,441,391,180,0,1741,987,754,1741
5,State,Goa,11,6,6,0,23,20,1,2,23,16,3,3,1,0,23,23,0,23
6,State,Gujarat,62,205,83,0,350,280,59,11,350,105,110,35,55,45,350,275,75,350
7,State,Haryana,107,162,206,74,549,420,93,36,549,118,152,167,69,43,549,505,44,549
8,State,Himachal Pradesh,2,14,51,7,74,52,22,0,74,17,13,32,10,2,74,74,0,74
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Karnataka,277,149,116,35,577,463,52,62,577,322,166,64,17,8,577,557,20,577
11,State,Kerala,13,49,37,3,102,92,9,1,102,49,37,15,1,0,102,102,0,102
12,State,Madhya Pradesh,1613,2133,982,270,4998,3216,1458,324,4998,2503,1524,580,293,98,4998,4973,25,4998
13,State,Maharashtra,767,1095,898,153,2913,1986,805,122,2913,1021,919,862,92,19,2913,2783,130,2913
14,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,State,Meghalaya,21,12,6,0,39,22,17,0,39,32,7,0,0,0,39,39,0,39
16,State,Mizoram,11,3,27,4,45,45,0,0,45,15,25,5,0,0,45,45,0,45
17,State,Nagaland,2,2,1,0,5,3,2,0,5,2,2,1,0,0,5,5,0,5
18,State,Orissa,85,83,28,1,197,153,30,14,197,144,45,7,1,0,197,190,7,197
19,State,Punjab,20,1,2,0,23,22,0,1,23,20,1,1,1,0,23,23,0,23
20,State,Rajasthan,169,340,218,165,892,658,221,13,892,342,163,185,130,72,892,824,68,892
21,State,Sikkim,4,5,4,0,13,2,8,3,13,9,2,2,0,0,13,13,0,13
22,State,Tamil Nadu,671,1988,606,2,3267,2537,358,372,3267,1746,1488,33,0,0,3267,2913,354,3267
23,State,Tripura,2,0,3,0,5,4,1,0,5,2,2,1,0,0,5,5,0,5
24,State,Uttar Pradesh,12,10,23,14,59,43,14,2,59,10,14,22,9,4,59,59,0,59
25,State,West Bengal,0,2,2,0,4,4,0,0,4,2,0,2,0,0,4,4,0,4
Total States,State,Total States,5090,7091,4003,900,17084,11467,4016,1601,17084,7677,5515,2622,968,302,17084,15431,1653,17084
26,UT,A & N Islands,3,0,1,0,4,4,0,0,4,0,2,2,0,0,4,4,0,4
27,UT,Chandigarh,5,3,23,2,33,20,11,2,33,2,9,22,0,0,33,27,6,33
28,UT,D & N Haveli,1,1,0,0,2,1,1,0,2,2,0,0,0,0,2,2,0,2
29,UT,Daman & DIU,0,3,2,0,5,4,1,0,5,2,2,1,0,0,5,5,0,5
30,UT,Delhi,287,189,144,27,647,410,78,159,647,371,144,92,23,17,647,501,146,647
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,1,0,16,4,21,19,2,0,21,7,14,0,0,0,21,21,0,21
Total (UTs),UT,Total (UTs),297,196,186,33,712,458,93,161,712,384,171,117,23,17,712,560,152,712
Total (All -India),Total (All -India),Total (All -India),5387,7287,4189,933,17796,11925,4109,1762,17796,8061,5686,2739,991,319,17796,15991,1805,17796
33,City,Ahmedabad,43,129,74,8,254,218,29,7,254,194,23,34,3,0,254,252,2,254
34,City,Bangalore,95,45,20,15,175,122,24,29,175,111,34,21,9,0,175,162,13,175
35,City,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,City,Bombay,63,91,497,0,651,159,485,7,651,54,81,475,31,10,651,642,9,651
37,City,Calcutta,0,2,0,0,2,2,0,0,2,2,0,0,0,0,2,2,0,2
38,City,Coimbatore,47,48,2,0,97,94,1,2,97,88,8,1,0,0,97,96,1,97
39,City,Delhi*,287,189,144,27,647,410,78,159,647,371,144,92,23,17,647,501,146,647
40,City,Hyderabad,87,16,51,4,158,73,78,7,158,0,15,99,42,2,158,122,36,158
41,City,Indore,35,25,10,0,70,60,10,0,70,60,10,0,0,0,70,60,10,70
42,City,Jaipur,21,102,0,0,123,102,21,0,123,123,0,0,0,0,123,123,0,123
43,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,City,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,City,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,City,Madras,33,24,4,0,61,46,6,9,61,38,15,8,0,0,61,46,15,61
48,City,Madurai,27,143,16,0,186,151,27,8,186,135,51,0,0,0,186,182,4,186
49,City,Nagpur,43,27,0,0,70,70,0,0,70,29,41,0,0,0,70,57,13,70
50,City,Patna,35,18,0,0,53,25,12,16,53,42,11,0,0,0,53,48,5,53
51,City,Pune,9,84,63,0,156,136,20,0,156,58,51,47,0,0,156,156,0,156
52,City,Surat,376,42,97,74,589,296,189,104,589,223,167,83,49,67,589,254,335,589
53,City,Vadodra,35,92,26,0,153,153,0,0,153,0,58,59,36,0,153,153,0,153
54,City,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,City,Vishakhapatnam,23,23,26,0,72,65,0,7,72,0,49,21,2,0,72,64,8,72
