SI.No.,Category,State/UT/City,Arrested & Sent to Courts,Sent to home after Advice or Admonition,Released on Probation and placed under care of - Parents/ Guardians,Relesed on Probation and placed under care of - fit Instt.,Sent to Special Homes,Dealt with Fine,Acquitted or otherwise Disposed of,Pending Disposal
1,State,Andhra Pradesh,876,271,105,29,54,25,45,347
2,State,Arunachal Pradesh,40,13,27,0,0,0,0,0
3,State,Assam,292,0,42,0,7,17,106,120
4,State,Bihar,1741,235,202,201,341,180,131,451
5,State,Goa,23,2,0,0,0,2,10,9
6,State,Gujarat,350,38,42,25,17,35,92,101
7,State,Haryana,549,46,30,68,78,16,51,260
8,State,Himachal Pradesh,74,5,0,0,0,0,15,54
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,State,Karnataka,577,115,112,19,51,97,28,155
11,State,Kerala,102,0,2,0,1,0,1,98
12,State,Madhya Pradesh,4998,1055,150,218,125,310,395,2745
13,State,Maharashtra,2913,311,540,83,189,478,114,1198
14,State,Manipur,0,0,0,0,0,0,0,0
15,State,Meghalaya,39,1,0,0,6,0,15,17
16,State,Mizoram,45,0,5,0,20,10,3,7
17,State,Nagaland,5,0,2,2,0,0,1,0
18,State,Orissa,197,48,92,2,29,0,0,26
19,State,Punjab,23,0,2,0,1,16,2,2
20,State,Rajasthan,892,144,131,14,58,10,6,529
21,State,Sikkim,13,6,0,0,0,1,0,6
22,State,Tamil Nadu,3267,173,1483,14,8,41,1061,487
23,State,Tripura,5,0,3,0,0,0,2,0
24,State,Uttar Pradesh,59,8,0,14,11,4,5,17
25,State,West Bengal,4,0,0,0,2,0,0,2
Total States,State,Total States,17084,2471,2970,689,998,1242,2083,6631
26,UT,A & N Islands,4,4,0,0,0,0,0,0
27,UT,Chandigarh,33,0,0,0,0,5,1,27
28,UT,D & N Haveli,2,0,2,0,0,0,0,0
29,UT,Daman & DIU,5,0,0,0,0,0,0,5
30,UT,Delhi,647,0,56,0,120,7,128,336
31,UT,Lakshadweep,0,0,0,0,0,0,0,0
32,UT,Pondicherry,21,0,5,0,4,0,0,12
Total (UTs),UT,Total (UTs),712,4,63,0,124,12,129,380
Total (All -India),Total (All -India),Total (All -India),17796,2475,3033,689,1122,1254,2212,7011
33,City,Ahmedabad,254,54,37,38,0,31,39,55
34,City,Bangalore,175,33,35,4,13,12,7,71
35,City,Bhopal,0,0,0,0,0,0,0,0
36,City,Bombay,651,56,84,3,17,450,20,21
37,City,Calcutta,2,0,0,0,2,0,0,0
38,City,Coimbatore,97,0,74,4,3,0,0,16
39,City,Delhi,647,0,56,0,120,7,128,336
40,City,Hyderabad,158,158,0,0,0,0,0,0
41,City,Indore,70,0,60,10,0,0,0,0
42,City,Jaipur,123,58,42,10,13,0,0,0
43,City,Kanpur,0,0,0,0,0,0,0,0
44,City,Kochi,0,0,0,0,0,0,0,0
45,City,Lucknow,0,0,0,0,0,0,0,0
46,City,Ludhiana,0,0,0,0,0,0,0,0
47,City,Madras,61,23,18,4,4,2,2,8
48,City,Madurai,186,0,125,0,0,0,8,53
49,City,Nagpur,70,0,0,0,49,0,15,6
50,City,Patna,53,11,2,0,40,0,0,0
51,City,Pune,156,14,41,0,94,0,0,7
52,City,Surat,589,89,78,39,26,86,271,0
53,City,Vadodra,153,0,0,0,0,0,44,109
54,City,Varanasi,0,0,0,0,0,0,0,0
55,City,Vishakhapatnam,72,8,0,0,0,0,0,64
