SL.No.,Year,Boys,Girls,Total,Percentage of Girls
1,1987,166407,13555,179962,7.5
2,1988,33065,5103,38168,13.4
3,1989,24777,11615,36392,31.9
4,1990,25269,5547,30816,18
5,1991,23201,6390,29591,21.6
6,1992,17474,3884,21358,18.2
7,1993,16391,3676,20067,18.3
8,1994,13852,3351,17203,19.5
9,1995,14542,4251,18793,22.6
10,1996,14068,5030,19098,26.3
11,1997,14282,3514,17796,19.7
