SI.No.,Category,State/UT/City,1992,1993,1994,1995,1996,Quinquennial Average (1992-1996) Q.A,1997 (-) Decrease,Percentage Change in 1997 [(+)increase (-) Decrease] over - Quinquennial Average,Percentage Change in 1997 [(+)increase (-) Decrease] over - 1996
1,State,Andhra Pradesh,99332,98625,100789,105016,109759,102704,114963,11.9,4.7
2,State,Arunachal Pradesh,1822,1560,1873,1907,1927,1818,1876,3.2,-2.6
3,State,Assam,40812,37355,35461,36494,36490,37322,36562,-2,0.2
4,State,Bihar,131007,125642,115622,115598,117017,120977,117401,-3,0.3
5,State,Goa,3968,4111,3130,3545,2798,3510,2895,-17.5,3.5
6,State,Gujarat,128155,119809,112252,123514,117821,120310,117823,-2.1,0
7,State,Haryana,30246,31754,32592,33823,33516,32386,31981,-1.3,-4.6
8,State,Himachal Pradesh,8864,10864,10785,11147,10776,10487,10242,-2.3,-5
9,State,jammu & Kashmir,15505,14731,14920,15018,17478,15530,17192,10.7,-1.6
10,State,Karnataka,99679,105863,112949,120334,114475,110660,114863,3.8,0.3
11,State,Kerala,71919,76852,83860,87262,86141,81207,92523,13.9,7.4
12,State,Madhya Pradesh,201381,179758,188025,197445,196779,192678,205026,6.4,4.2
13,State,Maharashtra,196370,184589,181643,194163,187471,188847,185122,-2,-1.3
14,State,Manipur,2387,2624,2412,2596,2573,2518,2974,18.1,15.6
15,State,Meghalaya,2421,1863,1965,1773,1863,1977,1978,0.1,6.2
16,State,Mizoram,1702,1465,1719,2396,2241,1905,2120,11.3,-5.4
17,State,Nagaland,1605,1546,1499,1395,1378,1485,1477,-0.5,7.2
18,State,Orissa,50438,51609,48289,50995,50619,50390,51359,1.9,1.5
19,State,Punjab,12380,9445,10631,11145,13922,11505,15069,31,8.2
20,State,Rajasthan,123426,121100,133019,148266,161621,137486,165469,20.4,2.4
21,State,Sikkim,557,662,827,633,710,678,623,-8.1,-12.3
22,State,Tamil Nadu,128665,125654,119071,126761,131497,126330,141867,12.3,7.9
23,State,Tripura,5085,5175,3797,3731,3630,4284,3444,-19.6,-5.1
24,State,Uttar Pradesh,216339,203488,204703,177992,172480,195000,152779,-21.7,-11.4
25,State,West Bengal,72171,70718,68942,69413,69118,70072,65481,-6.6,-5.3
Total States,State,Total States,1646236,1586862,1590775,1642362,1644100,1622067,1653109,1.9,0.5
26,UT,A & N Islands,625,664,547,464,376,535,477,-10.9,26.9
27,UT,Chandigarh,1377,1943,2099,2032,2048,1900,2181,14.8,6.5
28,UT,D & N Haveli,327,321,488,436,410,396,347,-12.5,-15.4
29,UT,Daman & DIU,205,222,223,283,258,238,267,12.1,3.5
30,UT,Delhi,36302,36597,38223,47686,59871,43736,60883,39.2,1.7
31,UT,Lakshadweep,46,48,52,31,44,44,26,-41.2,-40.9
32,UT,Pondicherry,4223,3279,2844,2402,2469,3043,2530,-16.9,2.5
Total (UTs),UT,Total (UTs),43105,43074,44476,53334,65476,49893,66711,33.7,1.9
Total (All -India),Total (All -India),Total (All -India),1689341,1629936,1635251,1695696,1709576,1671960,1719820,2.9,0.6
33,City,Ahmedabad,19875,17499,11201,15472,15244,15858,16561,4.4,8.6
34,City,Bangalore,26247,26479,29940,28899,28875,28088,30601,8.9,6
35,City,Bhopal,7459,5784,7720,8324,7712,7400,9469,28,22.8
36,City,Calcutta,40979,35687,35375,40512,32503,37011,32654,-11.8,0.5
37,City,Chennai,14110,12206,11401,11671,12395,12357,11274,-8.8,-9
38,City,Coimbatore,3621,3246,3086,3019,3268,3248,4363,34.3,33.5
39,City,Delhi,33055,33799,34478,42759,54199,39658,55825,40.8,3
40,City,Hyderabad,10306,9165,9856,9197,9154,9536,11060,16,20.8
41,City,Indore,10813,8394,8969,9583,9025,9357,8581,-8.3,-4.9
42,City,Jaipur,9413,9435,10808,12612,13418,11137,13359,19.9,-0.4
43,City,Kanpur,8112,7137,6576,5740,5704,6654,6266,-5.8,9.9
44,City,Kochi,3320,3400,4120,4618,4276,3947,4901,24.2,14.6
45,City,Lucknow,7684,6946,8277,6401,5514,6964,6064,-12.9,10
46,City,Ludhiana,759,646,851,871,1194,864,1462,69.2,22.4
47,City,Madurai,13174,8936,5987,5842,6143,8016,7607,-5.1,23.8
48,City,Mumbai,3375,2935,3837,3643,4016,3561,3697,3.8,-7.9
49,City,Nagpur,10416,10039,8607,8887,9329,9456,8895,-5.9,-4.7
50,City,Patna,7235,5746,5285,5103,4971,5668,5405,-4.6,8.7
51,City,Pune,11396,9825,8844,9459,9569,9819,10455,6.5,9.3
52,City,Surat,4867,4536,4772,5264,4899,4868,5058,3.9,3.2
53,City,Vadodra,7159,5171,4844,5499,6924,5919,6870,16.1,-0.8
54,City,Varanasi,2994,2574,2199,1907,1888,2312,1541,-33.4,-18.4
55,City,Vishakhapatnam,3898,3789,3436,2648,2837,3322,2979,-10.3,5
Total Cities,City,Total Cities,260267,233374,230469,247930,253057,245019,264947,8.1,4.7
