SI.No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,23,21,41,38,825,610,10708,10032,11597,10701
2,State,Arunachal Pradesh,2,2,14,10,48,46,1452,1308,1516,1366
3,State,Assam,50,48,130,124,887,697,22422,19140,23489,20009
4,State,Bihar,25,25,83,83,1328,1308,18119,18119,19555,19535
5,State,Goa,1,1,4,2,41,36,636,560,682,599
6,State,Gujarat,14,14,41,41,480,480,11854,11854,12389,12389
7,State,Haryana,7,6,16,12,297,290,4386,4267,4706,4575
8,State,Himachal Pradesh,7,6,26,26,217,160,4048,3486,4298,3678
9,State,Jammu & Kashmir,45,41,122,76,840,706,15494,14957,16501,15780
10,State,Karnataka,11,11,35,35,398,398,9058,9058,9502,9502
11,State,Kerala,9,9,41,34,361,260,6723,5482,7134,5785
12,State,Madhya Pradesh,63,58,111,80,2896,2448,26127,24937,29197,27523
13,State,Maharashtra,19,15,61,50,1008,838,13969,12190,15057,13093
14,State,Manipur,23,23,55,55,325,325,9034,9034,9437,9437
15,State,Meghalaya,3,2,29,19,105,67,2857,1727,2994,1815
16,State,Mizoram,14,14,29,29,168,168,3641,3641,3852,3852
17,State,Nagaland,22,22,80,66,331,324,8963,8933,9396,9345
18,State,Orissa,18,16,64,47,514,403,6958,6827,7554,7293
19,State,Punjab,86,69,138,86,970,952,16767,16091,17961,17198
20,State,Rajasthan,17,17,51,51,394,292,10915,10587,11377,10947
21,State,Sikkim,3,3,10,10,78,41,1826,1120,1917,1174
22,State,Tamil Nadu,15,14,55,36,466,276,10880,9686,11416,10012
23,State,Tripura,16,8,34,12,357,74,6904,6236,7311,6330
24,State,Uttar Pradesh,50,54,137,92,1246,1203,33742,32169,35175,33518
25,State,West Bengal,44,33,105,98,1032,924,22139,21912,23320,22967
Total States,State,Total States,587,532,1512,1212,15612,13326,279622,263353,297333,278423
26,UT,A & N Islands,1,1,1,1,17,17,490,490,509,509
27,UT,Chandigarh,0,0,2,2,46,46,1469,1469,1517,1517
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & DIU,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,10,18,50,42,527,495,10039,9679,10626,10234
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,2,2,37,37,842,842,881,881
Total (UTs),UT,Total (UTs),11,19,55,47,627,595,12840,12480,13533,13141
Total (All-India),Total (All -India),Total (All-India),598,551,1567,1259,16239,13921,292462,275833,310866,291564
33,City,Ahmedabad,1,1,3,2,43,38,2836,2433,2883,2474
34,City,Bangalore,4,0,14,0,238,0,3570,0,3826,0
35,City,Bhopal,0,0,0,0,0,0,0,0,0,0
36,City,Bombay,0,0,0,0,381,357,7535,7274,7916,7631
37,City,Calcutta,9,7,34,34,322,299,7473,7372,7838,7712
38,City,Coimbatore,0,0,0,0,0,0,0,0,0,0
39,City,Delhi,10,18,50,42,527,495,10039,9679,10626,10234
40,City,Hyderabad,3,2,6,6,139,99,2218,2158,2366,2265
41,City,Indore,0,0,0,0,0,0,0,0,0,0
42,City,Jaipur,0,0,0,0,0,0,0,0,0,0
43,City,Kanpur,0,0,0,0,28,22,1547,1265,1575,1287
44,City,Kochi,0,0,0,0,0,0,0,0,0,0
45,City,Lucknow,0,0,0,0,57,45,2448,2273,2505,2318
46,City,Ludhiana,0,0,0,0,0,0,0,0,0,0
47,City,Madras,2,2,6,6,106,99,3560,2913,3674,3020
48,City,Madurai,0,0,0,0,0,0,0,0,0,0
49,City,Nagpur,0,0,0,0,0,0,0,0,0,0
50,City,Patna,0,0,0,0,86,68,1653,1383,1739,1451
51,City,Pune,0,0,0,0,77,77,1549,1549,1626,1626
52,City,Surat,0,0,1,1,27,25,891,668,919,694
53,City,Vadodra,0,0,0,0,0,0,0,0,0,0
54,City,Varanasi,0,0,0,0,21,19,1008,1022,1029,1041
55,City,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0
