SI.No.,Category,States/UT/City,Residential Permises - Number,Residential Permises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Others Places - Number,Others Places - Value,Total -Number,Total - Value
1,State,Andhra Pradesh,279,158,152,66.7,0,0,1,0.1,1,0.4,11,3.6,67,19.5,511,248.3
2,State,Arunachal Pradesh,33,26.7,0,0,0,0,0,0,0,0,6,6.7,2,0.1,41,33.5
3,State,Assam,526,173.7,46,48.4,0,0,2,0.3,8,9.9,60,59.8,156,45.9,798,338.1
4,State,Bihar,1448,288.4,369,97.9,0,0,47,10.3,28,53,81,79.6,419,115,2392,644.2
5,State,Goa,4,5.2,0,0,0,0,0,0,0,0,2,0.5,1,0.1,7,5.8
6,State,Gujarat,126,52.7,64,34.7,1,0,4,3,1,6.3,32,60.9,114,69.1,342,226.7
7,State,Haryana,17,13.8,7,4.9,0,0,0,0,0,0,6,5.5,28,41.1,58,65.3
8,State,Himachal Pradesh,0,0,2,1.4,0,0,0,0,0,0,1,0.1,1,0,4,1.5
9,State,Jammu & Kashmir,18,2.2,6,5.1,0,0,0,0,0,0,2,0.6,17,6.7,43,14.6
10,State,Karnataka,106,55.6,26,21.2,0,0,2,0,1,0,22,15.7,131,104.3,288,196.9
11,State,Kerala,19,8.7,5,33.1,0,0,0,0,0,0,7,12.7,72,178.7,103,233.3
12,State,Madhya Pradesh,114,28.6,23,19.6,0,0,1,0,1,1,12,4.2,48,30.1,199,83.5
13,State,Maharashtra,213,180.8,138,67,0,0,14,2.1,1,3,66,190.4,284,381.7,716,825
14,State,Manipur,4,0.5,6,12.5,0,0,0,0,0,0,0,0,4,0.9,14,13.9
15,State,Meghalaya,41,12.1,25,8,0,0,0,0,0,0,9,1.8,49,2.6,124,24.5
16,State,Mizoram,0,0,2,0,0,0,0,0,0,0,0,0,4,0.2,6,0.2
17,State,Nagaland,5,1.1,10,10.5,0,0,0,0,1,0.6,8,5.8,8,2.9,32,21
18,State,Orissa,178,75.9,38,13.1,0,0,12,1.5,3,2.9,11,15,21,10.1,263,118.5
19,State,Punjab,15,22,1,3.3,0,0,2,0,0,0,0,0,14,5.5,32,30.8
20,State,Rajasthan,42,15.6,21,20.5,0,0,0,0,1,4.2,12,7.6,73,78.8,149,126.6
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Tamil Nadu,109,25.7,30,33.3,0,0,1,0,1,0,12,3.8,59,109.7,212,172.5
23,State,Tripura,46,3.9,0,0,0,0,0,0,1,8.1,4,1,10,1.9,61,14.9
24,State,Uttar Pradesh,621,197.2,155,252.4,0,0,16,6.4,7,20.6,7,2.3,204,113.1,1010,591.9
25,State,West Bengal,137,49.4,75,41.8,0,0,26,8.9,10,27.9,35,21.1,126,43,409,192.1
