SI.No.,State/UT,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (Prevention) Act,Indian Railways Act,Registration of Foreigners Act,Protection Of Civil Rights Act,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Actvites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (Prohibition)Act,Copy Right Act,Sati Prevention Act,SC/ST (P) of Atrocities Act,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
1,Andhra Pradesh,97.44,99.63,99.96,99.75,99.23,97.28,100,92.86,100,92.89,100,100,33.33,66.67,92.14,NA,100,100,NA,99.52,100,99.99,99.96
2,Arunachal Pradesh,88.89,87.5,NA,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.33,76.32
3,Assam,78.44,84.66,91.67,94.44,61.11,70.37,57.14,72.73,100,NA,100,88.57,42.68,NA,80.52,NA,NA,0,NA,NA,NA,82.81,80.33
4,Bihar,95.26,93.79,98.33,95.02,100,76.51,100,50.67,18.75,88,0,91.5,100,75,89.95,100,NA,100,NA,92.06,89.33,91.88,92
5,Goa,100,100,99.73,NA,NA,60,100,NA,94.44,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,94.49,96.79
6,Gujarat,98.38,97.95,100,NA,99.68,95,100,99.25,100,100,100,100,NA,NA,NA,100,100,100,NA,97.59,100,98.96,99.53
7,Haryana,97.82,89.94,99.78,97.83,NA,74.07,100,98.81,100,66.67,100,98.27,NA,NA,100,NA,NA,100,NA,100,NA,96.83,97.71
8,Himachal Pradesh,100,98.9,100,99.9,NA,60,100,100,100,100,NA,100,NA,NA,100,100,NA,100,NA,100,74.25,86.75,98.39
9,Jammu & Kashmir,58.56,96.15,100,100,NA,33.48,100,NA,100,100,88.89,99.48,26.65,NA,100,NA,NA,NA,NA,NA,94.12,53.7,62.88
10,Karnataka,81.25,99.53,99.96,96.18,100,80.33,100,43.75,100,93.65,100,93.75,NA,100,90.71,NA,NA,78.95,NA,95.35,83.9,99.33,99.32
11,Kerala,94.33,94.33,100,91.23,96.35,73.24,100,41.67,100,66.67,75.86,90.14,NA,NA,100,100,94.74,95.65,NA,99.64,NA,89.44,93.37
12,Madhya Pradesh,99.93,99.24,99.99,99.97,100,96.74,84.21,99.78,NA,96.04,NA,85.14,NA,NA,97.8,NA,100,97.83,NA,94.05,96,99.98,99.91
13,Maharashtra,99.04,98,99.99,NA,99.28,90.59,100,99.04,100,96.47,91.67,99.42,NA,NA,100,NA,100,98.28,NA,92.54,100,99.39,99.36
14,Manipur,44,80.43,100,100,NA,20,NA,NA,50,NA,84.62,33.33,11.11,NA,NA,NA,NA,NA,NA,NA,NA,10.2,38.37
15,Meghalaya,90.57,90,100,100,NA,50,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,80,92.86
16,Mizoram,87.5,100,100,NA,100,100,100,NA,100,NA,100,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.87
17,Nagaland,100,94.85,100,93.33,100,75,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.26,68.85
18,Orissa,93.77,98.44,98.18,100,100,80.81,100,66.67,NA,100,NA,97.73,NA,NA,93.84,NA,100,84.62,NA,94.04,NA,94.23,96.44
19,Punjab,96.67,99.08,99.38,97.36,0,60.61,50,96.88,100,NA,97.14,90.23,NA,NA,NA,100,100,94.44,NA,66.67,NA,94.44,97.47
20,Rajasthan,97.89,95.71,100,99.15,NA,92.61,100,95.65,66.67,60,84.21,94.4,NA,100,100,100,100,100,NA,98.8,99.38,92.8,97.61
21,Sikkim,100,100,NA,100,NA,NA,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.1,99.33
22,Tamil Nadu,86.67,91.52,100,NA,95.57,98.26,100,76.11,100,99.45,100,87.5,NA,100,99.32,0,NA,100,NA,83.5,0,88.35,93.04
23,Tripura,89.09,100,88.89,NA,NA,100,NA,NA,NA,NA,NA,85.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.23
24,Uttar Pradesh,99.16,99.5,99.88,99.95,100,97.3,83.87,95.87,72,96.12,100,75.64,NA,NA,85.3,100,100,92,100,87.42,95.74,99.54,99.27
25,West Bengal,84.62,77.11,98.48,99.72,0,69.1,100,99.8,98.38,NA,100,85.57,0,77.78,100,NA,NA,62.03,NA,NA,NA,99.78,99.71
Total States,Total States,96.82,96.98,99.92,98.74,97.29,84.61,99.73,98.69,96.88,95.13,93.35,91.28,30.68,80.77,90.9,98.31,98.7,93.13,100,92.53,94.66,98.96,98.67
26,A & N Islands,NA,100,100,100,100,100,NA,NA,100,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,100
27,Chandigarh,84.21,76.47,95,100,NA,NA,100,NA,100,100,NA,88.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.67,92.59
28,D & N Haveli,100,NA,NA,88.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.67,NA,100,86.67
29,Daman & Diu,NA,100,100,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
30,Delhi,99.78,99.59,100,100,NA,96.23,100,91.43,100,100,100,100,100,NA,100,NA,NA,100,NA,100,100,99.51,99.85
31,Lakshadweep,NA,NA,NA,NA,33.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33
32,Pondicherry,100,100,100,NA,NA,100,100,NA,100,44.44,NA,100,NA,NA,50,100,100,0,NA,NA,0,100,99.56
Total (UTs),Total (UTs),99.67,99.06,99.95,99.99,97.1,96.49,100,91.43,100,56.52,100,98.91,100,NA,85.71,100,100,97.44,NA,83.33,33.33,99.9,99.74
Total (All NAIndia),Total (All NAIndia),96.93,97.06,99.92,98.79,97.29,84.74,99.73,98.69,97.01,94.49,93.48,91.42,31.5,80.77,90.89,98.36,98.73,93.34,100,92.52,94.62,98.96,98.67
