SI.No.,State/UT,Incidence of Total Cog .Crimes,Percentage Contribution to All-India Total,Estimated Mid Year Population (In Lakhs),Rate of Crimes Cog. Crimes,Rank*,Rank**
1,Andhra Pradesh,365,6.1,733.6,0.5,18,7
2,Arunachal Pradesh,29,0.48,10.9,2.66,2,18
3,Assam,195,3.26,252.8,0.77,13,10
4,Bihar,368,6.15,952.4,0.39,23,6
5,Goa,16,0.27,14.6,1.1,9,20
6,Gujarat,389,6.51,464.2,0.84,12,5
7,Haryana,184,3.08,190.2,0.97,11,12
8,Himachal Pradesh,70,1.17,62.3,1.12,8,17
9,Jammu & Kashmir,6,0.1,92.6,0.06,30,25
10,Karnataka,124,2.07,502.9,0.25,25,14
11,Kerala,184,3.08,314.6,0.58,16,12
12,Madhya Pradesh,1243,20.79,760.1,1.64,4,1
13,Maharashtra,916,15.32,882.7,1.04,10,2
14,Manipur,5,0.08,23,0.22,26,26
15,Meghalaya,4,0.07,22.2,0.18,29,28
16,Mizoram,11,0.18,8.7,1.26,5,21
17,Nagaland,3,0.05,15.3,0.2,27,29
18,Orissa,155,2.59,349.5,0.44,19,13
19,Punjab,89,1.49,228.1,0.39,22,16
20,Rajasthan,201,3.36,510.4,0.39,21,9
21,Sikkim,6,0.1,5.1,1.18,7,25
22,Tamil Nadu,116,1.94,602.9,0.19,28,15
23,Tripura,23,0.38,34.5,0.67,14,19
24,Uttar Pradesh,528,8.83,1607,0.33,24,3
25,West Bengal,390,6.52,761.4,0.51,17,4
Total States,Total States,5620,93.98,9402,0.6,NA,NA
26,A & N Islands,7,0.12,3.5,2,3,23
27,Chandigarh,10,0.17,8.1,1.23,6,22
28,D & N Haveli,1,0.02,1.7,0.59,15,30
29,Daman & DIU,0,0,1.3,0,NA,NA
30,Delhi,338,5.65,124.7,2.71,1,6
31,Lakshadweep,0,0,0.7,0,NA,NA
32,Pondicherry,4,0.07,10.1,0.4,20,28
Total (UTs),Total (UTs),360,6.02,150.1,2.4,NA,NA
Total (All -India),Total (All -India),5980,100,9552.1,0.63,NA,NA
