Si. No.,Event,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,200,90,383,8,637
2,Anti-Dacoity Operations,120,69,28,3,32
3,Against Extremists and Terrorist,301,184,75,92,95
4,Against Others,169,124,80,3,231
5,Total,790,467,566,106,995
