SI.No.,State/UT,Total No. of Persons under Trial Including those From Previous Year,Number of persons whose - Cases Compounded or Withdrawn,Number of Persons whose - Trial Completed,Number of Persons whose - Trial Remained Pending,No. of Persons Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
1,Andhra Pradesh,464196,22999,144112,297085,48744,64,3.1
2,Arunachal Pradesh,11804,439,614,10751,325,91.1,0.1
3,Assam,151885,5384,27875,118626,4885,78.1,1.3
4,Bihar,1308710,39455,159041,1110214,30254,84.8,11.7
5,Goa,29290,602,4358,24330,767,83.1,0.3
6,Gujarat,839464,15942,90403,73319,25317,87.3,7.7
7,Haryana,194788,1102,36251,157435,10203,80.8,1.7
8,Himachal Pradesh,71261,2865,8187,60209,1644,84.5,0.6
9,Jammu & Kashmir,123892,15014,10367,98511,2542,79.5,1
10,Karnataka,564926,42388,153746,368792,17372,65.3,3.9
11,Kerala,445823,25296,90135,330392,20474,74.1,3.5
12,Madhya Pradesh,1620726,79388,198294,1343044,90731,82.9,14.2
13,Maharashtra,1846410,46541,160301,1639568,23974,88.8,17.3
14,Manipur,5662,50,2922,2690,5,47.5,0
15,Meghalaya,9343,95,927,8321,520,89.1,0.1
16,Mizoram,3007,4,865,2138,814,71.1,0
17,Nagaland,4781,29,740,4012,516,83.9,0
18,Orissa,496406,99,88950,407357,6380,82.1,4.3
19,Punjab,52547,662,13756,38129,5215,72.6,0.4
20,Rajasthan,1097518,63881,153028,880609,80999,80.2,9.3
21,Sikkim,797,91,232,474,174,59.5,0
22,Tamil Nadu,494491,10679,167035,316777,83691,64.1,3.3
23,Tripura,9791,459,3055,6277,369,64.1,0.1
24,Uttar Pradesh,1077784,24377,211131,842276,108060,78.1,8.9
25,West Bengal,483789,1778,36687,445324,4875,92,4.7
Total States,Total States,11409091,399619,1763012,9246460,568850,81,97.7
26,A & N Islands,3542,12,291,3239,12,91.4,0
27,Chandigarh,7469,0,1610,5859,861,78.4,0.1
28,D & N Haveli,1942,0,333,1609,73,82.9,0
29,Daman & DIU,1299,17,268,1014,39,78.1,0
30,Delhi,222943,0,19613,203330,5792,91.2,2.1
31,Lakshadweep,31,4,6,19,1,61.3,0
32,Pondicherry,8087,988,4195,2904,3457,35.9,0
Total (UTs),Total (UTs),245313,1021,26318,217974,10415,88.9,2.3
Total (All -India),Total (All -India),11654404,400640,1789330,9464434,579265,81.2,100
