SI.No.,Category,State/UT/City,Arms Act,Narcotic Drugs & Psy. Subtances Act,Gambling Act,Excise Act,prohibition Act,Explosive & Explosive Sub. Act,Immoral Traffic (Prevention) Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act,Indian Passport Act,Essenial Commodities Act,Terrorist & Disruptive Activites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copy Right Act,Sati Prevention Act,SC/ST (P) of Atrocities Act,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
1,State,Andhra Pradesh,0,0,1,13,6,0,10,0,0,1,0,0,1,0,2,0,0,0,0,2,0,26,62
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,7
4,State,Bihar,7,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24
5,State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
6,State,Gujarat,0,0,0,0,32,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,28,64
7,State,Haryana,61,2,9,144,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,227
8,State,Himachal Pradesh,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Karnataka,0,1,2,1,0,0,66,0,0,3,2,0,0,0,1,0,0,0,0,4,0,8,88
11,State,Kerala,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
12,State,Madhya Pradesh,24,3,32,20,0,1,0,23,0,1,0,2,0,0,0,0,0,0,0,1,0,311,418
13,State,Maharashtra,2,1,36,0,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,536,662
14,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,State,Meghalaya,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
16,State,Mizoram,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
17,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Punjab,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
20,State,Rajasthan,0,4,2,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,10,35
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Tamil Nadu,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2714,2739
