SI.No.,Category,State/UT/City,Murder - 1996,Murder - 1997,Murder - Percentage Variation,Attempt to commit Murder - 1996,Attempt to Commit Murder - 1997,Attempt to Commit Murder - Percentage Variation,C.H.Not Amounting to Murder - 1996,C.H.Not Amounting to Murder - 1997,C.H.Not Amounting to Murder - Percentage Variation,Rape - 1996,Rape - 1997,Rape - PercentageVariation,Kidnapping & Abduction total - 1996,Kidnapping & Abduction total - 1997,Kidnapping & Abduction total - Percentage Variation,Kidnapping & Abduction of Women & Girls - 1996,Kidnapping & Abduction of Women & Girls - 1997,Kidnapping & Abduction of Women & Girls - Percentage Variation,Kidnapping & Abduction of others - 1996,Kidnapping & Abduction of others - 1997,Kidnapping & Abduction of others - Percentage Variation,Dacoity - 1996,Dacoity - 1997,Dacoity - Percentage Variation,Preperation & Assembly for Dacoity - 1996,Preperation & Assembly for Dacoity - 1997,Preperation & Assembly for Dacoity - Percentage Variation,Robbery - 1996,Robbery - 1997,Robbery - Percentage Variation,Burglary - 1996,Burglary - 1997,Burglary - Percentage Variation,Theft - 1996,Theft - 1997,Theft - Percentage Variation,Riots - 1996,Riots - 1997,Riots - Percentage Variation,Criminal Breach of Trust - 1996,Criminal Breach of Trust - 1997,Criminal Breach of trust - Percentage Variation,Cheating - 1996,Cheating - 1997,Cheating - Percentage Variation,Counterfeiting - 1996,Counterfeiting - 1997,Counterfeiting - Percentage Variation,Arson - 1996,Arson - 1997,Arson - Percentage Variation,Hurt - 1996,Hurt - 1997,Hurt - Percentage Variation,Dowry Deaths - 1996,Dowry Deaths - 1997,Dowry Deaths - Percentage Variation,Molestation - 1996,Molestation -1997,Molestation - Percentage Variation,Sexual Harassment - 1996,Sexual Harassment - 1997,Sexual Harassment - Percentage Variation,Cruelty by Husband and Relatives - 1996,Cruelty by Husband and Relatives - 1997,Cruelty by Husband and Relatives - Percentage Variation,Other IPC Crimes - 1996,Other IPC Crimes - 1997,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1996,Total Cognizable Crimes Under IPC - 1997,Total Cognizable Crimes Under IPC - Percentage Variation
1,State,Andhra Pradesh,2609,2872,10.1,1318,1324,0.5,122,121,-0.8,812,947,16.6,1028,1262,22.8,682,730,7,346,532,53.8,448,511,14.1,3,9,200,775,872,12.5,6177,6963,12.7,14413,15009,4.1,4058,3657,-9.9,585,759,29.7,2671,3453,29.3,113,139,23,1000,1149,14.9,24119,23986,-0.6,411,520,26.5,2559,2899,13.3,994,1023,2.9,3478,3870,11.3,42066,43618,3.7,109759,114963,4.7
2,State,Arunachal Pradesh,76,69,-9.2,33,40,21.2,4,3,-25,37,43,16.2,52,38,-26.9,35,23,-34.3,17,15,-11.8,25,41,64,1,1,0,68,60,-11.8,186,197,5.9,368,389,5.7,17,17,0,31,33,6.5,25,22,-12,6,2,-66.7,12,15,25,286,317,10.8,0,0,NA,29,37,27.6,1,0,-100,4,1,-75,666,551,-17.3,1927,1876,-2.6
3,State,Assam,1435,1452,1.2,409,376,-8.1,33,26,-21.2,580,717,23.6,1190,1305,9.7,984,1113,13.1,206,192,-6.8,843,798,-5.3,24,22,-8.3,1063,1027,-3.4,3516,3474,-1.2,7521,7373,-2,3534,3607,2.1,444,483,8.8,541,683,26.2,52,25,-51.9,730,496,-32.1,4341,4443,2.3,28,22,-21.4,569,686,20.6,8,34,325,553,775,40.1,9076,8738,-3.7,36490,36562,0.2
4,State,Bihar,5264,5354,1.7,4637,4663,0.6,590,578,-2,1453,1457,0.3,2378,2425,2,1003,968,-3.5,1375,1457,6,2450,2392,-2.4,228,208,-8.8,2955,2931,-0.8,6563,5955,-9.3,16782,14959,-10.9,12449,11997,-3.6,1693,1318,-22.2,1846,1668,-9.6,32,90,181.3,441,570,29.3,4805,5314,10.6,478,761,59.2,533,612,14.8,107,48,-55.1,675,974,44.3,50658,53127,4.9,117017,117401,0.3
5,State,Goa,30,43,43.3,11,11,0,9,6,-33.3,10,15,50,13,9,-30.8,9,5,-44.4,4,4,0,4,7,75,0,0,NA,71,65,-8.5,532,549,3.2,737,784,6.4,184,155,-15.8,31,34,9.7,54,48,-11.1,5,4,-20,19,38,100,222,200,-9.9,1,3,200,17,15,-11.8,7,7,0,13,8,-38.5,828,894,8,2798,2895,3.5
6,State,Gujarat,1338,1415,5.8,621,707,13.8,11,5,-54.5,306,375,22.5,1055,1209,14.6,864,973,12.6,191,236,23.6,371,342,-7.8,3,4,33.3,1130,1244,10.1,5717,6322,10.6,17608,17669,0.3,2289,2410,5.3,2028,1860,-8.3,3197,2540,-20.6,138,102,-26.1,541,570,5.4,15831,15965,0.8,105,87,-17.1,1077,1077,0,81,90,11.1,2666,3183,19.4,61708,60647,-1.7,117821,117823,0
7,State,Haryana,606,609,0.5,374,416,11.2,83,137,65.1,336,373,11,452,428,-5.3,307,291,-5.2,145,137,-5.5,55,58,5.5,27,51,88.9,255,201,-21.2,3287,3018,-8.2,4997,4979,-0.4,739,862,16.6,356,385,8.1,844,1050,24.4,28,33,17.9,221,223,0.9,6103,4827,-20.9,223,267,19.7,529,546,3.2,434,287,-33.9,490,533,8.8,13077,12698,-2.9,33516,31981,-4.6
8,State,Himachal Pradesh,123,117,-4.9,80,64,-20,7,7,0,132,129,-2.3,157,142,-9.6,125,130,4,32,12,-62.5,3,4,33.3,0,0,NA,24,19,-20.8,987,821,-16.8,771,616,-20.1,539,575,6.7,97,93,-4.1,149,142,-4.7,16,5,-68.8,128,103,-19.5,1481,1305,-11.9,6,12,100,295,288,-2.4,16,18,12.5,227,221,-2.6,5538,5561,0.4,10776,10242,-5
9,State,jammu & Kashmir,1044,792,-24.1,797,761,-4.5,15,14,-6.7,157,166,5.7,523,618,18.2,474,588,24.1,49,30,-38.8,65,43,-33.8,0,0,NA,283,189,-33.2,1931,1703,-11.8,2357,2172,-7.8,710,722,1.7,71,108,52.1,150,271,80.7,3,13,333.3,709,475,-33,385,414,7.5,0,12,NA,376,425,13,166,319,92.2,33,7,-78.8,7703,7968,3.4,17478,17192,-1.6
10,State,Karnataka,1604,1669,4.1,1220,1441,18.1,55,57,3.6,222,244,9.9,532,679,27.6,193,358,85.5,339,321,-5.3,250,288,15.2,6,2,-66.7,994,1224,23.1,9210,9365,1.7,16832,16399,-2.6,8113,7877,-2.9,612,780,27.5,1984,1890,-4.7,1208,668,-44.7,696,368,-47.1,24926,24297,-2.5,182,195,7.1,1310,1405,7.3,166,147,-11.4,1382,1450,4.9,42971,44418,3.4,114475,114863,0.3
11,State,Kerala,417,446,7,444,486,9.5,94,106,12.8,389,588,51.2,230,230,0,149,160,7.4,81,70,-13.6,98,103,5.1,13,3,-76.9,296,246,-16.9,5066,4863,-4,3727,3990,7.1,6028,6494,7.7,330,373,13,2101,2368,12.7,58,97,67.2,370,362,-2.2,15653,17699,13.1,25,25,0,1166,1561,33.9,40,70,75,1079,1675,55.2,48517,50738,4.6,86141,92523,7.4
12,State,Madhya Pradesh,3302,3463,4.9,3252,3363,3.4,196,225,14.8,3265,3518,7.7,1084,1128,4.1,960,941,-2,124,187,50.8,198,199,0.5,112,87,-22.3,1826,1754,-3.9,17853,18196,1.9,27160,26588,-2.1,3877,3900,0.6,773,738,-4.5,1632,1920,17.6,101,39,-61.4,1267,1361,7.4,28432,29173,2.6,577,550,-4.7,6838,7822,14.4,705,748,6.1,2493,2479,-0.6,91836,97775,6.5,196779,205026,4.2
13,State,Maharashtra,2777,2826,1.8,1238,1322,6.8,119,92,-22.7,1444,1246,-13.7,1069,1185,10.9,732,820,12,337,365,8.3,668,716,7.2,92,129,40.2,2865,2783,-2.9,16713,15968,-4.5,47769,46233,-3.2,5643,6871,21.8,1789,1711,-4.4,3411,3202,-6.1,161,120,-25.5,1474,1276,-13.4,31357,31332,-0.1,443,420,-5.2,3227,3131,-3,870,835,-4,9156,8111,-11.4,55186,55613,0.8,187471,185122,-1.3
14,State,Manipur,194,299,54.1,136,196,44.1,4,3,-25,14,9,-35.7,79,163,106.3,59,62,5.1,20,101,405,18,14,-22.2,0,0,NA,36,21,-41.7,97,114,17.5,269,249,-7.4,73,101,38.4,12,16,33.3,38,67,76.3,4,3,-25,120,157,30.8,255,230,-9.8,0,0,NA,19,13,-31.6,0,0,NA,2,1,-50,1203,1318,9.6,2573,2974,15.6
15,State,Meghalaya,139,155,11.5,19,25,31.6,4,9,125,33,37,12.1,24,21,-12.5,13,16,23.1,11,5,-54.5,94,124,31.9,0,2,NA,105,107,1.9,190,246,29.5,432,389,-10,44,90,104.5,18,19,5.6,33,23,-30.3,2,2,0,25,36,44,153,160,4.6,1,0,-100,24,29,20.8,1,1,0,0,3,NA,522,500,-4.2,1863,1978,6.2
16,State,Mizoram,43,30,-30.2,18,27,50,8,5,-37.5,49,52,6.1,7,10,42.9,0,0,NA,7,10,42.9,6,6,0,0,0,NA,22,23,4.5,347,412,18.7,967,815,-15.7,0,5,NA,51,28,-45.1,72,62,-13.9,10,5,-50,32,35,9.4,114,77,-32.5,0,0,NA,54,56,3.7,0,0,NA,0,1,NA,441,471,6.8,2241,2120,-5.4
