SI.No.,State/UT,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India total,Estimated Mid-Year Population (In Lakhs),Rate of Total Cognizable Crimes,Rank*,Rank**
1,Andhra Pradesh,1880,6.73,733.6,2.56,6,4
2,Arunachal Pradesh,0,0,10.9,0,NA,NA
3,Assam,0,0,252.8,0,NA,NA
4,Bihar,710,2.54,952.4,0.75,14,10
5,Goa,2,0.01,14.6,0.14,17,19
6,Gujarat,1831,6.55,464.2,3.94,4,5
7,Haryana,93,0.33,190.2,0.49,15,12
8,Himachal Pradesh,61,0.22,62.3,0.98,12,13
9,Jammu & Kashmir,8,0.03,92.6,0.09,19,18
10,Karnataka,1227,4.39,502.9,2.44,7,7
11,Kerala,755,2.701,314.6,2.4,8,9
12,Madhya Pradesh,4269,15.28,760.1,5.62,2,3
13,Maharashtra,831,2.97,882.7,0.54,13,8
14,Manipur,0,0,23,0,NA,NA
15,Meghalaya,0,0,22.2,0,NA,NA
16,Mizoram,0,0,8.7,0,NA,NA
17,Nagaland,0,0,15.3,0,NA,NA
18,Orissa,678,2.43,349.5,1.94,11,11
19,Punjab,11,0.04,228.1,0.05,20,17
20,Rajasthan,5624,20.13,510.4,11.02,1,2
21,Sikkim,18,0.06,5.1,3.53,5,16
22,Tamil Nadu,1403,5.02,602.9,2.33,9,6
23,Tripura,0,0,34.5,0,NA,NA
24,Uttar Pradesh,8500,30.42,1607,5.29,3,1
25,West Bengal,0,0,761.4,0,NA,NA
Total States,Total States,27901,99.85,9402,2.97,NA,NA
26,A & N Islands,0,0,3.5,0,NA,NA
27,Chandigarh,1,0,8.1,0.12,18,20
28,D & N Haveli,0,0,1.7,0,NA,NA
29,Daman & DIU,NA,0,1.3,0,NA,NA
30,Delhi,19,0.07,124.7,0.15,16,15
31,Lakshadweep,0,0,0.7,0,NA,NA
32,Pondicherry,23,0.08,10.1,2.28,10,14
Total (UTs),Total (UTs),43,0.15,150.1,0.29,NA,NA
Total (All -India),Total (All -India),27944,100,9552.1,2.93,NA,NA
