SI.No.,Category,State/UT/City,Gain - Murder,Gain - Culpable Homicide not Amounting to Murder (C.H.),Property Dispute - Murder,Property Dispute - Culpable Homicide not Amounting to Murder (C.H.),Personal vendetta or enmity - Murder,Personal vendetta or enmity - Culpable Homicide not Amounting to Murder (C.H.),Love Affairs/ Sexual causes - Murder,Love Affairs/ Sexual causes - Culpable Homicide not Amounting to Murder (C.H.),Dowry - Murder,Dowry - Culpable Homicide not Amounting to Murder (C.H.),Lunacy - Murder,Lunacy - Culpable Homicide not Amounting to Murder (C.H.),Communalism - Murder,Communalism - Culpable Homicide not Amounting to Murder (C.H.),Casteism - Murder,Casteism - Culpable Homicide not Amounting to Murder (C.H.),Class Conflict - Murder,Class Conflict - Culpable Homicide not Amounting to Murder (C.H.),Other Motives - Murder,Other Motives - Culpable Homicide not Amounting to Murder (C.H.),Total - Murder,Total - Culpable Homicide not Amounting to Murder (C.H.)
1,State,Andhra Pradesh,128,1,167,4,347,0,473,2,96,3,11,2,2,0,1,0,18,0,1629,109,2872,121
2,State,Arunachal Pradesh,3,0,2,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,55,3,69,3
3,State,Assam,56,0,113,1,111,0,25,0,36,0,4,0,5,0,0,0,5,0,1097,25,1452,26
4,State,Bihar,517,46,1416,83,727,50,275,31,343,32,16,3,18,2,30,0,105,0,1907,331,5354,578
5,State,Goa,2,0,4,0,10,2,3,0,0,0,0,0,0,0,0,0,0,0,24,4,43,6
6,State,Gujarat,57,0,169,0,152,0,194,0,25,0,14,0,1,0,0,0,0,0,803,5,1415,5
7,State,Haryana,8,3,150,11,91,19,83,16,13,0,4,0,0,0,1,1,3,1,256,86,609,137
8,State,Himachal Pradesh,10,0,13,1,5,0,9,0,1,0,0,0,0,0,0,0,0,0,79,6,117,7
9,State,Jammu & Kashmir,0,0,9,0,13,0,1,0,11,0,0,0,0,0,0,0,0,0,758,14,792,14
10,State,Karnataka,57,4,104,0,136,0,169,0,38,0,0,0,4,0,5,0,2,0,1154,53,1669,57
11,State,Kerala,17,0,11,0,170,6,3,1,1,0,1,0,0,0,3,0,9,0,231,99,446,106
12,State,Madhya Pradesh,159,5,355,2,608,0,231,4,88,43,49,0,16,0,18,0,44,0,1895,171,3463,225
13,State,Maharashtra,97,1,129,8,237,0,330,2,134,23,20,1,89,5,11,0,13,0,1766,52,2826,92
14,State,Manipur,10,0,0,0,7,1,0,0,0,0,0,0,5,0,0,0,109,2,168,0,299,3
