SI.No,Crime Head,7-12 Years - Boys,7-12 years - Girls,12-16 Years - Boys,12-16 years - Girls,16-18 Years - Girls only,Overall age Group - Boys,Overall age Group - Girls,Total (Boys + Girls)
1,Murder,34,8,284,30,33,318,71,389
2,Attempt to Commit Murder,16,9,176,3,23,192,35,227
3,C.H. Not Amounting To Murder,3,0,19,6,3,22,9,31
4,Rape,0,0,173,5,2,173,7,180
5,Kidnapping & Abduction,1,0,33,2,42,34,44,78
5,I)Of Women & Girls,0,0,22,2,27,22,29,51
5,II)Of Others,1,0,11,0,15,12,15,27
6,Dacoity,1,0,33,0,3,34,3,37
7,Preparation & Assembly for Dacoity,0,0,0,0,1,0,1,1
8,Robbery,6,0,53,0,1,59,1,60
9,Burglary,216,10,1376,20,26,1592,56,1648
10,Theft,519,33,2120,81,133,2639,247,2886
11,Riots,88,10,617,30,376,705,416,1121
12,Criminal Breach of Trust,1,2,11,0,1,12,3,15
13,Cheating,5,5,30,2,10,35,17,52
14,Counterfeiting,0,0,1,0,0,1,0,1
15,Arson,12,1,29,0,6,41,7,48
16,Hurt,168,23,945,67,444,1113,534,1647
17,Dowry Deaths,0,1,5,9,56,5,66,71
18,Molestation,5,0,128,0,7,133,7,140
19,Sexual Harassment,0,0,26,0,4,26,4,30
20,Cruelty by Husband and Relatives,14,4,23,12,209,37,225,262
21,Other IPC Crimes,542,23,1911,146,661,2453,830,3283
Total Cognizable Crimes Under IPC,Total Cognizable Crimes Under IPC,1631,129,7993,413,2041,9624,2583,12207
1,Arms Act,4,0,101,0,1,105,1,106
2,Narcotic Drugs & Psychotropic Substances Act,0,0,10,0,1,10,1,11
3,Gambling Act,11,0,141,0,1,152,1,153
4,Excise Act,8,2,192,4,21,200,27,227
5,Prohibition Act,18,3,76,10,99,94,112,206
6,Explosive & Explosive Substances Act,0,0,20,0,0,20,0,20
7,Immoral Traffic (P) Act,0,10,0,1,89,0,100,100
8,Indian Railways Act,3,0,14,0,9,17,9,26
9,Registration of Foreigners Act,5,2,24,3,9,29,14,43
10,Protection Of Civil Rights Act,1,0,2,0,4,3,4,7
11,Indian Passport Act,10,6,3,0,2,13,8,21
12,Essential Commodities Act,0,0,2,0,0,2,0,2
13,Terrorist & Disruptive Actvites Act,0,0,1,0,0,1,0,1
14,Antiquity & Art Treasure Act,0,0,0,0,0,0,0,0
15,Dowry Prohibition Act,0,0,0,0,3,0,3,3
16,Child Marriage Restraint Act,0,0,0,0,1,0,1,1
17,Indecent Representation of Women (P)Act,0,0,0,0,0,0,0,0
18,Copy Right Act,0,0,0,0,0,0,0,0
19,Sati Prevention Act,0,0,0,0,0,0,0,0
20,SC/ST (Prevention of Atrocities ) Act,0,0,4,1,10,4,11,15
21,Forest Act,0,0,0,0,0,0,0,0
22,Other SLL Crimes,889,15,3119,37,587,4008,639,4647
Total Cognizable Crimes Under SLL,Total Cognizable Crimes Under SLL,949,38,3709,56,837,4658,931,5589
C. Grand Total (A+B),C. Grand Total (A+B),2580,167,11702,469,2878,14282,3514,17796
