SI.No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,0,0,0,0,40,31,1213,1153,1253,1184
2,State,Arunachal Pradesh,0,1,0,0,13,13,52,106,65,120
3,State,Assam,0,0,0,0,22,25,201,201,223,226
4,State,Bihar,6,6,11,11,51,51,274,272,342,340
5,State,Goa,0,0,0,0,4,8,157,158,161,166
6,State,Gujarat,0,0,1,1,58,58,871,871,930,930
7,State,Haryana,0,1,0,5,26,20,199,169,225,195
8,State,Himachal Pradesh,0,2,0,1,3,23,43,381,46,407
9,State,Jammu & Kashmir,0,0,0,0,25,9,169,134,194,143
10,State,Karnataka,0,0,0,0,87,42,1320,1175,1407,1217
11,State,Kerala,0,0,1,0,40,40,520,432,561,472
12,State,Madhya Pradesh,0,0,1,1,147,123,1044,920,1192,1044
13,State,Maharashtra,0,0,3,3,192,192,2966,2966,3161,3161
14,State,Manipur,0,0,0,0,1,4,243,243,244,247
15,State,Meghalaya,0,0,0,0,4,35,40,96,44,131
16,State,Mizoram,0,0,0,0,0,8,0,78,0,86
17,State,Nagaland,0,0,0,0,15,15,22,22,37,37
18,State,Orissa,0,0,1,1,97,77,230,230,328,308
19,State,Punjab,0,2,0,4,26,48,181,927,207,981
20,State,Rajasthan,0,2,2,1,41,28,579,568,622,599
21,State,Sikkim,0,0,1,1,17,17,50,50,68,68
22,State,Tamil Nadu,0,0,26,24,335,213,2533,2426,2894,2663
23,State,Tripura,0,0,1,1,42,42,175,175,218,218
24,State,Uttar Pradesh,6,6,22,22,204,161,1855,1560,2087,1749
25,State,West Bengal,0,0,1,1,230,160,619,559,850,720
Total States,State,Total States,12,20,71,77,1720,1443,15556,15872,17359,17412
26,UT,A & N Islands,0,0,0,0,4,4,71,71,75,75
27,UT,Chandigarh,0,0,0,0,2,22,33,136,35,158
28,UT,D & N Haveli,0,0,0,0,2,1,7,7,9,8
29,UT,Daman & DIU,0,0,0,0,0,0,1,3,1,3
30,UT,Delhi,0,0,1,1,410,361,998,959,1409,1321
31,UT,Lakshadweep,0,0,0,0,1,1,17,17,18,18
32,UT,Pondicherry,0,0,0,0,2,3,12,62,14,65
Total (UTs),UT,Total (UTs),0,0,1,1,421,392,1139,1255,1561,1648
Total (All-India),Total (All -India),Total (All-India),12,20,72,78,2141,1835,16695,17127,18920,19060
33,City,Ahmedabad,0,0,1,0,13,10,159,142,173,152
34,City,Bangalore,0,0,0,0,21,21,148,128,169,149
35,City,Bhopal,0,0,0,0,11,9,57,53,68,62
36,City,Bombay,0,0,3,3,123,108,856,704,982,815
37,City,Calcutta,0,0,1,1,98,91,217,190,316,282
38,City,Coimbatore,0,0,0,0,14,14,56,52,70,66
39,City,Delhi,0,0,1,1,410,361,998,959,1409,1321
40,City,Hyderabad,0,0,0,0,9,8,199,195,208,203
41,City,Indore,0,0,0,0,6,7,53,56,59,63
42,City,Jaipur,0,0,2,0,10,2,77,58,89,60
43,City,Kanpur,0,0,1,1,13,4,55,95,69,100
44,City,Kochi,0,0,0,0,6,6,42,35,48,41
45,City,Lucknow,0,0,0,0,11,11,84,84,95,95
46,City,Ludhiana,0,0,0,0,1,3,17,48,18,51
47,City,Madras,0,0,0,0,22,15,214,143,236,158
48,City,Madurai,0,0,0,0,12,9,52,47,64,56
49,City,Nagpur,0,0,0,0,9,9,145,144,154,153
50,City,Patna,0,0,0,0,30,16,85,87,115,103
51,City,Pune,0,0,0,0,26,26,238,238,264,264
52,City,Surat,0,0,0,0,3,3,115,81,118,84
53,City,Vadodra,0,0,0,0,3,0,118,104,121,104
54,City,Varanasi,0,0,0,0,5,5,60,58,65,63
55,City,Vishakhapatnam,0,0,0,0,4,4,100,90,104,94
