SL.No.,Rank,Number of Victims Killed - In Dacoity Operations or Other Raids,Number of Victims Killed - In by Riotous Mobs,Number of Victims Killed - By Other Criminals,Number of Victims Killed - On Other Duties,Number of Victims Killed - In Accidents,Number of Victims Killed - Total,Number of Victims Injured - In Dacoity Operation or Other Raids,Number of Victims Injured - By Riotous Mobs,Number of Victims Injured - By Other Criminals,Number of Victims Injured - On Border Duties,Number of Victims Injured - In Accidents,Number of Victims Injured - Total
1,Constables,22,23,97,11,272,425,92,1500,518,5,456,2571
2,Head Constables,7,3,21,1,47,79,15,250,117,3,85,470
3,Asstt. Sub. Inspectors,2,0,4,0,17,23,10,86,43,0,40,179
4,Sub- Inspector,7,3,22,1,27,60,23,222,88,1,58,392
5,Inspectors,0,0,3,0,4,7,6,81,28,0,15,130
6,Other Gazetted Officers,0,1,1,0,1,3,0,72,12,1,5,90
7,Total,38,30,148,13,368,597,146,2211,806,10,659,3832
