SI.No.,State/UT,Incidence of Total Cog. Crimes,Percentage Countribution to All-India Total,Estimated Mid-Year Population (in Lakhs),Rate of Total Cog. Crimes,Rank *,Rank**
1,Andhra Pradesh,236,5.08,733.6,0.32,11,5
2,Arunachal Pradesh,0,0,10.9,0,NA,NA
3,Assam,0,0,252.8,0,NA,NA
4,Bihar,158,3.4,952.4,0.17,13,8
5,Goa,0,0,14.6,0,NA,NA
6,Gujarat,384,8.27,464.2,0.83,4,3
7,Haryana,5,0.11,190.2,0.03,17,15
8,Himachal Pradesh,1,0.02,62.3,0.02,18,13
9,Jammu & Kashmir,11,0.24,92.6,0.12,15,14
10,Karnataka,78,1.68,502.9,0.16,14,11
11,Kerala,139,2.99,314.6,0.44,9,9
12,Madhya Pradesh,1400,30.15,760.1,1.84,3,2
13,Maharashtra,189,4.07,882.7,0.21,12,7
14,Manipur,0,0,23,0,NA,NA
15,Meghalaya,13,0.28,22.2,0.59,7,13
16,Mizoram,0,0,8.7,0,NA,NA
17,Nagaland,0,0,15.3,0,NA,NA
18,Orissa,238,5.12,349.5,0.68,5,4
19,Punjab,0,0,228.1,0,NA,NA
20,Rajasthan,1445,31.12,510.4,2.83,2,1
21,Sikkim,31,0.67,5.1,6.08,1,12
22,Tamil Nadu,227,4.89,602.9,0.38,10,6
23,Tripura,0,0,34.5,0,NA,NA
24,Uttar Pradesh,86,1.85,1607,0.05,16,10
25,West Bengal,0,0,761.4,0,NA,NA
Total States,Total States,4641,99.94,9402,0.49,NA,NA
26,A & N Islands,2,0.04,3.5,0.57,8,16
27,Chandigarh,0,0,8.1,0,NA,NA
28,D & N Haveli,1,0.02,1.7,0.59,6,18
29,Daman & DIU,0,0,1.3,0,NA,NA
30,Delhi,0,0,124.7,0,NA,NA
31,Lakshadweep,0,0,0.7,0,NA,NA
32,Pondicherry,0,0,10.1,0,NA,NA
Total (UTs),Total (UTs),3,0.06,150.1,0.02,NA,NA
Total (All India),Total (All India),4644,100,9552.1,0.49,NA,NA
