SI.No.,Category,State/UT/City,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection of Civil Rights Act - Incidence,Protection of Civil Rights Act - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activites Act - Incidence,Terrorist & Disruptive Activites Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P)Act - Incidence,Indecent Representation of Women (P)Act - Rate,CopyRight Act - Incidence,CopyRight Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev. Of Atrocities ) Act - Incidence,SC/ST (Prev. Of Atrocities ) Act - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes Under SLL - Incidence,Total Cognizable Crimes Under SLL - Rate
1,State,Andhra Pradesh,575,0.8,771,1.1,34906,47.6,7767,10.6,9612,13.1,416,0.6,613,0.8,65,0.1,4,0,259,0.4,0,0,11,0,0,0,7,0,149,0.2,0,0,0,0,40,0.1,0,0,751,1,37,0.1,674903,920,730886,996.3
2,State,Arunachal Pradesh,8,0.7,13,1.2,0,0,0,0,0,0,5,0.5,0,0,0,0,6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.7,50,4.6
3,State,Assam,549,2.2,188,0.7,308,1.2,103,0.4,65,0.3,77,0.3,20,0.1,15,0.1,8,0,0,0,46,0.2,38,0.2,1,0,0,0,40,0.2,0,0,0,0,16,0.1,0,0,0,0,0,0,1258,5,2732,10.8
4,State,Bihar,2968,3.1,181,0.2,391,0.4,1051,1.1,6,0,347,0.4,21,0,148,0.2,4,0,21,0,2,0,304,0.3,8,0,4,0,1038,1.1,23,0,0,0,1,0,0,0,779,0.8,96,0.1,1284,1.3,8677,9.1
5,State,Goa,2,0.1,11,0.8,377,25.8,0,0,0,0,0,0,134,9.2,3,0.2,17,1.2,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,11,0.8,0,0,0,0,0,0,626,42.9,1182,81
6,State,Gujarat,252,0.5,183,0.4,6700,14.4,0,0,95183,205,24,0.1,5,0,1641,3.5,15,0,53,0.1,12,0,120,0.3,0,0,0,0,0,0,29,0.1,11,0,64,0.1,0,0,830,1.8,7,0,32215,69.4,137344,295.9
7,State,Haryana,963,5.1,1532,8.1,2338,12.3,65355,343.6,0,0,30,0.2,7,0,1294,6.8,4,0,2,0,2,0,211,1.1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,7,0,6,0,6507,34.2,78264,411.5
8,State,Himachal Pradesh,17,0.3,97,1.6,158,2.5,4241,68.1,0,0,3,0,1,0,2,0,14,0.2,21,0.3,0,0,10,0.2,0,0,0,0,1,0,6,0.1,0,0,4,0.1,0,0,26,0.4,288,4.6,99,1.6,4988,80.1
9,State,Jammu & Kashmir,2307,24.9,76,0.8,40,0.4,97,1,0,0,351,3.8,2,0,2,0,13,0.1,0,0,53,0.6,1305,14.1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0.1,36,0.4,648,7,4947,53.4
10,State,Karnataka,64,0.1,227,0.5,4935,9.8,2734,5.4,6,0,64,0.1,1645,3.3,45,0.1,42,0.1,246,0.5,11,0,137,0.3,0,0,3,0,224,0.4,1,0,0,0,27,0.1,0,0,1333,2.7,344,0.7,1320314,2625.4,1332402,2649.4
11,State,Kerala,183,0.6,503,1.6,1566,5,572,1.8,4608,14.6,216,0.7,41,0.1,21,0.1,18,0.1,7,0,27,0.1,102,0.3,0,0,0,0,2,0,4,0,12,0,30,0.1,0,0,371,1.2,65,0.2,5159,16.4,13507,42.9
12,State,Madhya Pradesh,7160,9.4,1070,1.4,21606,28.4,22729,29.9,2,0,459,0.6,16,0,13491,17.7,0,0,89,0.1,0,0,311,0.4,0,0,0,0,88,0.1,0,0,0,0,47,0.1,0,0,1035,1.4,54,0.1,174687,229.8,242844,319.5
13,State,Maharashtra,1210,1.4,1007,1.1,14664,16.6,0,0,113792,128.9,87,0.1,1653,1.9,8579,9.7,143,0.2,313,0.4,17,0,658,0.7,0,0,1,0,24,0,0,0,30,0,292,0.3,0,0,244,0.3,30,0,193507,219.2,336251,380.9
14,State,Manipur,35,1.5,124,5.4,23,1,34,1.5,0,0,11,0.5,0,0,0,0,3,0.1,0,0,11,0.5,1,0,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,14,568,24.7
15,State,Meghalaya,62,2.8,24,1.1,58,2.6,25,1.1,0,0,2,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.4,181,8.2
16,State,Mizoram,12,1.4,81,9.3,8,0.9,0,0,1134,130.3,10,1.1,1,0.1,0,0,139,16,0,0,75,8.6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,20,1643,188.9
17,State,Nagaland,36,2.4,208,13.6,3,0.2,23,1.5,26,1.7,2,0.1,0,0,26,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,23.6,685,44.8
18,State,Orissa,240,0.7,134,0.4,634,1.8,1352,3.9,0,0,90,0.3,11,0,20,0.1,0,0,5,0,0,0,43,0.1,0,0,0,0,249,0.7,0,0,2,0,12,0,0,0,654,1.9,0,0,596,1.7,4042,11.6
19,State,Punjab,982,4.3,1930,8.5,1893,8.3,14874,65.2,2,0,26,0.1,3,0,249,1.1,21,0.1,7,0,69,0.3,145,0.6,0,0,0,0,0,0,1,0,2,0,23,0.1,0,0,4,0,0,0,217,1,20448,89.6
20,State,Rajasthan,795,1.6,629,1.2,4220,8.3,3898,7.6,0,0,302,0.6,41,0.1,1131,2.2,20,0,4,0,69,0.1,300,0.6,0,0,2,0,2,0,10,0,1,0,76,0.1,0,0,4260,8.3,1148,2.2,3894,7.6,20802,40.8
21,State,Sikkim,6,1.2,9,1.8,0,0,130,25.5,0,0,0,0,0,0,0,0,13,2.5,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,86.9,602,118
22,State,Tamil Nadu,155,0.3,1913,3.2,16292,27,0,0,305176,506.2,501,0.8,3863,6.4,142,0.2,8,0,289,0.5,28,0,29,0,0,0,1,0,289,0.5,1,0,1,0,31,0.1,0,0,528,0.9,9,0,241272,400.2,570528,946.3
23,State,Tripura,35,1,7,0.2,6,0.2,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,27,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,34.7,1275,37
24,State,Uttar Pradesh,51326,31.9,9490,5.9,5148,3.2,34131,21.2,1,0,1900,1.2,57,0,4728,2.9,27,0,116,0.1,6,0,1048,0.7,0,0,0,0,561,0.3,1,0,4,0,81,0.1,1,0,5022,3.1,3229,2,352473,219.3,469350,292.1
25,State,West Bengal,1256,1.6,316,0.4,868,1.1,1819,2.4,10,0,125,0.2,28,0,9834,12.9,873,1.1,0,0,3,0,796,1,2,0,9,0,2,0,0,0,0,0,80,0.1,0,0,0,0,2,0,671642,882.1,687665,903.2
Total States,State,Total States,71198,7.6,20724,2.2,117142,12.5,160935,17.1,529623,56.3,5051,0.5,8163,0.9,41436,4.4,1392,0.1,1432,0.2,431,0,5607,0.6,16,0,27,0,2674,0.3,76,0,63,0,840,0.1,1,0,15857,1.7,5351,0.6,3683824,391.8,4671863,496.9
26,Union Territory,A & N Islands,0,0,1,0.3,15,4.3,1881,537.4,78,22.3,2,0.6,0,0,0,0,10,2.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,473,135.1,2461,703.1
27,Union Territory,Chandigarh,16,2,16,2,19,2.3,92,11.4,0,0,2,0.2,1,0.1,0,0,4,0.5,1,0.1,0,0,9,1.1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,15,1.9,183,22.6
28,Union Territory,D & N Haveli,2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,2,1.2,6,3.5
29,Union Territory,Daman & DIU,0,0,1,0.8,1,0.8,0,0,0,0,1,0.8,0,0,0,0,2,1.5,0,0,0,0,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.6
30,Union Territory,Delhi,2885,23.1,784,6.3,1926,15.4,6153,49.3,0,0,81,0.6,117,0.9,33,0.3,31,0.2,6,0,9,0.1,46,0.4,0,0,1,0,10,0.1,0,0,8,0.1,93,0.7,0,0,11,0.1,0,0,1589,12.7,13783,110.5
31,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,3,4.3
32,Union Territory,Pondicherry,8,0.8,1,0.1,4,0.4,0,0,0,0,3,0.3,42,4.2,0,0,1,0.1,21,2.1,0,0,14,1.4,0,0,0,0,1,0.1,1,0.1,2,0.2,0,0,0,0,0,0,2,0.2,3034,300.4,3134,310.3
Total (UTs),Union Territory,Total (UTs),2911,19.4,803,5.3,1965,13.1,8126,54.1,80,0.5,89,0.6,160,1.1,33,0.2,48,0.3,28,0.2,9,0.1,71,0.5,0,0,1,0,11,0.1,2,0,10,0.1,101,0.7,0,0,12,0.1,2,0,5114,34.1,19576,130.4
Total (All -India),Total (All -India),Total (All -India),74109,7.8,21527,2.3,119107,12.5,169061,17.7,529703,55.5,5140,0.5,8323,0.9,41469,4.3,1440,0.2,1460,0.2,440,0,5678,0.6,16,0,28,0,2685,0.3,78,0,73,0,941,0.1,1,0,15869,1.7,5353,0.6,3688938,386.2,4691439,491.1
33,City,Ahmedabad,61,1.6,48,1.2,1440,36.8,0,0,6413,164,8,0.2,4,0.1,0,0,0,0,2,0.1,0,0,16,0.4,0,0,0,0,0,0,1,0,0,0,14,0.4,0,0,27,0.7,2,0.1,6244,159.7,14280,365.2
34,City,Bangalore,4,0.1,29,0.6,284,5.5,378,7.4,0,0,6,0.1,394,7.7,0,0,16,0.3,15,0.3,9,0.2,15,0.3,0,0,0,0,107,2.1,0,0,0,0,14,0.3,0,0,75,1.5,45,0.9,740396,14404.6,741787,14431.7
35,City,Bhopal,277,19,30,2.1,601,41.2,280,19.2,0,0,12,0.8,1,0.1,0,0,0,0,0,0,0,0,21,1.4,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,5,0.3,12,0.8,1240,84.9
36,City,Calcutta,160,1,604,3.7,1863,11.3,0,0,2803,17,6,0,1640,10,0,0,10,0.1,2,0,12,0.1,45,0.3,0,0,0,0,0,0,0,0,26,0.2,101,0.6,0,0,2,0,0,0,168959,1025.2,176233,1069.4
37,City,Chennai,201,1.6,105,0.8,493,4,1750,14.2,0,0,39,0.3,26,0.2,37,0.3,0,0,0,0,0,0,100,0.8,0,0,0,0,0,0,0,0,0,0,39,0.3,0,0,0,0,0,0,667368,5399.4,670158,5422
38,City,Coimbatore,4,0.3,102,8.3,126,10.2,0,0,1600,130.1,4,0.3,292,23.7,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,1,0.1,0,0,1,0.1,0,0,0,0,0,0,1,0.1,5181,421.2,7315,594.7
39,City,Delhi,2714,25.3,750,7,1902,17.7,5505,51.3,0,0,77,0.7,115,1.1,33,0.3,31,0.3,6,0.1,9,0.1,39,0.4,0,0,1,0,10,0.1,0,0,8,0.1,82,0.8,0,0,10,0.1,0,0,1528,14.2,12820,119.4
40,City,Hyderabad,101,1.7,11,0.2,465,7.6,319,5.2,346,5.7,4,0.1,58,1,0,0,0,0,13,0.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0.2,0,0,13,0.2,0,0,470182,7720.6,471526,7742.6
41,City,Indore,893,67.1,16,1.2,592,44.5,722,54.3,0,0,11,0.8,5,0.4,0,0,0,0,0,0,0,0,23,1.7,0,0,0,0,0,0,0,0,0,0,8,0.6,0,0,0,0,0,0,52,3.9,2322,174.6
42,City,Jaipur,109,5.6,27,1.4,278,14.2,191,9.7,0,0,3,0.2,19,1,0,0,2,0.1,0,0,1,0.1,12,0.6,0,0,0,0,0,0,0,0,0,0,13,0.7,0,0,65,3.3,6,0.3,438,22.3,1164,59.4
43,City,Kanpur,2357,101.6,1056,45.5,250,10.8,1092,47.1,0,0,118,5.1,0,0,0,0,0,0,0,0,0,0,72,3.1,0,0,0,0,22,0.9,0,0,0,0,0,0,0,0,149,6.4,64,2.8,41857,1804.2,47037,2027.5
44,City,Kochi,4,0.3,41,2.6,21,1.3,0,0,25,1.6,5,0.3,4,0.3,0,0,4,0.3,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,1,0.1,5,0.3,0,0,11,0.7,0,0,175,11.1,298,19
45,City,Lucknow,1479,64.3,374,16.3,108,4.7,400,17.4,0,0,65,2.8,3,0.1,0,0,0,0,0,0,0,0,23,1,0,0,0,0,3,0.1,0,0,0,0,2,0.1,0,0,115,5,12,0.5,16791,730,19375,842.4
46,City,Ludhiana,181,12.3,72,4.9,128,8.7,394,26.8,0,0,4,0.3,0,0,6,0.4,0,0,1,0.1,0,0,29,2,0,0,0,0,0,0,0,0,2,0.1,6,0.4,0,0,0,0,0,0,12,0.8,835,56.8
47,City,Madurai,2,0,230,3.7,2728,43.4,0,0,7220,114.8,4,0.1,377,6,0,0,1,0,2,0,4,0.1,0,0,0,0,0,0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,51210,814.1,61844,983.2
48,City,Mumbai,0,0,179,14.7,289,23.7,0,0,1922,157.5,1,0.1,197,16.1,0,0,0,0,14,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27719,2272,30321,2485.3
49,City,Nagpur,398,20.5,44,2.3,697,35.9,0,0,2061,106.2,1,0.1,0,0,0,0,0,0,5,0.3,1,0.1,8,0.4,0,0,0,0,0,0,0,0,0,0,9,0.5,0,0,0,0,1,0.1,850,43.8,4075,210.1
