SI.No.,Category,State/UT/City,Number of Victims Killed - In Dacoity operation or other Raids,Number of Victims Killed - By Riotous Mobs,Number of Victims Killed - By Other Criminals,Number of Victims Killed - On Border Duties,Number of Victims Killed - In Accidents,Number of Victims Killed - Total,Number of Victims Injured - In Dacoity Operation or Other Raids,Number of Victims Injured - By Riotous Mobs,Number of Victims Injured - By Other Criminals,Number of Victims Injured - On Border Duties,Number of Victims Injured - In Accidents,Number of Victims Injured - Total
1,State,Andhra Pradesh,3,14,9,3,24,53,36,60,8,0,53,157
2,State,Arunachal Pradesh,0,0,7,0,2,9,0,0,3,0,2,5
3,State,Assam,2,0,12,3,2,19,2,10,13,0,0,25
4,State,Bihar,7,3,22,0,7,39,21,60,81,0,29,191
5,State,Goa,0,0,0,0,1,1,0,36,1,0,1,38
6,State,Gujarat,0,1,5,0,21,27,2,31,11,0,16,60
7,State,Haryana,0,0,6,1,23,30,9,8,36,1,8,62
8,State,Himachal Pradesh,1,0,0,0,14,15,0,0,14,0,0,14
9,State,Jammu & Kashmir,0,0,28,0,1,29,0,1,52,0,7,60
10,State,Karnataka,0,2,0,0,21,23,1,300,82,0,43,426
11,State,Kerala,0,0,0,0,7,7,8,177,95,0,47,327
12,State,Madhya Pradesh,1,1,2,0,18,22,2,87,127,4,18,238
13,State,Maharashtra,7,0,7,2,39,55,5,587,112,0,141,845
14,State,Manipur,0,0,18,0,0,18,0,11,0,0,0,11
15,State,Meghalaya,0,0,0,0,5,5,0,0,0,0,0,0
16,State,Mizoram,4,0,0,0,0,4,0,0,0,0,0,0
17,State,Nagaland,0,0,0,0,0,0,0,0,3,0,0,3
18,State,Orissa,0,5,0,0,1,6,1,37,14,0,4,56
19,State,Punjab,0,0,1,0,68,69,0,0,3,0,48,51
20,State,Rajasthan,0,0,1,0,33,34,9,180,8,0,23,220
21,State,Sikkim,0,0,0,0,1,1,0,13,0,0,0,13
22,State,Tamil Nadu,1,0,2,0,20,23,7,302,35,3,84,431
23,State,Tripura,1,0,19,0,1,21,0,0,9,0,0,9
24,State,Uttar Pradesh,9,2,7,4,38,60,12,27,13,0,13,65
25,State,West Bengal,2,1,1,0,6,10,30,129,17,0,8,184
Total States,State,Total States,38,29,147,13,353,580,145,2056,737,8,545,3491
26,UT,A & N Islands,0,0,0,0,0,0,0,1,0,0,0,1
27,UT,Chandigarh,0,0,0,0,3,3,0,0,0,0,28,28
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,0,1,1,0,12,14,1,143,60,2,86,292
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,0,11,9,0,0,20
Total (UTs),UT,Total (UTs),0,1,1,0,15,17,1,155,69,2,114,341
Total (All -India),Total (All -India),Total (All -India),38,30,148,13,368,597,146,2211,806,10,659,3832
33,City,Ahmedabad,0,0,0,0,0,0,0,5,0,0,0,5
34,City,Bangalore,0,1,0,0,1,2,0,58,11,0,8,77
35,City,Bhopal,0,0,0,0,0,0,0,0,58,0,0,58
36,City,Bombay,2,0,0,0,1,3,2,42,13,0,26,83
37,City,Calcutta,0,0,0,0,4,4,1,0,1,0,135,137
38,City,Coimbatore,0,0,1,0,0,1,0,18,3,0,9,30
39,City,Delhi,0,1,1,0,12,14,1,143,60,2,86,292
40,City,Hyderabad,0,0,0,0,0,0,0,19,0,0,0,19
41,City,Indore,0,0,0,0,0,0,0,0,0,0,0,0
42,City,Jaipur,0,0,0,0,18,18,0,0,0,0,0,0
43,City,Kanpur,0,0,0,0,4,4,0,0,0,0,0,0
44,City,Kochi,0,0,0,0,0,0,0,0,12,0,3,15
45,City,Lucknow,0,0,1,0,0,1,0,0,0,0,0,0
46,City,Ludhiana,0,0,0,0,9,9,0,0,0,0,0,0
47,City,Madras,0,0,0,0,2,2,0,25,0,0,35,60
48,City,Madurai,0,0,0,0,0,0,0,28,0,0,0,28
49,City,Nagpur,0,0,0,0,0,0,0,85,2,0,8,95
50,City,Patna,0,1,0,0,0,1,0,0,1,0,0,1
51,City,Pune,0,0,0,0,0,0,0,0,8,0,2,10
52,City,Surat,0,0,0,0,0,0,0,0,0,0,0,0
53,City,Vadodra,0,0,1,0,1,2,0,4,0,0,4,8
54,City,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0
55,City,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0
