SI.No.,Category,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction - total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of trust,Cheating,Counterfeiting,Arson,Hurt/ Grievous hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Others IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,29,2,1,10,22,11,11,0,0,1,180,256,20,0,1,0,0,107,13,2,2,16,124,786
2,State,Arunachal Pradesh,0,0,0,2,0,0,0,0,0,1,6,7,9,0,0,0,0,4,0,0,0,0,11,40
3,State,Assam,7,1,0,1,1,1,0,0,0,0,30,79,55,1,0,0,0,46,0,0,0,4,48,273
4,State,Bihar,127,83,9,11,2,2,0,19,0,14,154,445,363,0,0,0,1,66,8,11,0,12,342,1667
5,State,Goa,0,1,1,0,0,0,0,0,0,0,4,1,1,0,2,0,0,1,0,1,0,0,2,14
6,State,Gujarat,6,3,0,0,4,4,0,0,0,0,34,82,10,3,4,0,8,54,0,0,0,11,61,280
7,State,Haryana,12,8,3,18,8,8,0,2,0,0,26,31,28,3,5,0,1,63,16,8,15,16,55,318
8,State,Himachal Pradesh,0,0,1,4,0,0,0,1,0,0,15,1,7,0,0,0,2,14,0,3,0,0,19,67
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Karnataka,9,2,0,0,5,0,5,0,0,10,96,132,47,0,1,0,0,90,2,0,0,7,69,470
11,State,Kerala,3,0,0,1,0,0,0,0,0,0,24,18,38,0,0,1,0,3,0,1,0,0,10,99
12,State,Madhya Pradesh,103,80,10,65,8,8,0,0,0,8,347,480,112,0,2,0,10,620,18,64,4,47,1666,3644
13,State,Maharashtra,36,23,1,19,3,2,1,11,1,12,353,689,198,2,8,0,19,410,0,28,1,130,285,2229
14,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,State,Meghalaya,2,0,0,0,0,0,0,3,0,2,12,10,0,0,0,0,0,0,0,0,0,0,4,33
16,State,Mizoram,0,0,0,8,0,0,0,0,0,0,0,5,0,0,5,0,0,8,0,0,0,0,10,36
17,State,Nagaland,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5
18,State,Orissa,6,1,0,0,0,0,0,0,0,5,49,76,4,0,1,0,3,7,1,6,0,0,38,197
19,State,Punjab,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6
20,State,Rajasthan,21,11,0,16,8,6,2,0,0,2,122,97,181,0,0,0,3,55,4,7,0,16,313,856
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,1,3,9,0,0,0,0,0,0,0,0,0,0,13
22,State,Tamil Nadu,8,3,0,0,1,1,0,1,0,0,93,247,14,0,0,0,1,55,0,1,0,0,37,461
23,State,Tripura,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5
24,State,Uttar Pradesh,4,4,1,1,0,0,0,0,0,0,5,8,4,0,3,0,0,4,6,0,0,0,6,46
25,State,West Bengal,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
Total States,State,Total States,376,224,27,156,62,43,19,37,1,56,1556,2675,1100,9,32,1,48,1607,68,132,22,259,3101,11549
26,UT,A & N Islands,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
27,UT,Chandigarh,1,0,3,1,0,0,0,0,0,0,0,8,5,0,0,0,0,4,0,0,0,0,10,32
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
29,UT,Daman & DIU,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
30,UT,Delhi,12,3,1,19,15,8,7,0,0,4,87,190,13,6,20,0,0,35,3,8,8,2,170,596
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,2,0,0,0,0,0,0,5,11,0,0,0,0,0,1,0,0,0,1,1,21
Total (UTs),UT,Total (UTs),13,3,4,24,16,8,8,0,0,4,92,211,21,6,20,0,0,40,3,8,8,3,182,658
Total (All -India),Total (All -India),Total (All -India),389,227,31,180,78,51,27,37,1,60,1648,2886,1121,15,52,1,48,1647,71,140,30,262,3283,12207
33,City,Ahmedabad,1,5,0,0,9,9,0,0,0,1,6,92,5,1,0,0,1,40,0,0,0,12,41,214
34,City,Bangalore,6,0,0,0,3,0,3,0,0,10,40,82,6,0,1,0,0,18,0,0,0,2,4,172
35,City,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,City,Bombay,2,0,0,2,0,0,0,0,0,1,54,70,3,1,1,0,0,36,0,8,0,0,12,190
37,City,Calcutta,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
38,City,Coimbatore,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,4,19
39,City,Delhi,12,3,1,19,15,8,7,0,0,4,87,190,13,6,20,0,0,35,3,8,8,2,170,596
40,City,Hyderabad,0,0,0,0,0,0,0,0,0,0,62,96,0,0,0,0,0,0,0,0,0,0,0,158
41,City,Indore,5,1,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,8,0,1,0,0,45,70
42,City,Jaipur,0,1,0,0,1,1,0,0,0,2,17,40,24,0,0,0,0,1,0,0,0,0,34,120
43,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,City,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,City,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,City,Madras,0,0,0,0,0,0,0,0,0,0,13,25,0,0,0,0,0,0,0,0,0,0,8,46
48,City,Madurai,0,3,0,0,0,0,0,0,0,0,15,37,2,0,0,0,0,0,0,0,0,0,1,58
49,City,Nagpur,0,0,0,0,0,0,0,0,0,0,21,16,0,0,0,0,0,4,0,0,0,0,0,41
50,City,Patna,4,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,4,0,0,0,2,29,46
51,City,Pune,0,0,0,1,0,0,0,5,0,0,37,82,6,0,0,0,4,11,0,0,0,0,4,150
52,City,Surat,1,1,0,0,0,0,0,0,0,0,9,57,8,1,0,0,0,21,0,0,0,5,7,110
53,City,Vadodra,1,1,0,0,0,0,0,0,0,0,0,47,5,1,0,0,1,19,0,0,0,5,52,132
54,City,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,City,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,5,33,1,0,0,0,0,2,0,0,0,0,2,43
