State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction total,Kidnapping and Abduction of Women & Girls,Kidnapping and Abduction of others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of trust,Cheating,Counterfeiting,Arson,Hurt / Grievous Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Others IPC Crimes,Total Cog. Crimes under IPC
Andhra Pradesh,Hyderabad,100,86,2,36,121,83,38,12,0,69,1410,3068,226,106,869,18,0,830,37,62,0,587,3421,11060
Andhra Pradesh,Vijayawada,40,58,0,18,78,45,33,6,0,15,261,1168,38,38,435,5,19,1451,9,78,87,235,827,4866
Andhra Pradesh,Vishakhapatnam,24,25,0,33,23,19,4,2,0,10,306,732,20,78,140,9,11,342,8,47,202,118,849,2979
Assam,Guwahati City,54,7,6,25,110,101,9,62,3,140,570,1337,98,62,79,7,8,305,2,14,0,55,1053,3997
Bihar,Patna,232,280,19,16,113,20,93,77,10,292,334,1433,198,156,87,1,11,405,35,49,2,38,1617,5405
Bihar,Ranchi,83,66,23,17,22,14,8,18,3,108,117,462,53,41,32,2,1,102,3,63,0,39,528,1783
Gujarat,Ahmedabad,114,79,1,18,182,126,56,21,0,276,745,3821,304,150,234,8,14,1714,16,47,20,465,8332,16561
Gujarat,Baroda,38,27,0,16,51,42,9,11,0,32,452,1449,197,121,202,8,8,457,0,29,13,162,3597,6870
Gujarat,Bhavnagar,64,42,0,12,80,69,11,10,0,80,272,746,136,164,110,4,38,96,9,49,11,124,3289,5336
Gujarat,Rajkot,35,13,0,5,46,31,15,1,0,25,275,785,72,18,38,5,7,458,8,19,10,100,1933,3853
Gujarat,Surat,98,49,0,15,69,47,22,23,0,62,511,1470,99,92,295,6,10,664,26,27,9,150,1383,5058
Karnataka,Banglore,243,391,0,41,185,111,74,52,0,609,3289,8108,496,290,979,623,12,3775,49,227,50,190,10992,30601
Karnataka,Belgaum,15,7,1,1,7,0,7,1,0,18,112,202,90,11,51,0,6,427,2,15,0,25,645,1636
Karnataka,Bijapur,10,0,1,1,8,8,0,5,0,8,18,35,70,0,6,0,0,164,2,19,0,15,270,632
