Sl.No.,Crime Head,Total Number of Cases for Trial Including Pending Cases,Number of Cases - Compounded or withdrawn,Number of Cases - In which trials were Completed - Convicted,Number of Cases - In which trials were Completed - Acquitted or Discharged,Number of Cases - In which Trials were Completed - total [Col. (5+6)],Number of Cases - Pending Trial
1,Arms Act,277204,330,37952,16735,54687,222187
2,Narcotic Drugs & Psychotropic Substances Act,95558,759,6799,6538,13337,81462
3,Gambling Act,320095,3926,96535,24382,120917,195252
4,Excise Act,391952,1439,68913,26654,95567,294946
5,Prohibition Act,1940511,55457,248991,203616,452607,1432447
6,Explosive & Explosive Substances Act,22190,61,1661,1564,3225,18904
7,Immoral Traffic (Prevention) Act,12660,308,6255,592,6847,5505
8,Indian Railways Act,59781,73,41008,859,41867,17841
9,Registration of Foreigners Act,3521,10,895,120,1015,2496
10,Protection Of Civil Rights Act,9947,90,677,1811,2488,7369
11,Indian Passport Act,1036,15,218,123,341,680
12,Essential Commodities Act,28435,81,924,2596,3520,24834
13,Terrorist & Disruptive Actvites Act,2707,2,72,133,205,2500
14,Antiquity & Art Treasure Act,58,0,1,6,7,51
15,Dowry Prohibition Act,8295,225,688,1196,1884,6186
16,Child Marriage Restraint Act,274,3,37,28,65,206
17,Indecent Representation of Women (P)Act,578,2,36,41,77,499
18,CopyRight Act,3396,7,111,322,433,2956
19,Sati Prevention Act,4,3,0,0,0,1
20,SC/ST (Prevention of Atrocities ) Act,45591,779,2361,5152,7513,37299
21,Forest Act,14978,33,2428,961,3389,11556
22,Other SLL Crimes,4513135,330757,2765488,156995,2922483,1259895
23,Total Cognizable Crimes Under SLL,7751906,394360,3282050,450424,3732474,3625072
