SL. No.,Nature of Property Stolen & Recovered,Number of Cases in which Property was Stolen,Value of Property Stolen in Rs. Lakhs,Value of Property Recovered in Rs. Lakh,Percentage of Value of Property Recovered to Value of Property Stolen
1,Wire,12048,200.06,31.87,15.9
2,Cattles,21692,258.76,110.02,42.5
3,Cycles,59281,165.87,44.57,26.9
4,Motor Vehicles & Accessories,14122,1911.37,1199.33,62.8
5,Fire Arms,1081,26.82,9.18,34.2
6,Explosive,55,0.64,0.21,32.8
7,Others,341557,6252.39,1162.48,18.6
8,Total,449836,8815.91,2557.66,29
