SL. No.,Year,Estimated Population in Millions (Mid-Year),Total Cognizable Crime Under the Indian Penal Code,Rate of Crime Per One Lakh of Population
1,1970,534.3,955422,178.8
2,1971,551.2,952581,172.8
3,1972,563.5,984773,174.8
4,1973,575.9,1077181,187
5,1974,588.3,1192277,202.7
6,1975,600.8,1160520,193.2
7,1976,613.6,1093897,178.4
8,1977,625.8,1267004,202.5
9,1978,638.4,1344968,210.7
10,1979,651,1336168,205.2
11,1980,663.6,1368529,206.2
Percentage Change in 1980 Over 1970,Percentage Change in 1980 Over 1970,24.2,43.2,15.3
