SL. No.,Heads of Offences,Number of Offences During - 1979,Number of Offences During - 1980,Percentage of Offences to Total Offences in 1980
1,Arms Act,1127,1348,1.6
2,Opium Act,163,205,0.2
3,Gambling Act ,14748,18423,22.2
4,Excise Act,2570,2447,3
5,Prohibition Act,25969,29419,35.5
6,Explosives & Explosive Substances Act,34,28,Negligible
7,Suppression of Immoral Traffic Act,1583,1033,1.3
8,Motor Vehicles Act,1708,1852,2.2
9,Prevention of Corruption Act,NA,5,Negligible
10,Customs Act,NA,NA,NA
11,Indian Railways Act,2921,722,0.9
12,Miscellaneous ,33271,27411,33.1
13,Total,84094,82893,100
