SL. No.,States/U.Ts,Cities,Number of Cases Reported During ther Year 1980 - Murder,Number of Cases Reported During ther Year 1980 - Culpable Homicide Not Amounting to Murder,Number of Cases Reported During ther Year 1980 - Rape,Number of Cases Reported During ther Year 1980 - Kidnapping & Abduction,Number of Cases Reported During ther Year 1980 - Dacoity,Number of Cases Reported During ther Year 1980 - Robbery,Number of Cases Reported During ther Year 1980 - Burglary,Number of Cases Reported During ther Year 1980 - Thefts,Number of Cases Reported During ther Year 1980 - Riots,Number of Cases Reported During ther Year 1980 - Criminal Breach of Trust,Number of Cases Reported During ther Year 1980 - Cheating ,Number of Cases Reported During ther Year 1980 - Counterfeiting,Number of Cases Reported During ther Year 1980 - Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,45,2,12,34,12,68,1214,4127,243,95,214,4,7412
2,Andhra Pradesh,Vijayawada Town,15,NA,2,NA,2,1,129,639,30,35,13,NA,1899
3,Andhra Pradesh,Guntur Town,11,NA,2,4,NA,3,162,477,6,28,28,NA,946
4,Andhra Pradesh,Visakhapatnam Town,13,NA,2,13,10,9,219,756,107,35,39,2,1205
5,Andhra Pradesh,WarangalTown,8,NA,1,3,NA,6,81,192,81,6,2,NA,479
6,Andhra Pradesh,Rajahmundry Town (East Godavari),4,NA,NA,6,NA,2,142,363,3,9,26,2,668
7,Andhra Pradesh,Kakinada Town,6,1,2,3,NA,2,28,242,3,15,19,NA,507
8,Andhra Pradesh,Eluru (West Godavari),2,NA,1,1,NA,NA,86,182,8,10,18,NA,448
9,Andhra Pradesh,Nellore,7,NA,3,NA,NA,2,67,230,8,14,11,1,458
10,Andhra Pradesh,Bandar (Machilipatnam),3,NA,2,13,NA,NA,27,96,14,7,2,NA,497
11,Andhra Pradesh,Kurnool Town,9,NA,2,NA,NA,NA,27,34,2,4,3,NA,132
12,Andhra Pradesh,Tenali,7,NA,2,5,NA,4,151,369,5,29,32,NA,928
13,Andhra Pradesh,Nizamabad,7,NA,1,4,5,8,81,134,29,14,4,NA,851
1,Assam,Gauhati,15,NA,7,41,4,14,380,1089,NA,66,51,NA,1667
1,Bihar,Patna,30,NA,NA,NA,11,48,266,1872,45,NA,NA,NA,4582
2,Bihar,Gaya,6,NA,2,4,NA,12,52,285,13,16,23,NA,413
3,Bihar,Biharsharif,3,NA,NA,NA,2,5,112,208,40,18,9,NA,415
4,Bihar,Darbhanga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Bihar,Muzaffarpur,3,1,2,8,7,6,82,119,101,91,9,2,540
6,Bihar,Bhagalpur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bihar,Ranchi,12,2,2,9,1,16,35,164,8,8,18,NA,533
8,Bihar,Jamshedpur,31,1,6,18,22,45,136,722,128,15,26,NA,1989
9,Bihar,Dhanbad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Bihar,Bokaro Steel City,7,2,2,8,18,17,120,411,78,20,15,NA,698
11,Bihar,Monghyr,4,1,4,NA,4,8,99,163,29,9,7,NA,328
