SL. No.,Category,States/U.Ts./Cities,Total Value of Property Stolen,Total Value of Property Recovered,Percentage of value of Property Recovered to Value of Property  Stolen
1,State,Andhra Pradesh ,437.36,223.92,51.2
2,State,Assam,1454.9,15.43,1.1
3,State,Bihar,509.67,46.87,9.2
4,State,Gujarat,554.52,153.33,27.7
5,State,Haryana,324.5,180.23,55.5
6,State,Himachal Pradesh,48.02,18.17,37.8
7,State,Jammu and Kashmir,181.87,38.18,21
8,State,Karnataka ,2296.16,247.51,10.8
9,State,Kerala,233.4,51.71,22.2
10,State,Madhya Pradesh,762.59,246.17,32.3
11,State,Maharashtra,1991.56,580.07,29.1
12,State,Manipur,56.8,8.59,15.1
13,State,Meghalaya,14.14,2.65,18.7
14,State,Nagaland,13.71,2.58,18.8
15,State,Orissa,271.11,73.2,27
16,State,Punjab,358.72,240.17,67
17,State,Rajasthan,494.95,301.23,60.9
18,State,Sikkim ,5.97,1.7,28.5
19,State,Tamil Nadu,497.84,242.96,48.8
20,State,Tripura,13.77,3.97,28.8
21,State,Uttar Pradesh,3406.64,340.9,10
22,State,West Bengal ,756.22,251.77,33.3
Total (States),State,Total (States),14684.42,3271.31,22.3
23,UT,A & N Islands,5.72,1.78,31.1
24,UT,Arunachal Pradesh,9.95,1.87,18.8
25,UT,Chandigarh,40.18,17.86,44.4
26,UT,D & N Haveli,0.6,0.12,18.8
27,UT,Delhi,805.83,244.38,30.3
28,UT,"Goa, Daman & Diu",47.67,13.05,27.4
29,UT,Lakshadweep,0.45,0.04,8.9
30,UT,Mizoram,6.39,2.93,45.9
31,UT,Pondicherry,15.98,5.3,33.2
Total (UTs),UT,Total (UTs),932.82,287.33,30.8
Total (All-India),Total (All-India),Total (All-India),15617.24,3558.64,22.8
1,City,Ahmedabad ,55.13,26.69,48.4
2,City,Bangalore ,269.7,95.94,35.6
3,City,Bombay,1000.84,359.89,36
4,City,Calcutta,388.32,200.53,51.6
5,City,Delhi,803.54,243.99,30.4
6,City,Hyderabad,92.35,21.13,22.9
7,City,Kanpur,841.22,67.31,8
8,City,Madras,95.37,61.52,64.5
Total (Cities),City,Total (Cities),3546.47,1077,30.4
