SL. No.,Ranks,Killed,Injured
1,Constables,217,3464
2,Head Constables,37,561
3,Assistant Sub-Inspectors,14,125
4,Sub-Inspectors,26,477
5,Inspectors,5,137
6,Other Gazetted Officers,2,96
Total,Total,301,4860
