SL. No. ,Category, States/U.Ts/Cities                           ,Opium Act - Incidence (I),Opium Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Suppression of Immoral Traffic in Women and Girls Act - Incidence (I),Suppression of Immoral Traffic in Women and Girls Act  - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Motor Vehicles Act - Incidence (I),Motor Vehicles Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Arms Act - Incidence (I),Arms Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Other offences - Incidence (I),Other offences - Volume (V),Grand Total - Incidence (I),Grand Total - Volume (V)
1,State,Andhra Pradesh ,7,*,3272,6.4,7,*,NA,NA,35174,69.1,1926,3.8,10,*,87442,171.9,94,0.2,136,0.3,95,0.2,108478,213.2,236641,465.2
2,State,Assam,18,0.1,900,4.6,93,0.5,NA,NA,282,1.4,13,0.1,NA,NA,527,2.7,36,0.2,154,0.8,62,0.3,1288,6.6,3373,17.3
3,State,Bihar,7,*,791,1.2,NA,NA,NA,NA,284,0.4,14,*,3,*,641,1,109,0.2,1517,2.2,427,0.6,2093,3.1,5886,8.7
4,State,Gujarat,NA,NA,NA,NA,104221,319.5,NA,NA,21064,64.6,11,*,NA,NA,91,0.3,398,1.2,332,1,38,11.7,26057,79.9,152212,466.7
5,State,Haryana,2183,17.7,9769,79.4,NA,NA,NA,NA,1979,16.1,NA,NA,28,0.2,NA,NA,177,1.4,1244,10.1,7,0.1,978,7.9,16365,133
6,State,Himachal Pradesh,38,0.9,2848,68.2,NA,NA,NA,NA,35,0.8,NA,NA,NA,NA,NA,NA,1,*,73,1.7,2,*,982,23.5,3979,95.3
7,State,Jammu & Kashmir,NA,NA,41,0.7,NA,NA,NA,NA,40,0.7,NA,NA,8,0.1,NA,NA,NA,NA,70,1.2,7,0.1,1048,17.8,1214,20.6
8,State,Karnataka ,8,*,2158,6.1,29,0.1,NA,NA,8024,22.8,1587,4.5,NA,NA,196895,559.8,16,*,81,0.2,66,0.2,36311,103.2,245175,697
9,State,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,420,1.6,19,0.1,NA,NA,8,*,139,0.5,44,0.2,44,0.2,2770,10.8,3444,13.4
10,State,Madhya Pradesh,326,0.6,11220,21.4,29,0.1,NA,NA,18477,35.3,2,*,13,*,90474,173,9286,17.8,3307,6.3,241,0.5,49918,95.4,183293,350.4
11,State,Maharashtra,6,*,NA,NA,246938,410.6,NA,NA,56802,94.4,899,1.5,3,NA,30954,51.5,15566,25.9,437,0.7,27,*,286459,476.3,638091,1060.9
12,State,Manipur,NA,NA,545,38,NA,NA,NA,NA,92,6.4,5,0.3,NA,NA,13,0.9,NA,NA,19,1.3,2,0.1,54,3.8,730,50.9
13,State,Meghalaya,NA,NA,23,1.8,1,0.1,NA,NA,546,42,NA,NA,NA,NA,NA,NA,NA,NA,27,2.1,19,1.5,157,12.1,773,59.5
14,State,Nagaland,2,0.3,39,5.6,NA,NA,NA,NA,1,0.1,NA,NA,1,0.1,187,26.7,NA,NA,13,1.9,5,0.7,312,44.6,560,80
