SL. No.,Category,States/U.Ts/Cities,Residential Premises - Number of Cases Reported,Residential Premises - Value of Property Stolen,Highways - Number of Cases Reported,Highways - Value of Property Stolen ,Railways - Number of Cases Reported,Railways - Value of Property Stolen ,Rivers & Sea - Number of Cases Reported,Rivers & Sea - Value of Property Stolen ,Banks - Number of Cases Reported,Banks - Value of Property Stolen ,Commercial Establishments - Number of Cases Reported,Commercial Establishments - Value of Property Stolen ,Other Places - Number of Cases Reported,Other Places - Value of Property Stolen ,Total - Number of Cases Reported,Total - Value of Property Stolen 
1,State,Andhra Pradesh ,155,8.61,109,2.4,7,0.1,1,0.02,1,0.13,15,0.21,171,9.21,459,20.68
2,State,Assam,206,1.22,145,5.74,2,0.01,NA,NA,NA,NA,24,0.14,145,0.76,522,7.87
3,State,Bihar,533,7.33,558,2.73,48,1.72,NA,NA,NA,NA,67,0.45,365,0.33,1571,12.56
4,State,Gujarat,161,3.11,57,3.38,4,0.24,3,0.01,NA,NA,6,0.03,741,5.95,972,12.72
5,State,Haryana,4,0.1,21,0.64,NA,NA,1,0.2,NA,NA,NA,NA,38,3.14,64,3.9
6,State,Himachal Pradesh,1,0.01,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,35,0.75,38,0.79
7,State,Jammu and Kashmir,7,0.05,1,0,NA,NA,NA,NA,NA,NA,NA,1,14,0.43,22,0.48
8,State,Karnataka ,131,3.54,34,0.31,3,0.02,NA,NA,NA,NA,7,0.01,480,8.68,655,12.56
9,State,Kerala,43,1.2,12,1.75,1,0,NA,NA,1,0.01,4,0.01,113,1.64,174,4.61
10,State,Madhya Pradesh,562,8.87,649,13.72,62,0.44,5,0.02,NA,NA,17,0.12,1706,13.59,3001,36.76
11,State,Maharashtra,658,23.95,219,3.92,67,0.84,4,0.01,3,0.01,13,0.12,1957,31.43,2921,60.28
12,State,Manipur,24,2.3,5,0.19,NA,NA,NA,NA,NA,NA,NA,NA,122,5.31,151,7.8
13,State,Meghalaya,6,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,0.13,54,0.14
14,State,Nagaland,5,0.12,25,0.32,NA,NA,NA,NA,NA,NA,1,0.01,3,0.05,34,0.5
