SL. No.,Category,State/U.Ts,Area in Square Kms.,Estimated Mid-Year Population (in 000),Total Cognizable Crime,Actual Strength of Police - Civil,Actual Strength of Police - Armed,Actual Strength of Police - Total,Number of Policemen Per 100 SQ. KM. Area,"Number of Policemen Per 10,000 of Population",Number of IPC Cases Per Civil Policeman,Percentage of civil police of total police
1,State,Andhra Pradesh ,276814,50872,69320,29629,20198,49827,18,9.8,2.3,59.5
2,State,Assam,78523,19549,43773,19451,10936,30387,38.7,15.5,2.3,64
3,State,Bihar,173876,67434,104225,48350,13120,61470,35.4,9.1,2.2,78.7
4,State,Gujarat,195984,32615,61713,40174,9093,49267,25.1,15.1,1.5,81.5
5,State,Haryana,44222,12305,16600,13774,4457,18231,41.2,14.8,1.2,75.6
6,State,Himachal Pradesh,55673,4176,4864,5577,2442,8019,14.4,19.2,0.9,69.5
7,State,Jammu and Kashmir,222236,5884,15075,13245,4898,18143,8.2,30.8,1.1,73
8,State,Karnataka ,191773,35173,77443,33950,3012,36962,19.3,10.5,2.3,91.8
9,State,Kerala,38864,25666,47641,19086,2898,21984,56.6,8.6,2.5,86.8
10,State,Madhya Pradesh,442841,52310,169751,44397,20715,65112,14.7,12.4,3.8,68.2
11,State,Maharashtra,307762,60145,167347,83188,10871,94059,30.6,15.6,2,88.4
12,State,Manipur,22356,1436,3505,3090,4423,7513,33.6,52.3,1.1,41.1
13,State,Meghalaya,22489,1299,2203,3385,995,4380,19.5,33.7,0.7,77.3
14,State,Nagaland,16527,700,919,3136,6080,9216,55.8,131.7,0.3,34
15,State,Orissa,155782,26723,48081,20075,6322,26397,16.9,9.9,2.4,76.1
16,State,Punjab,50362,15876,11679,24433,5072,29505,58.6,18.6,0.5,82.8
17,State,Rajasthan,342214,32916,60846,38659,6980,45639,13.3,13.9,1.6,84.7
18,State,Sikkim ,7299,251,281,1404,409,1813,24.8,72.2,0.2,77.4
19,State,Tamil Nadu,130069,46918,116190,29921,16482,46403,35.7,9.9,3.9,64.5
20,State,Tripura,10477,2064,6098,4077,1766,5843,55.8,28.3,1.5,69.8
21,State,Uttar Pradesh,294413,104509,146190,108571,25852,134423,45.7,12.9,1.3,80.8
22,State,West Bengal ,87853,55162,93618,52605,15999,68604,78.1,12.4,1.8,76.7
Total (States),State,Total (States),3168409,653983,1267282,640177,193020,833197,26.3,12.7,2,76.8
23,UT,A & N Islands,8293,183,805,1640,245,1885,22.7,103,0.5,87
24,UT,Arunachal Pradesh,83578,623,852,2021,0,2021,2.4,32.4,0.4,100
25,UT,Chandigarh,114,495,2118,1080,967,2047,1795.6,41.4,2,52.8
26,UT,D & N Haveli,491,88,177,74,67,141,28.7,16,2.4,52.5
27,UT,Delhi,1485,6020,37588,18718,5039,23757,1599.8,39.5,2,78.8
28,UT,"Goa, Daman & Diu",3813,1139,2927,1640,609,2249,59,19.7,1.8,72.9
29,UT,Lakshadweep,32,36,15,284,0,284,887.5,78.9,0.1,100
30,UT,Mizoram,21087,444,1055,1150,647,1797,8.5,40.5,0.9,64
31,UT,Pondicherry,480,585,3769,904,586,1490,310.4,25.5,4.2,60.7
Total (UTs),UT,Total (UTs),119373,9613,49306,27511,8160,35671,29.9,37.1,1.8,77.1
Total (All-India),Total (All-India),Total (All-India),3287782,663596,316588,667688,201180,868868,26.4,13.1,2,74.9
