SL. No.,Category,States/U.Ts/Cities,Murder - 1979,Murder - 1980,Murder - Percentage Variation,Kidnapping & Abduction - 1979,Kidnapping & Abduction - 1980,Kidnapping & Abduction - Percentage Variation,Dacoity - 1979,Dacoity - 1980,Dacoity - Perentage Variation,Robbery - 1979,Robbery - 1980,Robbery - Percentage Variation,Burglary - 1979,Burglary - 1980,Burglary - Percentage Variation ,Thefts - 1979,Thefts - 1980,Thefts - Percentage Variation,Riots - 1979,Riots - 1980,Riots - Percentage Variation,Criminal Breach of Trust - 1979,Criminal Breach of Trust - 1980,Criminal Breach of Trust - Percentage Variation,Cheating  - 1979,Cheating  - 1980,Cheating  - Percentage Variation,Counterfeiting - 1979,Counterfeiting - 1980,Counterfeiting - Percentage Variation,Total Cognizable Crime - 1979,Total Cognizable Crime - 1980,Total Cognizable Crime - Percentage Variation
1,State,Andhra Pradesh ,1281,1393,8.7,284,335,18,305,349,14.4,380,459,20.8,7724,7150,-7.4,20120,18467,-8.2,5426,3868,-28.7,677,722,6.6,666,837,25.7,47,33,-29.8,76709,69320,-9.6
2,State,Assam,514,642,24.9,594,565,-4.9,319,363,13.8,532,522,-1.9,5554,5467,-1.6,9872,10895,10.4,5300,7124,34.4,489,517,5.7,483,492,1.9,5,4,-20,40334,43773,8.5
3,State,Bihar,2146,2267,5.6,1122,1240,10.5,2746,2864,4.3,1574,1571,-0.2,14273,12544,-12.1,29176,29571,1.4,16354,16795,2.7,1500,1539,2.6,1330,1127,-15.3,16,23,43.8,101146,104225,3
4,State,Gujarat,885,993,12.2,505,580,14.9,134,165,23.1,796,972,22.1,6057,6664,10,19618,21232,8.2,1397,1782,27.6,1460,1464,0.3,829,808,-2.5,14,4,-71.4,62508,61713,-1.3
5,State,Haryana,318,363,14.2,208,197,-5.3,24,35,45.8,70,64,-8.6,2641,2823,6.9,4255,4513,6.1,230,229,-0.4,493,448,-9.1,266,322,21.1,1,1,0,16297,16600,1.9
6,State,Himachal Pradesh,51,71,39.2,110,100,-9.1,2,6,200,40,38,-5,645,649,0.6,784,752,-4.1,224,272,21.4,140,84,-40,81,88,8.6,NA,NA,NA,4801,4864,1.3
7,State,Jammu & Kashmir,96,100,4.2,438,473,8,63,13,-79.4,31,22,-29,1496,1684,12.6,2536,2875,13.4,1677,1709,1.9,113,134,18.6,133,136,2.3,3,NA,-100,14118,15075,6.8
8,State,Karnataka ,884,870,-1.6,272,286,5.1,212,259,22.2,677,655,-3.2,9723,9868,1.5,22042,22051,Neg.,5427,5692,4.9,1000,967,-3.3,1334,1324,-0.8,52,330,534.6,75883,77443,2.1
9,State,Kerala,447,500,11.9,115,134,16.5,46,41,-10.9,144,174,20.8,3812,4540,19.1,3683,3925,6.6,5353,5676,6,324,288,-11.1,424,475,12,109,78,-28.4,43412,47641,9.7
10,State,Madhya Pradesh,2348,2392,1.9,970,1188,22.5,563,687,22,2681,3001,11.9,26236,27514,4.9,51408,55401,7.8,5556,5471,-1.5,1308,1209,-7.6,1400,1443,3.1,37,19,48.6,160787,169751,5.6
