SL. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,45,2,12,34,12,68,1214,4127,243,95,214,4,7412
2,Andhra Pradesh,Srikakulam,28,NA,8,11,16,10,139,279,138,21,16,NA,1273
3,Andhra Pradesh,Visakhapatnam,60,NA,8,21,12,19,325,1159,218,55,64,4,1720
4,Andhra Pradesh,Vizianagaram,21,NA,4,5,NA,1,98,286,68,13,8,1,985
5,Andhra Pradesh,East Godavari,61,2,11,11,4,13,549,1333,26,53,76,2,2475
6,Andhra Pradesh,West Godavari,43,NA,19,14,6,6,481,675,153,47,64,3,2989
7,Andhra Pradesh,Krishna,73,NA,28,18,8,8,404,1042,158,59,21,1,4709
8,Andhra Pradesh,Nellore,46,NA,15,15,4,10,297,837,88,18,17,3,2921
9,Andhra Pradesh,Kurnool,109,NA,10,20,31,21,205,432,135,28,18,2,5218
10,Andhra Pradesh,Ongole,49,NA,9,5,11,15,247,580,169,11,19,1,1892
11,Andhra Pradesh,Anantapur,74,13,2,15,20,16,286,745,338,24,21,NA,4435
12,Andhra Pradesh,Guntur,96,NA,24,28,8,20,547,1257,249,82,95,3,6342
13,Andhra Pradesh,Cuddapah,69,1,5,17,3,7,201,541,181,9,14,1,3122
14,Andhra Pradesh,Chittoor,71,NA,4,25,11,18,376,1275,228,44,36,6,3656
15,Andhra Pradesh,R. R. District,39,2,6,3,13,27,226,488,143,24,20,NA,2777
16,Andhra Pradesh,Medak,42,2,4,5,5,10,108,242,76,17,33,NA,1144
17,Andhra Pradesh,Mehabubnagar,104,2,10,13,8,19,209,301,277,12,19,NA,1782
18,Andhra Pradesh,Nalgonda,57,5,5,27,28,42,202,393,323,17,10,1,2697
19,Andhra Pradesh,Nizamabad,40,NA,3,6,15,15,115,242,65,21,10,NA,1237
20,Andhra Pradesh,Adilabad,47,NA,5,12,33,31,191,298,122,23,6,NA,1822
21,Andhra Pradesh,Warangal,88,NA,9,11,50,21,293,465,120,24,19,NA,2656
22,Andhra Pradesh,Khammam,54,NA,10,8,24,8,245,518,177,15,12,NA,2573
23,Andhra Pradesh,Karimnagar,76,1,14,9,25,47,189,360,154,8,18,1,2536
24,Andhra Pradesh,R.P. Vijyawada,1,NA,NA,2,2,4,2,413,13,2,3,NA,526
25,Andhra Pradesh,R.P. Secunderabad,NA,NA,NA,NA,NA,3,1,179,6,NA,4,NA,427
1,Assam,Goalpara,57,5,34,43,38,62,325,1116,868,63,48,2,4134
2,Assam,Kamrup,124,3,45,83,71,50,1169,2406,2169,152,147,NA,9581
3,Assam,Darrang,74,7,34,69,76,43,829,1295,713,46,60,NA,5981
4,Assam,Nowgaon,81,NA,31,72,41,47,622,1095,1029,53,37,NA,4653
5,Assam,Sibsagar,95,8,34,103,31,146,843,1747,474,92,72,2,6565
6,Assam,Dibrugarh,93,29,9,38,30,46,457,1162,370,34,47,NA,3948
7,Assam,North Lakhimpur,41,NA,17,57,20,66,328,463,336,17,20,NA,2518
8,Assam,Mikir Hills,12,NA,3,10,28,27,160,174,66,9,10,NA,809
9,Assam,N.C. Hills,5,2,NA,8,5,3,26,83,17,3,3,NA,222
10,Assam,Cachar,60,3,28,82,23,32,708,1354,1082,48,48,NA,5362
1,Bihar,Patna,103,12,14,83,98,121,856,3829,611,149,129,NA,9170
2,Bihar,Nalanda,70,14,4,26,54,45,361,922,383,25,10,NA,2729
3,Bihar,Bhojpur,107,NA,11,32,161,107,668,886,475,30,26,1,3490
4,Bihar,Rohtas,186,20,12,37,199,108,747,738,368,74,39,1,3822
5,Bihar,Gaya,85,5,12,35,92,69,437,1140,623,68,77,NA,3869
6,Bihar,Aurangabad,30,2,6,7,36,12,197,514,351,15,10,2,1536
7,Bihar,Nawada,34,8,7,18,34,20,146,381,292,8,6,NA,1558
8,Bihar,Saran,74,10,3,28,49,23,524,882,198,30,34,1,2998
9,Bihar,Siwan,36,2,NA,1,74,17,349,388,1750,8,19,NA,2912
10,Bihar,Gopalganj,30,2,4,16,62,19,186,315,192,15,12,NA,1161
11,Bihar,East Champaran ,34,8,10,37,66,23,228,697,824,61,40,NA,2932
12,Bihar,West Champaran,52,3,13,29,92,31,194,415,378,26,15,NA,1778
13,Bihar,Muzaffapur,37,2,3,170,84,28,322,1027,359,91,142,4,3427
14,Bihar,Vaishali,27,7,9,22,72,22,178,521,422,65,38,1,2157
15,Bihar,Sitamarhi,22,2,5,22,83,9,175,257,743,37,12,NA,1881
16,Bihar,Darbhanga,22,4,2,22,29,17,358,647,794,60,27,NA,2615
17,Bihar,Samastipur,33,7,12,32,97,31,141,649,684,30,29,1,2443
18,Bihar,Madhubani,33,6,6,14,38,7,500,461,555,37,20,1,2318
19,Bihar,Begusarai,62,8,3,13,49,33,371,540,667,27,8,NA,2879
20,Bihar,Bhagalpur,120,9,13,33,148,75,514,866,652,25,32,3,3405
21,Bihar,Monghyr,136,28,21,60,179,84,382,1932,744,33,39,1,4819
22,Bihar,North Santhalpargana,53,8,48,13,43,18,266,381,402,82,21,NA,1936
23,Bihar,South Santhalpargana,50,15,18,10,54,15,304,629,381,30,14,NA,2203
24,Bihar,Saharsa,50,15,13,37,90,28,585,798,752,32,23,NA,3216
25,Bihar,Katihar,25,5,18,31,28,9,176,619,243,27,9,1,1677
26,Bihar,Purnea ,100,10,30,100,75,40,405,580,309,95,55,NA,5072
27,Bihar,Hazaribagh,75,5,28,26,131,74,474,982,391,24,20,NA,3569
28,Bihar,Giridih,57,4,11,18,101,70,401,647,309,32,15,NA,2692
29,Bihar,Dhanbad,48,9,9,46,159,100,589,1617,415,63,35,1,4809
30,Bihar,Bokaro,7,2,2,8,18,17,120,418,78,20,15,NA,1396
31,Bihar,Palamau,100,10,30,100,75,40,405,580,309,95,55,NA,2504
32,Bihar,Ranchi,237,16,45,64,142,150,664,1903,580,57,67,1,5043
33,Bihar,Singhbhum,83,9,8,19,88,27,299,664,346,25,9,NA,2257
34,Bihar,Jamshedpur,31,1,6,18,22,45,136,722,128,15,26,1,1989
35,Bihar,Rly. Patna,2,NA,2,2,8,11,12,430,7,8,2,NA,587
36,Bihar,Rly. Jamshedpur,5,2,1,2,2,8,4,184,8,6,2,NA,267
37,Bihar,Rly. Muzaffarpur,7,2,2,8,23,NA,20,397,44,17,13,3,615
38,Bihar,Rly. Katihar,4,NA,NA,1,9,18,36,328,28,12,2,NA,494
1,Gujarat,Ahmedabad Rural,37,NA,7,22,5,66,306,1068,118,48,31,NA,1708
2,Gujarat,Kheda,76,NA,7,49,9,66,572,1465,113,161,69,NA,2587
3,Gujarat,Sabarkantha,34,NA,5,11,5,19,302,809,66,76,19,NA,1346
4,Gujarat,Banaskantha,43,NA,6,22,4,71,341,989,56,77,31,NA,1640
5,Gujarat,Meshana,62,NA,2,42,17,140,736,2609,305,208,47,NA,4168
6,Gujarat,Rajkot City,19,1,6,27,1,27,175,607,24,31,50,NA,968
7,Gujarat,Rajkot Rural,31,NA,1,18,1,46,191,751,42,38,27,NA,1146
8,Gujarat,Amreli,34,NA,5,16,4,32,135,396,25,31,18,NA,696
9,Gujarat,Jamnagar,52,1,2,30,2,38,267,687,16,28,19,NA,1142
10,Gujarat,Junagarh,86,NA,13,28,11,56,304,810,34,66,23,NA,1431
11,Gujarat,Bhavnagar,63,NA,5,27,6,54,275,881,43,57,42,NA,1453
12,Gujarat,Kutch,24,NA,NA,18,9,36,186,475,45,43,27,NA,863
13,Gujarat,Surendranagar,26,NA,4,11,3,27,217,527,31,58,20,NA,924
14,Gujarat,Baroda City,26,NA,4,30,3,23,506,1866,39,55,69,NA,2621
15,Gujarat,Baroda Rural,66,NA,8,13,5,36,193,639,27,69,23,NA,1079
16,Gujarat,Bharuch,43,NA,8,24,5,28,298,767,58,55,47,NA,1242
17,Gujarat,Panch Mahal,74,NA,3,32,34,74,487,789,119,51,26,NA,1689
18,Gujarat,Surat City,24,NA,2,29,2,4,117,456,42,41,36,NA,753
19,Gujarat,Surat Rural,52,NA,3,10,4,15,161,302,37,48,20,NA,652
20,Gujarat,Valsad,42,NA,4,19,4,33,381,629,83,66,41,NA,1302
21,Gujarat,Western Railway,17,NA,1,4,5,22,39,1216,21,33,6,NA,1364
22,Gujarat,Ahmedabad City,62,1,13,98,26,59,475,2585,438,124,117,4,4002
1,Haryana,Ambala,29,9,13,35,NA,5,291,448,10,33,24,NA,1838
2,Haryana,Kurukshetra,36,6,13,12,2,9,349,334,NA,38,24,NA,1422
3,Haryana,Karnal ,41,1,14,39,8,8,481,717,8,41,51,1,2329
4,Haryana,Sonepat,29,3,8,16,5,2,200,397,35,29,15,NA,1284
5,Haryana,Rohtak,28,11,4,10,1,7,230,341,50,50,37,NA,1270
6,Haryana,Hissar,52,15,12,22,7,6,280,533,27,57,56,NA,2075
7,Haryana,Bhiwani,23,11,3,1,1,5,135,165,11,18,12,NA,845
8,Haryana,Gurgaon,24,8,4,15,3,8,204,348,11,41,15,NA,1104
9,Haryana,Narnaul,25,4,7,10,2,3,134,267,22,35,22,NA,1118
10,Haryana,Jind,28,4,2,4,1,5,148,245,11,15,26,NA,825
11,Haryana,Sirsa,24,8,13,14,NA,NA,123,163,7,26,9,NA,861
12,Haryana,Faridabad,24,11,6,19,5,6,248,555,37,65,31,NA,1629
1,Himachal Pradesh,Mandi,12,3,6,9,NA,4,106,122,21,11,7,NA,721
2,Himachal Pradesh,Simla,13,1,4,17,1,8,141,162,75,6,37,NA,933
3,Himachal Pradesh,Kangra,17,NA,7,22,NA,13,87,107,42,17,9,NA,795
4,Himachal Pradesh,Solan,4,NA,2,11,1,4,49,109,40,22,12,NA,582
5,Himachal Pradesh,Sirmur,2,1,6,6,2,1,41,57,21,6,4,NA,392
6,Himachal Pradesh,Chamba,6,2,2,11,NA,2,74,54,9,3,3,NA,327
7,Himachal Pradesh,Bilaspur,1,NA,NA,1,NA,NA,25,20,21,6,6,NA,227
8,Himachal Pradesh,Hamirpur,5,4,1,9,1,1,24,30,13,3,1,NA,228
9,Himachal Pradesh,Uno,5,2,4,6,1,4,38,39,13,6,7,NA,315
10,Himachal Pradesh,Kulu,6,1,NA,6,NA,1,32,28,6,1,NA,NA,203
11,Himachal Pradesh,Kinnaur,NA,NA,3,2,NA,NA,30,15,7,3,1,NA,107
12,Himachal Pradesh,Lahaul & Spiti,NA,1,NA,NA,NA,NA,2,4,3,NA,1,NA,27
13,Himachal Pradesh,Railway & Traffic,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,7
1,Jammu Kashmir,Anantnag,11,1,16,53,NA,NA,83,112,177,13,12,NA,1172
2,Jammu Kashmir,Baramulla,9,NA,11,38,NA,1,243,282,324,16,12,NA,1764
3,Jammu Kashmir,Badgam,4,1,8,13,1,1,28,67,170,6,7,NA,648
4,Jammu Kashmir,Doda,NA,2,8,63,NA,2,60,81,57,8,7,NA,704
5,Jammu Kashmir,Jammu,28,NA,20,62,8,6,424,799,155,23,33,NA,3072
6,Jammu Kashmir,Kathua,9,1,6,33,1,2,132,149,53,4,5,NA,776
7,Jammu Kashmir,Kargil,NA,NA,NA,2,NA,NA,2,11,10,1,NA,NA,64
8,Jammu Kashmir,Kupwara,4,NA,8,29,NA,1,46,227,116,5,7,NA,713
9,Jammu Kashmir,Leh,NA,NA,NA,NA,NA,NA,11,7,7,NA,NA,NA,74
10,Jammu Kashmir,Poonch,7,NA,7,22,NA,NA,137,188,121,14,14,NA,911
11,Jammu Kashmir,Pulwama,1,NA,10,22,NA,1,83,132,107,6,3,NA,860
12,Jammu Kashmir,Rajouri,8,,9,31,1,1,42,169,133,9,7,NA,701
13,Jammu Kashmir,Srinagar,12,NA,7,59,NA,5,237,404,257,18,24,NA,2467
14,Jammu Kashmir,Udhampur,7,2,25,45,2,2,106,175,29,10,4,NA,1062
15,Jammu Kashmir,Railways,NA,NA,NA,1,NA,NA,NA,72,NA,1,1,NA,87
1,Karnataka,Bangalore City,81,NA,23,91,22,289,2374,9960,440,374,622,263,23193
2,Karnataka,Bangalore District,43,2,11,7,8,20,489,624,351,38,33,7,3559
3,Karnataka,Kolar,30,5,1,8,4,6,301,490,139,19,31,18,2649
4,Karnataka,K.G.F.,3,NA,1,5,4,1,173,261,30,9,7,NA,850
5,Karnataka,Tumkur,44,NA,4,7,7,27,671,900,460,15,26,16,3981
6,Karnataka,ChitraDurga,30,NA,4,8,3,15,407,395,298,26,14,2,2276
7,Karnataka,Shimoga,37,NA,5,3,10,14,422,566,267,45,16,NA,3149
8,Karnataka,Mysore,31,1,6,23,8,36,669,2350,337,75,134,6,6435
9,Karnataka,Mandya,25,NA,3,14,2,12,384,448,141,31,14,5,1463
10,Karnataka,Hassan,28,2,NA,1,1,10,229,390,177,22,12,3,1541
11,Karnataka,Chickmagalur,23,NA,9,5,2,12,248,416,130,27,21,1,1652
12,Karnataka,Kodagu,23,NA,5,6,NA,11,182,250,81,17,18,NA,1746
13,Karnataka,Dakshina Kannada,32,1,3,9,1,8,249,287,266,31,32,1,4690
14,Karnataka,Belgaum,92,4,7,21,22,10,424,841,301,36,32,1,4046
15,Karnataka,Bijapur,80,NA,2,26,41,39,331,513,459,47,51,NA,2772
16,Karnataka,Dharwad,73,1,5,20,55,51,784,966,555,50,70,4,4570
17,Karnataka,Uttara Kannada,19,1,2,1,6,7,298,336,123,18,23,2,1676
18,Karnataka,Gulbarga,47,1,6,12,18,29,297,517,470,30,31,NA,1458
19,Karnataka,Bidar,19,1,NA,9,8,33,126,337,182,5,94,NA,1564
20,Karnataka,Raichur,72,NA,1,7,25,15,279,357,281,27,19,1,2024
21,Karnataka,Bellary,34,NA,5,3,10,7,222,425,185,21,18,NA,1711
22,Karnataka,Railways,4,NA,NA,NA,2,3,9,392,19,4,6,NA,438
1,Kerala,Trivandrum City,8,NA,2,7,3,13,272,475,213,12,23,NA,2457
2,Kerala,Trivandrum Rural,31,NA,NA,11,2,6,307,293,463,13,27,NA,4768
3,Kerala,Quilon,58,NA,5,18,3,8,358,195,628,30,36,NA,4871
4,Kerala,Alleppey,30,NA,2,14,8,14,343,242,577,24,44,NA,4331
5,Kerala,Kottayam,52,NA,3,9,NA,11,369,240,294,18,13,NA,3848
