SL. No.,Category,Heads of Crime ,Between 7-12 Years - Boys,Between 7-12 Years - Girls,Between 12-16 Years - Boys,Between 12-16 Years - Girls,Between 16-18 Years - Boys,Between 16-18 Years - Girls,Between 18-21 Years - Boys,Between 18-21 Years - Girls,Overall Age Groups - Boys,Overall Age Groups - Girls,Total - Boys+Girls
1,IPC Crime,Murder ,24,1,146,8,261,22,1201,51,1632,82,1714
2,IPC Crime,Culpable Homicide Not Amounting to Murder,2,NA,4,NA,18,1,69,7,93,8,101
3,IPC Crime,Rape,2,NA,36,NA,113,2,424,2,575,4,579
4,IPC Crime,Kidnapping & Abduction,3,NA,23,5,171,5,407,17,604,27,631
5,IPC Crime,Dacoity,8,NA,61,3,143,NA,801,11,1013,14,1027
6,IPC Crime,Robbery,10,NA,58,3,266,2,1184,5,1518,10,1528
7,IPC Crime,Burglary,388,19,1547,39,1608,39,4821,110,8364,207,8571
8,IPC Crime,Thefts,1059,129,3731,224,4082,183,11604,429,20476,965,21441
9,IPC Crime,Riots,203,13,1108,84,3837,183,11409,467,16557,747,17304
10,IPC Crime,Criminal Breach of Trust,5,NA,24,NA,35,3,243,9,307,12,319
11,IPC Crime,Cheating ,7,5,16,2,18,NA,278,7,319,14,333
12,IPC Crime,Counterfeiting,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1
13,IPC Crime,Total,2280,276,9952,737,18353,928,51192,2199,81777,4140,85917
1,Local & Special Laws,Arms Act,NA,NA,10,NA,152,NA,1210,NA,1372,NA,1372
2,Local & Special Laws,Opium Act,1,NA,2,NA,26,NA,179,2,208,2,210
3,Local & Special Laws,Gambling Act ,133,3,1348,13,4548,12,22014,150,28043,178,28221
4,Local & Special Laws,Excise Act,11,4,150,9,607,33,1755,130,2523,176,2699
5,Local & Special Laws,Prohibition Act,828,104,2374,212,6481,558,24001,725,33684,1599,35283
6,Local & Special Laws,Explosive & Explosive Substances Act,1,NA,2,NA,3,NA,26,NA,32,NA,32
7,Local & Special Laws,Suppression of Immoral Traffic Act,2,NA,6,8,17,129,71,971,96,1108,1204
8,Local & Special Laws,Motor Vehicles Act,13,NA,46,NA,802,NA,848,2,1709,2,1711
9,Local & Special Laws,Prevention of Corruption Act,NA,NA,NA,NA,NA,NA,6,NA,6,NA,6
10,Local & Special Laws,Customs Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Local & Special Laws,Indian Railways Act,26,NA,141,NA,121,NA,459,11,747,11,758
12,Local & Special Laws,Other Offences,6193,582,4594,444,3822,307,13323,907,27932,2240,30172
13,Local & Special Laws,Total (Local & Special Laws),7208,693,8673,686,16579,1039,63892,2898,96352,5316,101668
Grand Total (IPC + Local & Special Laws),Grand Total (IPC + Local & Special Laws),Grand Total (IPC + Local & Special Laws),9488,969,18625,1423,34932,1967,115084,5097,178129,9456,187585
