SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed during the Year,Persons in custody or on bail during the stage of trial at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to total number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Arms Act,182847,148,56072,126627,39429,69.3,70.3
2,Opium Act,29710,45,12737,16928,9436,57,74.1
3,Gambling Act ,624410,1394,364753,258263,300127,41.4,82.3
4,Excise Act,267194,426,104487,162281,80670,60.7,77.2
5,Prohibition Act,754479,132055,267220,355204,117429,47.1,43.9
6,Explosives & Explosive Substances Act,5493,27,1225,4241,697,77.2,56.9
7,Suppression of Immoral Traffic in Women & Girls Act,24226,170,17377,6679,15289,27.6,88
8,Motor Vehicles Act,875609,7378,682093,186138,618634,21.3,90.7
9,Prevention of Corruption Act,904,1,228,675,79,74.7,34.6
10,Customs Act,955,12,599,344,410,36,68.4
11,Indian Railways Act,40313,50,33317,6946,32922,17.2,98.8
12,Other Offences Under Local & Special Laws,1379769,25970,1109674,244125,987813,17.7,89
13,Total,4185909,167676,2649782,1368451,2202935,32.7,83.1
