SL. No.,Year,Incidence of Crime,Volume of Offences Per One Lakh of Population
1,1974,2580140,438.6
2,1975,3205270,533.5
3,1976,3222910,525.5
4,1977,2699061,431.3
5,1978,2792223,437.4
6,1979,2823568,433.7
7,1980,2583700,389.3
