SL. No.,Year,Total Value of Property Stolen (Rs. in Lakhs),Percentage of Value of Property Recovered to Value of Property Stolen
1,1975,8370.2,27.3
2,1976,9760.2,35.9
3,1977,8320.3,25
4,1978,9897.7,26.7
5,1979,10690.1,27.7
6,1980,15617.2,22.8
