SL. No.,Crime Head,1978,1983,1984,1985,1986,1987,Quinquennial Avg. 1983-1987 (Q.A.),1988,"Percentage Change in 1988** [(+) Increase, (-) Decrease] Over - 1978","Percentage Change in 1988** [(+) Increase, (-) Decrease] Over - Quinquennial Avg. (Q.A.)","Percentage Change in 1988** [(+) Increase, (-) Decrease] Over - 1987"
1,Murder,718,1257,1186,1178,1241,1295,1231,661,-7.9,-46.3,-49
2,Attempt to Commit Murder,*,*,*,*,*,*,*,271,NA,NA,NA
3,C.H. Not Amounting to Murder,89,84,121,185,118,133,128,41,-53.9,-68,-69.2
4,Rape,287,454,473,371,638,608,509,317,10.5,-37.7,-47.9
5,Kidnapping & Abduction,597,665,523,628,607,648,614,314,-47.4,-48.9,-51.5
5,I) Of Women & Girls,*,*,*,*,*,*,*,283,NA,NA,NA
5,II) Of Others,*,*,*,*,*,*,*,31,NA,NA,NA
6,Dacoity,288,548,391,349,415,415,424,226,-21.5,-46.7,-45.5
7,Preparation & Assembly for Dacoity,*,*,*,*,*,*,*,25,NA,NA,NA
8,Robbery,741,991,807,751,755,772,815,408,-44.9,-49.9,-47.2
9,Burglary,6218,5795,5030,4793,5042,5153,5163,2422,-56.2,-47.3,-47.2
10,Theft,14148,13531,11449,11297,11873,11414,11913,5584,-60.5,-53.1,-51.1
11,Riots,5049,8795,7009,6560,6303,6712,7076,3021,-40.2,-57.3,-55
12,Criminal Breach of Trust,244,226,214,265,228,264,239,157,-35.7,-34.4,-40.5
13,Cheating,292,281,207,227,252,311,256,77,-73.6,-69.9,-75.2
14,Counterfeiting,3,18,88,20,5,14,29,1,-66.7,-96.6,-92.9
15,Other IPC Crimes not Included Above,15610,22828,15305,22693,28410,24871,22821,11002,-29.5,-51.8,-55.8
16,Total Cognizable Crimes Under IPC,44284,55473,42803,49317,55887,52610,51218,24827,-43.9,-51.5,-52.8
