SL. No.,Category,State/UT/City,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Only Girls,Overall Age Groups - Boys,Overall Age Groups - Girls,Total (Boys + Girls)
1,State,Andhra Pradesh,416,3,1117,6,47,1533,56,1589
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0
3,State,Assam,0,0,38,0,0,38,0,38
4,State,Bihar,9,0,759,0,0,768,0,768
5,State,Goa,2,2,8,0,7,10,9,19
6,State,Gujarat,82,20,532,37,147,614,204,818
7,State,Haryana,0,0,182,0,0,182,0,182
8,State,Himachal Pradesh,0,0,6,1,23,6,24,30
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,State,Karnataka,14,0,591,4,240,605,244,849
11,State,Kerala,31,0,190,6,0,221,6,227
12,State,Madhya Pradesh,117,0,557,13,427,674,440,1114
13,State,Maharashtra,768,245,1065,245,47,1833,537,2370
14,State,Manipur,0,0,4,0,12,4,12,16
15,State,Meghalaya,0,0,0,0,0,0,0,0
16,State,Mizoram,0,0,0,0,2,0,2,2
17,State,Nagaland,0,0,0,0,2,0,2,2
18,State,Orissa,0,0,136,0,0,136,0,136
19,State,Punjab,0,0,47,3,14,47,17,64
20,State,Rajasthan,0,0,417,0,0,417,0,417
21,State,Sikkim,8,0,43,0,0,51,0,51
22,State,Tamil Nadu,0,30,5198,94,649,5198,773,5971
23,State,Tripura,0,0,0,0,0,0,0,0
24,State,Uttar Pradesh,10,0,84,1,0,94,1,95
25,State,West Bengal,14,0,444,12,28,458,40,498
Total (States),State,Total (States),1471,300,11418,422,1645,12889,2367,15256
26,UT,A & N Islands,0,0,33,0,0,33,0,33
27,UT,Chandigarh,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0
30,UT,Delhi,0,0,2,0,32,2,32,34
31,UT,Lakshadweep,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,153,0,153,153
Total (UTs),UT,Total (UTs),0,0,35,0,185,35,185,220
Total (All-India),Total (All-India),Total (All-India),1471,300,11453,422,1830,12924,2552,15476
33,City,Ahmedabad,40,2,197,18,61,237,81,318
34,City,Bangalore,0,0,2,2,187,2,189,191
35,City,Bombay,451,221,160,220,17,611,458,1069
36,City,Calcutta,0,0,4,5,2,4,7,11
37,City,Delhi,0,0,2,0,32,2,32,34
38,City,Hyderabad,0,0,0,0,0,0,0,0
39,City,Jaipur,0,0,1,0,0,1,0,1
40,City,Kanpur,4,0,44,0,0,48,0,48
41,City,Lucknow,0,0,0,0,0,0,0,0
42,City,Madras,66,0,530,60,62,596,122,718
43,City,Nagpur,100,5,65,3,8,165,16,181
44,City,Pune,0,0,0,4,53,0,57,57
