SL. No.,Category,State/UT/City,Area (in Sqr. Kms.),Estimated Mid-Year Population (in 000),Total Cognizable Crimes (IPC),Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Number of Policemen per 100 Sqr. Kms. Area,Number of Policemen per 1000 of Population,Number of IPC Cases per Civil Policeman
1,State,Andhra Pradesh,275068,61361,86099,43224,9191,52415,82.5,19.1,0.9,2
2,State,Arunachal Pradesh,83743,774,1764,1834,742,2576,71.2,3.1,3.3,1
3,State,Assam,78438,23542,37684,22266,18880,41146,54.1,52.5,1.7,1.7
4,State,Bihar,173877,81742,113640,60237,17078,77315,77.9,44.5,0.9,1.9
5,State,Goa,3700,1196,3969,1904,549,2453,77.6,66.3,2.1,2.1
6,State,Gujarat,196024,39290,87732,45175,10824,55999,80.7,28,1.4,1.9
7,State,Haryana,44212,15619,25542,19882,4720,24602,80.8,55.6,1.6,1.3
8,State,Himachal Pradesh,55673,4893,6521,7254,3753,11007,65.9,19.8,2.2,0.9
9,State,Jammu & Kashmir,222236,7044,19868,16807,8359,25166,66.8,11.3,3.6,1.2
10,State,Karnataka,191791,43236,86998,40522,5216,45738,88.6,23.8,1.1,2.1
11,State,Kerala,38863,28930,64086,26872,5561,32433,82.9,83.5,1.1,2.4
12,State,Madhya Pradesh,443446,61027,180630,59342,24674,84016,70.6,18.9,1.4,3
13,State,Maharashtra,307690,72442,183357,104179,9625,113804,91.5,37,1.6,1.8
14,State,Manipur,22327,1700,2379,4910,5382,10292,47.7,46.1,6.1,0.5
15,State,Meghalaya,22429,1627,1735,5009,1847,6856,73.1,30.6,4.2,0.3
16,State,Mizoram,21081,651,1267,1759,1685,3444,51.1,16.3,5.3,0.7
17,State,Nagaland,16579,1034,1408,6304,8497,14801,42.6,89.3,14.3,0.2
18,State,Orissa,155707,30063,41068,26050,7052,33102,78.7,21.3,1.1,1.6
19,State,Punjab,50362,19169,14275,30402,5796,36198,84,71.9,1.9,0.5
20,State,Rajasthan,342239,41651,88146,39574,7403,46977,84.2,13.7,1.1,2.2
21,State,Sikkim,7096,412,333,2147,522,2669,80.4,37.6,6.5,0.2
22,State,Tamil Nadu,130058,54429,128725,48887,3356,52243,93.6,40.2,1,2.6
23,State,Tripura,10486,2446,5520,7184,3298,10482,68.5,100,4.3,0.8
24,State,Uttar Pradesh,294411,129137,160253,124450,33943,158393,78.6,53.8,1.2,1.3
25,State,West Bengal,88752,62920,63380,44567,30304,74871,59.5,84.4,1.2,1.4
Total (States),State,Total (States),3276288,786335,1406379,790741,228257,1018998,77.6,31.1,1.3,1.8
26,UT,A & N Islands,8249,264,897,1289,435,1724,74.8,20.9,6.5,0.7
27,UT,Chandigarh,114,665,1734,2128,1028,3156,67.4,2768.4,4.7,0.8
28,UT,D & N Haveli,491,125,551,210,0,210,100,42.8,1.7,2.6
29,UT,Daman & Diu,114,94,120,213,0,213,100,186.8,2.3,0.6
30,UT,Delhi,1483,8357,28013,30259,9234,39493,76.6,2663,4.7,0.9
31,UT,Lakshadweep,32,45,30,328,0,328,100,1025,7.3,0.1
32,UT,Pondicherry,492,711,2632,919,828,1747,52.6,355.1,2.5,2.9
Total (UTs),UT,Total (UTs),10975,10261,33977,35346,11525,46871,75.4,427.1,4.6,1
Total (All-India),Total (All-India),Total (All-India),3287263,796596,1440356,826087,239782,1065869,77.5,32.4,1.3,1.7
