SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Seas - Number,River & Seas - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishment - Number,Commercial Establishment - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,7396,265.6,882,7.5,1,0,905,46.1,52,2.1,1401,24.6,8203,195.3,18840,541.3
2,State,Arunachal Pradesh,78,2.8,53,1.1,0,0,0,0,0,0,27,1.4,146,13.8,304,19
3,State,Assam,4744,72.4,512,10.1,68,49.6,90,1.2,1,0,574,5.9,2233,38,8222,177.3
4,State,Bihar,13287,186.1,926,13.9,0,0,1769,22.8,1,2.8,2103,16.8,1337,7.9,19423,250.3
5,State,Goa,255,19,6,0.2,1,0.1,9,0.5,0,0,41,2.9,917,34.9,1229,57.5
6,State,Gujarat,2679,86.9,24,6.3,7,0.4,729,50.4,6,0.5,696,55.9,15813,767.3,19954,967.7
7,State,Haryana,2621,273.1,15,3.8,0,0,269,5.9,0,0,51,9.5,1235,16.1,4191,308.5
8,State,Himachal Pradesh,93,2.4,102,30.8,0,0,0,0,0,0,75,13.2,468,10,738,56.3
9,State,Jammu & Kashmir,1288,88.2,131,12.4,0,0,30,0.8,0,0,33,9.4,1638,146.8,3120,257.7
10,State,Karnataka,5409,222.8,45,6.8,380,15.7,12,1.4,9,2,1657,63.1,8700,376.6,16212,688.4
11,State,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,3560,270.1,3560,270.1
12,State,Madhya Pradesh,13896,278.9,931,25.1,11,0.1,1380,39.7,6,0.9,624,9.1,20324,934.1,37172,1287.9
13,State,Maharashtra,9854,523.4,427,2.7,10,0.1,5318,169.7,4,0.5,1041,81.1,40370,2567.7,57024,3345.3
14,State,Manipur,144,3.2,12,5.4,0,0,0,0,1,2,9,0.2,187,2.1,353,13
15,State,Meghalaya,114,6.7,0,0,0,0,0,0,0,0,17,2.1,253,16.9,384,25.6
16,State,Mizoram,239,29.7,0,0,0,0,0,0,0,0,25,0.1,89,3.8,353,33.5
17,State,Nagaland,120,12.1,3,5.2,0,0,0,0,0,0,56,2.5,105,8.2,284,28
18,State,Orissa,1716,69,0,0,0,0,0,0,38,0.6,82,0.6,7373,181.9,9209,252.1
19,State,Punjab,950,182,215,77.3,4,0,15,0.6,6,11,90,17.2,848,168.3,2128,456.4
20,State,Rajasthan,8200,552,0,0,0,0,710,21.9,0,0,16,0.1,3939,70.5,12865,644.6
21,State,Sikkim,41,3.2,0,0,0,0,0,0,0,0,15,0.1,37,3.5,93,6.8
22,State,Tamil Nadu,11000,190.9,226,7.4,12,0.3,445,15.8,9,0.1,1489,29,10078,159.6,23259,403.3
23,State,Tripura,407,2,52,0.6,0,0,0,0,0,0,218,0.9,310,41.5,987,45
24,State,Uttar Pradesh,25534,2045.2,1131,28.5,1,0,4340,2405.8,10,0,568,64.7,10164,366.5,41748,4910.7
25,State,West Bengal,3596,363.8,92,9.8,0,0,5,0.4,2,0,240,24.5,21265,450,25200,848.5
Total (States),State,Total (States),113661,5481.4,5785,254.9,495,66.5,16026,2783.1,145,22.6,11148,435,159592,6851.6,306852,15894.9
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,130,5.9,130,5.9
27,UT,Chandigarh,752,57.2,0,0,0,0,0,0,0,0,12,1,5,1,769,59.3
28,UT,D & N Haveli,10,0.2,0,0,0,0,0,0,0,0,0,0,48,0.6,58,0.8
29,UT,Daman & Diu,26,0.7,62,5.3,0,0,0,0,0,0,2,0.2,2,0,30,1
30,UT,Delhi,6105,354,0,0,0,0,430,80.8,0,0,547,29.3,4109,234.8,11253,704.3
31,UT,Lakshadweep,4,1,0,0,0,0,0,0,0,0,0,0,4,0.2,8,1.1
32,UT,Pondicherry,312,13.4,0,0,0,0,0,0,0,0,13,1.4,423,11.2,748,25.9
Total (UTs),UT,Total (UTs),7209,426.5,62,5.3,0,0,430,80.8,0,0,574,31.9,4721,253.7,12996,798.3
Total (All-India),Total (All-India),Total (All-India),120870,5907.9,5847,260.2,495,66.5,16456,2863.9,145,22.6,11722,466.9,164313,7105.3,319848,16693.2
33,City,Ahmedabad,895,31.5,0,0,0,0,0,0,0,0,54,21.1,2604,214.9,3553,267.5
34,City,Bangalore,1808,76.8,0,0,0,0,0,0,9,2,1558,58.1,3836,133.7,7211,270.5
35,City,Bombay,3281,257,9,0.1,0,0,0,0,3,0,710,60.7,11130,1406.4,15133,1724.3
36,City,Calcutta,3596,363.8,0,0,0,0,5,0.4,2,0,240,24.5,3079,311.1,7014,709.6
37,City,Delhi,5871,348.4,0,0,0,0,430,80.8,0,0,483,28.7,3716,228.3,10562,691.5
38,City,Hyderabad,1446,115.2,679,0.6,0,0,0,0,0,0,723,4.8,231,0.2,3079,120.8
39,City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,1841,60.6,1841,60.5
40,City,Kanpur,1035,180.9,35,0.5,0,0,4,0.2,0,0,485,60.8,282,2,1841,244.4
41,City,Lucknow,2124,1157.9,0,0,0,0,0,0,0,0,0,0,0,0,2124,1157.9
42,City,Madras,3212,58.7,0,0,0,0,0,0,0,0,290,3.6,589,12.7,4091,74.9
43,City,Nagpur,545,21.3,0,0,0,0,0,0,0,0,17,0.8,1923,74,2485,96.2
44,City,Pune,565,37.7,0,0,0,0,0,0,2,0,0,0,2137,51.7,2704,89.4
