SL. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Arms Act,55576,15,55591,100,0
2,Narcotic Drugs & Psychotropic Substances Act,11847,538,12385,95.7,4.3
3,Gambling Act,352664,284,352948,99.9,0.1
4,Excise Act,93810,5513,99323,94.4,5.6
5,Prohibition Act,546476,63754,610230,89.6,10.4
6,Explosive & Explosive Substances Act,4440,25,4465,99.4,0.6
7,Immoral Traffic (Prevention) Act,2700,15430,18130,14.9,85.1
8,Indian Railways Act,34923,473,35396,98.7,1.3
9,Foreigner's Registration Act,733,45,778,94.2,5.8
10,Protection Of Civil Rights Act,6113,223,6336,96.5,3.5
11,Indian Passport Act,877,66,943,93,7
12,Essential Commodities Act,6837,34,6871,99.5,0.5
13,Terrorist & Disruptive Activites Act,1845,13,1858,99.3,0.7
14,Antiquity & Art Treasure Act,1,0,1,100,0
15,Dowry Prohibition Act,3518,657,4175,84.3,15.7
16,Other LSL Crimes not Included Above,2598811,62262,2661073,97.7,2.3
17,Total Cognizable Crimes Under LSL,3721171,149332,3870503,96.1,3.9
