SL. No.,Category,State/UT/City,Arms Act - Incidence (I),Arms Act - Volume (V),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Foreigners Registration Act - Incidence (I),Foreigners Registration Act - Volume (V),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Volume (V),Indian Passport Act - Incidence (I),Indian Passport Act - Volume (V),Essential Commodities Act - Incidence (I),Essential Commodities Act - Volume (V),Terrorist & Disruptive Activites Act - Incidence (I),Terrorist & Disruptive Activites Act - Volume (V),Antiquity & Art Treasure Act - Incidence (I),Antiquity & Art Treasure Act - Volume (V),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Volume (V),Other LSL Crimes - Incidence (I),Other LSL Crimes - Volume (V),Total Cognizable Crimes Under LSL - Incidence (I),Total Cognizable Crimes Under LSL - Volume (V)
1,State,Andhra Pradesh,399,0.7,0,0,34512,56.2,3351,5.5,4,0,276,0.4,1405,2.3,1227,2,5,0,150,0.2,0,0,16,0,70,0.1,1,0,37,0.1,612408,997.9,653861,1065.5
2,State,Arunachal Pradesh,11,1.4,5,0.6,0,0,0,0,0,0,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,10,1.2,36,4.7
3,State,Assam,296,1.3,21,0.1,365,1.6,647,2.7,118,0.5,118,0.5,10,0,19,0.1,0,0,0,0,24,0.1,57,0.2,133,0.6,0,0,16,0.1,1182,5,3006,12.8
4,State,Bihar,2492,3,78,0.1,383,0.5,1306,1.6,6,0,418,0.5,10,0,1795,2.2,16,0,4,0,0,0,669,0.8,0,0,0,0,216,0.3,3173,3.9,10566,12.9
5,State,Goa,5,0.4,97,8.1,989,82.7,4,0.3,0,0,1,0.1,86,7.2,57,4.8,11,0.9,1,0.1,6,0.5,1,0.1,0,0,0,0,1,0.1,1034,86.5,2293,191.7
6,State,Gujarat,305,0.8,460,1.2,12821,32.5,0,0,127011,322.4,104,0.3,5,0,3345,8.5,37,0.1,112,0.3,19,0,289,0.7,97,0.2,0,0,1,0,26659,67.7,171265,434.8
7,State,Haryana,1076,6.9,1017,6.5,1943,12.4,8008,51.3,0,0,22,0.1,0,0,670,4.3,1,0,2,0,5,0,203,1.3,16,0.1,0,0,0,0,1008,6.5,13971,89.4
8,State,Himachal Pradesh,34,0.7,97,2,60,1.2,4043,82.6,0,0,9,0.2,1,0,0,0,11,0.2,10,0.2,0,0,63,1.3,3,0.1,0,0,5,0.1,300,6.1,4636,94.7
9,State,Jammu & Kashmir,102,1.4,144,2,101,1.4,25,0.4,0,0,38,0.5,0,0,3,0,3,0,3,0,57,0.8,1414,20.1,36,0.5,0,0,2,0,276,3.9,2204,31.3
10,State,Karnataka,82,0.2,21,0,4514,10.4,1980,4.6,0,0,76,0.2,2673,6.2,52,0.1,220,0.5,873,2,4,0,554,1.3,0,0,2,0,197,0.5,267765,619.3,279013,645.3
11,State,Kerala,122,0.4,173,0.6,905,3.1,213,0.7,314,1.1,111,0.4,72,0.2,55,0.2,1,0,21,0.1,0,0,76,0.3,0,0,0,0,0,0,3677,12.7,5740,19.8
12,State,Madhya Pradesh,3028,5,872,1.4,16222,26.6,15607,25.6,2,0,356,0.6,2,0,17115,28,26,0,274,0.4,2,0,70,0.1,0,0,6,0,76,0.1,105133,172.3,158791,260.2
13,State,Maharashtra,1313,1.8,3211,4.4,37890,52.3,0,0,147496,203.6,350,0.5,861,1.2,5596,7.7,578,0.8,284,0.4,54,0.1,563,0.8,14,0,0,0,135,0.2,326824,451.2,525170,725
14,State,Manipur,18,1.1,239,14.1,90,5.3,2288,134.6,0,0,4,0.2,4,0.2,0,0,5,0.3,0,0,0,0,0,0,42,2.5,0,0,0,0,102,6,2792,164.2
15,State,Meghalaya,32,2,8,0.5,169,10.4,8,0.5,0,0,3,0.2,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,159,9.8,380,23.4
16,State,Mizoram,16,2.5,68,10.4,15,2.3,0,0,5,0.8,5,0.8,2,0.3,0,0,0,0,0,0,0,0,5,0.8,0,0,0,0,0,0,1916,294.3,2032,312.1
17,State,Nagaland,31,3,52,5,5,0.5,53,5.1,0,0,6,0.6,0,0,3,0.3,1,0.1,0,0,0,0,1,0.1,1,0.1,0,0,0,0,113,10.9,266,25.7
18,State,Orissa,136,0.5,30,0.1,999,3.3,320,1.1,0,0,62,0.2,10,0,47,0.2,0,0,35,0.1,0,0,47,0.2,0,0,0,0,90,0.3,951,3.2,2727,9.1
19,State,Punjab,2816,14.7,1496,7.8,1624,8.5,13801,72,0,0,99,0.5,2,0,394,2.1,8,0,0,0,142,0.7,132,0.7,319,1.7,0,0,3,0,276,1.4,21112,110.1
20,State,Rajasthan,3452,8.3,657,1.6,1969,4.7,2486,6,0,0,104,0.2,139,0.3,869,2.1,17,0,226,0.5,135,0.3,220,0.5,6,0,0,0,0,0,103243,247.9,113523,272.6
21,State,Sikkim,12,2.9,0,0,4,1,293,71.1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4681,1136.2,4994,1212.1
22,State,Tamil Nadu,178,0.3,1496,2.7,40739,74.8,1,0,364862,670.3,395,0.7,9878,18.1,99,0.2,16,0,749,1.4,279,0.5,0,0,0,0,0,0,651,1.2,1014718,1864.3,1434061,2634.7
23,State,Tripura,32,1.3,0,0,8,0.3,194,7.9,47,1.9,21,0.9,0,0,0,0,0,0,0,0,0,0,57,2.3,0,0,0,0,0,0,248,10.1,607,24.8
24,State,Uttar Pradesh,34762,26.9,1484,1.1,6427,5,27988,21.7,9,0,858,0.7,659,0.5,2208,1.7,38,0,188,0.1,2,0,1131,0.9,11,0,0,0,624,0.5,92963,72,169352,131.1
25,State,West Bengal,467,0.7,215,0.3,7099,11.3,3146,5,68,0.1,236,0.4,42,0.1,3433,5.5,0,0,0,0,0,0,136,0.2,0,0,0,0,0,0,137347,218.3,152189,241.9
Total (States),State,Total (States),51217,6.5,11941,1.5,169853,21.6,85762,10.9,639942,81.3,3678,0.5,15862,2,36987,4.7,994,0.1,2932,0.4,729,0.1,5704,0.7,756,0.1,10,0,2054,0.3,2706166,344,3734587,474.9
26,UT,A & N Islands,0,0,6,2.3,16,6.1,1320,500,67,25.4,4,1.5,0,0,0,0,7,2.7,0,0,0,0,3,1.1,0,0,0,0,0,0,1146,434.1,2569,973.1
27,UT,Chandigarh,32,4.8,11,1.7,62,9.3,27,4.1,0,0,1,0.2,0,0,0,0,1,0.2,2,0.3,0,0,5,0.8,6,0.9,0,0,0,0,56,8.4,203,30.5
28,UT,D & N Haveli,1,0.8,0,0,1,0.8,2,1.6,0,0,1,0.8,0,0,0,0,0,0,1,0.8,0,0,5,4,0,0,0,0,0,0,17,13.6,28,22.4
