SL. No.,Year,Boys,Girls,Total,Percentage of Girls
1,1978,151187,9732,160919,6
2,1979,160310,9733,170043,5.7
3,1980,178129,9456,187585,5
4,1981,181888,8679,190567,4.6
5,1982,157664,10673,168337,6.3
6,1983,160513,11101,171614,6.5
7,1984,149755,12505,162260,7.7
8,1985,157107,11392,168499,6.8
9,1986,159977,10172,170149,6
10,1987,166407,13555,179962,7.5
11,1988,33065,5103,38168,13.4
