SL. No.,Place of Occurance,Dacoity - Number,Dacoity - Value,Robbery - Number,Robbery - Value,Burglary - Number,Burglary - Value,Theft - Number,Theft - Value
1,Residential Premises,5973,795.2,6680,639.5,85694,4162,120870,5907.9
2,High-Way,940,148.4,3421,409.2,576,33.4,5847,260.2
3,River & Sea,38,3.7,56,3.9,19,0.2,495,66.5
4,Railways,142,18,344,15.2,115,7.1,16456,2863.9
5,Banks,33,144.6,82,102,80,2.3,145,22.6
6,Commercial Establishments,174,65.5,488,68.3,5163,629.3,11722,466.9
7,Other Places,2006,338,10540,464.8,32657,2234.7,164313,7105.3
8,Total,9306,1513.4,21611,1702.9,124304,7069,319848,16693.2
