SL. No.,State/UT,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cog. Crimes Under IPC
1,Andhra Pradesh,Hyderabad,90,101,2,17,51,51,0,4,0,84,1151,3079,191,95,379,32,2193,7469
2,Andhra Pradesh,Vijayawada,31,32,0,12,33,30,3,8,0,20,177,884,79,20,75,3,1274,2648
3,Andhra Pradesh,Vizag,17,9,0,1,22,22,0,6,0,15,359,1036,69,32,109,0,940,2615
1,Assam,Guwahati,33,6,2,16,42,37,5,32,2,84,515,1201,118,124,70,1,1865,4111
1,Bihar,Patna,124,97,5,32,98,90,8,65,13,155,409,1983,172,0,0,0,0,3153
2,Bihar,Ranchi,60,32,8,20,32,12,20,18,3,138,177,646,71,22,37,0,1509,2773
1,Gujarat,Ahmedabad,81,93,0,12,106,74,32,16,0,72,703,3553,182,166,196,20,7094,12294
2,Gujarat,Bhavnagar,14,6,0,1,11,8,3,0,0,12,60,231,14,25,6,3,662,1045
3,Gujarat,Nadiayad,7,3,0,0,2,1,1,1,0,1,25,97,7,5,9,0,176,333
4,Gujarat,Rajkot,18,19,0,2,15,14,1,3,0,16,101,374,51,19,27,1,1576,2222
5,Gujarat,Surat,39,14,0,7,39,31,8,2,0,43,237,1113,153,60,47,1,2007,3762
6,Gujarat,Vadodara,33,34,0,4,33,28,5,8,0,32,553,2754,146,72,83,5,2739,6496
1,Karnataka,Bangalore,73,45,2,22,65,65,0,7,0,143,1349,6240,181,218,599,259,9089,18292
2,Karnataka,Belgaum,5,6,1,1,5,5,0,1,0,1,125,280,75,15,71,7,1100,1693
3,Karnataka,Bellary,3,0,0,1,2,2,0,1,0,2,42,96,22,3,16,1,325,514
4,Karnataka,Bhadravathi,12,2,1,2,5,5,0,0,0,0,45,77,18,11,0,3,289,465
