SL. No.,Category,State/UT/City,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Only Girls,Overall Age Groups - Boys,Overall Age Groups - Girls,Total (Boys + Girls)
1,State,Andhra Pradesh,70,7,945,38,210,1015,255,1270
2,State,Arunachal Pradesh,11,0,20,6,12,31,18,49
3,State,Assam,39,1,1181,35,62,1220,98,1318
4,State,Bihar,35,0,3663,55,37,3698,92,3790
5,State,Goa,16,0,43,21,20,59,41,100
6,State,Gujarat,151,16,815,74,172,966,262,1228
7,State,Haryana,0,0,167,4,9,167,13,180
8,State,Himachal Pradesh,3,2,46,8,19,49,29,78
9,State,Jammu & Kashmir,0,1,17,1,1,17,3,20
10,State,Karnataka,41,1,1451,18,56,1492,75,1567
11,State,Kerala,38,0,168,2,4,206,6,212
12,State,Madhya Pradesh,564,53,3293,127,566,3857,746,4603
13,State,Maharashtra,408,45,2165,123,232,2573,400,2973
14,State,Manipur,20,0,87,13,12,107,25,132
15,State,Meghalaya,0,0,42,0,0,42,0,42
16,State,Mizoram,0,0,68,0,10,68,10,78
17,State,Nagaland,0,0,21,8,8,21,16,37
18,State,Orissa,8,1,52,0,0,60,1,61
19,State,Punjab,0,0,34,0,0,34,0,34
20,State,Rajasthan,0,0,1809,31,27,1809,58,1867
21,State,Sikkim,7,0,46,3,0,53,3,56
22,State,Tamil Nadu,113,0,484,33,191,597,224,821
23,State,Tripura,0,0,135,10,0,135,10,145
24,State,Uttar Pradesh,18,0,121,2,1,139,3,142
25,State,West Bengal,2,0,1595,13,50,1597,63,1660
Total (States),State,Total (States),1544,127,18468,625,1699,20012,2451,22463
26,UT,A & N Islands,0,0,26,0,0,26,0,26
27,UT,Chandigarh,0,0,0,0,2,0,2,2
28,UT,D & N Haveli,1,0,6,1,0,7,1,8
29,UT,Daman & Diu,0,0,1,0,0,1,0,1
30,UT,Delhi,0,0,67,3,69,67,72,139
31,UT,Lakshadweep,0,0,0,0,0,0,0,0
32,UT,Pondicherry,3,0,25,1,24,28,25,53
Total (UTs),UT,Total (UTs),4,0,125,5,95,129,100,229
Total (All-India),Total (All-India),Total (All-India),1548,127,18593,630,1794,20141,2551,22692
33,City,Ahmedabad,19,2,145,13,32,164,47,211
34,City,Bangalore,13,0,42,4,42,55,46,101
35,City,Bombay,68,8,180,21,4,257,33,290
36,City,Calcutta,2,0,22,1,0,24,1,25
37,City,Delhi,0,0,67,3,69,67,72,139
38,City,Hyderabad,0,0,0,0,0,0,0,0
39,City,Jaipur,2,2,25,1,0,27,3,30
40,City,Kanpur,10,0,49,2,0,59,2,61
41,City,Lucknow,0,0,0,0,0,0,0,0
42,City,Madras,0,0,67,5,14,67,19,86
43,City,Nagpur,0,0,27,0,7,27,7,34
44,City,Pune,19,0,57,0,0,76,0,76
