SL. No.,Category,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs and Psychotropic Substances Act - Male,Narcotic Drugs and Psychotropic Substances Act - Female,Narcotic Drugs and Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives and Explosive Substances Act - Male,Explosives and Explosive Substances Act - Female,Explosives and Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Foreigners Registration Act - Male,Foreigners Registration Act - Female,Foreigners Registration Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other LSL Crimes - Male,Other LSL Crimes - Female,Other LSL Crimes - Total,Total Cognizable Crimes Under LSL - Male,Total Cognizable Crimes Under LSL - Female,Total Cognizable Crimes Under LSL - Total
1,State,Andhra Pradesh,458,0,458,0,0,0,35359,0,35359,3235,155,3390,0,4,4,422,0,422,791,899,1690,1080,137,1217,2,0,2,245,0,245,0,0,0,16,0,16,33,0,33,0,0,0,22,15,37,615863,4444,620307,657526,5654,663180
2,State,Arunachal Pradesh,14,0,14,7,0,7,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,11,0,11,56,0,56
3,State,Assam,380,0,380,32,1,33,817,5,822,809,3,812,160,0,160,154,0,154,2,3,5,24,0,24,0,0,0,0,0,0,24,0,24,59,0,59,511,0,511,0,0,0,17,2,19,1880,0,1880,4869,14,4883
4,State,Bihar,4018,0,4018,109,0,109,1671,0,1671,2299,30,2329,4,0,4,654,3,657,25,31,56,702,7,709,15,0,15,18,0,18,0,0,0,583,0,583,0,0,0,0,0,0,569,34,603,5303,33,5336,15970,138,16108
5,State,Goa,6,0,6,105,12,117,1344,0,1344,4,0,4,0,0,0,1,0,1,4,190,194,65,0,65,10,1,11,1,0,1,21,0,21,1,0,1,0,0,0,0,0,0,0,0,0,1112,12,1124,2674,215,2889
6,State,Gujarat,461,1,462,592,24,616,31248,20,31268,0,0,0,110512,24798,135310,124,6,130,15,14,29,597,13,610,186,15,201,191,4,195,35,0,35,542,2,544,139,1,140,0,0,0,0,0,0,35147,2231,37378,179789,27129,206918
7,State,Haryana,1067,0,1067,1060,8,1068,4248,0,4248,11833,86,11919,0,0,0,20,0,20,0,0,0,860,2,862,0,1,1,3,0,3,5,0,5,239,0,239,78,0,78,0,0,0,0,0,0,1211,0,1211,20624,97,20721
8,State,Himachal Pradesh,36,0,36,104,0,104,152,0,152,4030,92,4122,0,0,0,8,0,8,0,0,0,0,0,0,14,0,14,17,3,20,0,0,0,74,0,74,2,0,2,0,0,0,5,0,5,466,0,466,4908,95,5003
9,State,Jammu & Kashmir,127,0,127,315,1,316,417,0,417,33,0,33,0,0,0,15,0,15,0,0,0,3,0,3,1,0,1,8,0,8,71,10,81,1358,0,1358,422,0,422,0,0,0,0,0,0,709,27,736,3479,38,3517
10,State,Karnataka,79,0,79,31,1,32,16368,0,16368,2328,72,2400,0,0,0,101,0,101,156,3231,3387,51,0,51,204,16,220,2119,120,2239,43,0,43,728,0,728,0,0,0,1,0,1,359,50,409,205645,1332,206977,228213,4822,233035
