SL. No.,Category,State/UT/City,Arrested & Sent to Courts,Sent to Home After Advice or Admonition,Released on Probation and Placed Under Care of - Parents/ Guardians,Released on Probation and Placed Under Care of - Fit Instt.,Sent to Special Homes,Dealth with Fine,Acquitted or Otherwise Disposed of,Pending Disposal
1,State,Andhra Pradesh,2859,136,704,67,85,588,459,820
2,State,Arunachal Pradesh,49,5,17,0,0,4,12,11
3,State,Assam,1356,25,0,6,0,4,97,1224
4,State,Bihar,4558,1758,750,173,12,197,378,1290
5,State,Goa,119,9,7,1,6,23,66,7
6,State,Gujarat,2046,96,174,67,45,369,336,959
7,State,Haryana,362,47,45,54,0,49,15,152
8,State,Himachal Pradesh,108,15,30,0,0,15,20,28
9,State,Jammu & Kashmir,20,5,0,0,0,0,5,10
10,State,Karnataka,2416,38,41,50,19,99,212,1957
11,State,Kerala,439,0,9,3,0,15,101,311
12,State,Madhya Pradesh,5717,716,826,201,29,988,849,2108
13,State,Maharashtra,5343,933,1653,1166,454,899,0,238
14,State,Manipur,148,22,50,25,15,16,9,11
15,State,Meghalaya,42,0,0,0,5,0,10,27
16,State,Mizoram,80,2,0,0,11,0,17,50
17,State,Nagaland,39,17,9,8,0,0,5,0
18,State,Orissa,197,9,56,0,33,0,44,55
19,State,Punjab,98,5,10,0,0,27,31,25
20,State,Rajasthan,2284,20,35,71,77,22,371,1688
21,State,Sikkim,107,0,0,0,0,0,0,107
22,State,Tamil Nadu,6792,81,2865,329,74,1126,385,1932
23,State,Tripura,145,0,18,0,0,0,127,0
24,State,Uttar Pradesh,237,33,5,8,31,20,59,81
25,State,West Bengal,2158,10,10,0,5,202,174,1757
Total (States),State,Total (States),37719,3982,7314,2229,901,4663,3782,14848
26,UT,A & N Islands,59,4,0,0,0,0,10,45
27,UT,Chandigarh,2,0,0,0,0,0,2,0
28,UT,D & N Haveli,8,0,0,0,0,0,5,3
29,UT,Daman & Diu,1,0,1,0,0,0,0,0
30,UT,Delhi,173,19,34,0,12,25,39,44
31,UT,Lakshadweep,0,0,0,0,0,0,0,0
32,UT,Pondicherry,206,4,31,0,7,153,11,0
Total (UTs),UT,Total (UTs),449,27,66,0,19,178,67,92
Total (All-India),Total (All-India),Total (All-India),38168,4009,7380,2229,920,4841,3849,14940
33,City,Ahmedabad,529,32,103,12,5,205,56,116
34,City,Bangalore,292,18,20,18,3,0,175,58
35,City,Bombay,1359,8,753,18,0,1,57,522
36,City,Calcutta,36,10,10,0,5,0,8,3
37,City,Delhi,173,19,34,0,12,25,39,44
38,City,Hyderabad,0,0,0,0,0,0,0,0
39,City,Jaipur,31,18,13,0,0,0,0,0
40,City,Kanpur,109,0,68,0,6,14,21,0
41,City,Lucknow,0,0,0,0,0,0,0,0
42,City,Madras,804,0,4,0,0,631,91,78
43,City,Nagpur,215,0,0,0,23,0,0,192
44,City,Pune,133,18,41,0,16,13,0,45
