SL. No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Total - Male,Kidnapping & Abduction - Total - Female,Kidnapping & Abduction - Total - Total,Kidnapping & Abduction - Of Women & Girls - Male,Kidnapping & Abduction - Of Women & Girls - Female,Kidnapping & Abduction - Of Women & Girls - Total,Kidnapping & Abduction - Of Others - Male,Kidnapping & Abduction - Of Others - Female,Kidnapping & Abduction - Of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly for Dacoity - Male,Preparation & Assembly for Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
1,State,Andhra Pradesh,6309,166,6475,2985,32,3017,48,2,50,751,1,752,991,28,1019,603,27,630,388,1,389,1305,0,1305,8,0,8,1220,1,1221,5241,25,5266,11866,264,12130,42739,595,43334,534,4,538,1567,23,1590,37,0,37,76584,3593,80177,152185,4734,156919
2,State,Arunachal Pradesh,54,2,56,8,0,8,14,0,14,18,0,18,48,0,48,28,0,28,20,0,20,42,0,42,0,0,0,45,0,45,171,2,173,332,5,337,36,0,36,22,0,22,25,0,25,0,0,0,967,17,984,1782,26,1808
3,State,Assam,1638,10,1648,379,0,379,24,0,24,399,0,399,1033,18,1051,986,18,1004,47,0,47,1575,0,1575,204,0,204,1217,0,1217,4759,7,4766,8195,17,8212,16240,33,16273,406,0,406,511,0,511,16,0,16,21030,26,21056,57626,111,57737
4,State,Bihar,7564,91,7655,8788,53,8841,667,19,686,1313,0,1313,2849,188,3037,2233,185,2418,616,3,619,8413,7,8420,742,0,742,3695,0,3695,8525,24,8549,28174,198,28372,81626,552,82178,1765,6,1771,2020,26,2046,9,0,9,72050,327,72377,228200,1491,229691
5,State,Goa,50,9,59,19,0,19,11,0,11,18,1,19,44,1,45,16,1,17,28,0,28,32,0,32,0,0,0,42,0,42,304,6,310,676,48,724,890,181,1071,59,6,65,40,3,43,0,0,0,1859,157,2016,4044,412,4456
6,State,Gujarat,2512,164,2676,1556,62,1618,14,10,24,223,5,228,767,54,821,594,53,647,173,1,174,694,15,709,0,0,0,917,8,925,4642,155,4797,11402,511,11913,10837,545,11382,1743,25,1768,1002,46,1048,34,0,34,74940,3914,78854,111283,5514,116797
7,State,Haryana,1041,47,1088,714,19,733,299,7,306,214,3,217,266,5,271,194,5,199,72,0,72,99,0,99,12,0,12,202,0,202,1813,36,1849,3182,70,3252,2170,43,2213,240,1,241,588,18,606,1,0,1,25180,649,25829,36021,898,36919
8,State,Himachal Pradesh,160,15,175,64,4,68,36,0,36,46,2,48,79,1,80,68,1,69,11,0,11,9,0,9,0,0,0,25,0,25,465,3,468,425,41,466,1294,130,1424,90,0,90,83,1,84,0,0,0,5939,819,6758,8715,1016,9731
9,State,Jammu & Kashmir,280,20,300,1154,16,1170,68,0,68,219,0,219,748,0,748,748,0,748,0,0,0,61,0,61,0,0,0,51,0,51,1011,0,1011,4217,23,4240,8655,728,9383,268,0,268,361,0,361,0,0,0,20823,1116,21938,37916,1903,39819
10,State,Karnataka,2624,122,2746,984,13,997,70,6,76,258,17,275,459,16,475,412,14,426,47,2,49,650,16,666,0,0,0,606,5,611,3189,39,3228,7361,163,7524,54094,1811,55905,603,7,610,964,15,979,23,0,23,69854,2195,72049,141739,4425,146164
