SL. No.,Category,State/UT/City,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,State,Andhra Pradesh,1272.6,574.3,45.1
2,State,Arunachal Pradesh,36.1,16,44.3
3,State,Assam,773.8,101.3,13.1
4,State,Bihar,1216.5,124,10.2
5,State,Goa,191.9,40.6,21.2
6,State,Gujarat,1885.5,480.6,25.5
7,State,Haryana,706.9,479.4,67.8
8,State,Himachal Pradesh,184.1,65.4,35.5
9,State,Jammu & Kashmir,347.1,219.6,63.3
10,State,Karnataka,1321.9,622.4,47.1
11,State,Kerala,929.1,220.6,23.7
12,State,Madhya Pradesh,1916.4,635.2,33.1
13,State,Maharashtra,6787.5,1559.7,23
14,State,Manipur,663.8,6.4,1
15,State,Meghalaya,43.8,12.7,29
16,State,Mizoram,71.2,31.1,43.7
17,State,Nagaland,202.7,30.8,15.2
18,State,Orissa,452.9,143.7,31.7
19,State,Punjab,1239.3,623.3,50.3
20,State,Rajasthan,1062.3,643.1,60.5
21,State,Sikkim,13.9,5.9,42.4
22,State,Tamil Nadu,1179.3,698,59.2
23,State,Tripura,76.7,2.1,2.7
24,State,Uttar Pradesh,7655.4,895.8,11.7
25,State,West Bengal,1282,400.3,31.2
Total (States),State,Total (States),31512.6,8632.7,27.4
26,UT,A & N Islands,11.2,4.2,37.5
27,UT,Chandigarh,101.7,56.7,55.8
28,UT,D & N Haveli,11.4,0.5,4.4
29,UT,Daman & Diu,12.4,0.2,1.6
30,UT,Delhi,1394.9,350,25.1
31,UT,Lakshadweep,1.2,1,83.3
32,UT,Pondicherry,38.2,11.4,29.8
Total (UTs),UT,Total (UTs),1571,424,27
Total (All-India),Total (All-India),Total (All-India),33083.6,9056.7,27.4
33,City,Ahmedabad,412.2,97.1,23.6
34,City,Bangalore,526.4,275.5,52.3
35,City,Bombay,3624.2,827.1,22.8
36,City,Calcutta,923.3,350.7,38
37,City,Delhi,1353.9,330.5,24.4
38,City,Hyderabad,217.6,101.5,46.6
39,City,Jaipur,119.2,70.4,59.1
40,City,Kanpur,378.9,129.3,34.1
41,City,Lucknow,1784.2,55.6,3.1
42,City,Madras,295.6,194.3,65.7
43,City,Nagpur,198.7,45.1,22.7
44,City,Pune,184.2,51.5,28
