SL. No.,Crime Head,Total Number of Persons Under Arrest* Including those from Previous Year,Persons Released before Trial - Number,Persons Released before Trial - Percentage to Total,Persons Chargesheeted - Number,Persons Chargesheeted - Percentage to Total,Persons Under Investigation at the End of the Year - Number,Persons Under Investigation at the End of the Year - Percentage to Total
1,Murder,88342,4615,5.2,61872,70,21855,24.7
2,Attempt to Commit Murder,65519,1873,2.9,49311,75.3,14335,21.9
3,C.H. Not Amounting to Murder,11241,679,6,7835,69.7,2727,24.3
4,Rape,16444,795,4.8,11874,72.2,3775,23
5,Kidnapping & Abduction,26828,3028,11.3,17851,66.5,5949,22.2
5,I) Of Women & Girls,23334,2717,11.6,15346,65.8,5271,22.6
5,II) Of Others,3494,311,8.9,2505,71.7,678,19.4
6,Dacoity,46206,8166,17.7,26739,57.9,11301,24.5
7,Preparation & Assembly for Dacoity,5120,313,6.1,3337,65.2,1470,28.7
8,Robbery,35754,4898,13.7,23225,65,7631,21.3
9,Burglary,108752,13388,12.3,78976,72.6,16388,15.1
10,Theft,257394,36518,14.2,179345,69.7,41531,16.1
11,Riots,727045,52709,7.2,527462,72.5,146874,20.2
12,Criminal Breach of Trust,25265,1476,5.8,14973,59.3,8816,34.9
13,Cheating,29824,2313,7.8,18074,60.6,9437,31.6
14,Counterfeiting,1386,206,14.9,462,33.3,718,51.8
15,Other IPC Crimes not Included Above,1443526,53006,3.7,1209993,83.8,180527,12.5
16,Total Cognizable Crimes Under IPC,2888646,183983,6.4,2231329,77.2,473334,16.4
