SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Seas - Number,River & Seas - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishment - Number,Commercial Establishment - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,5588,327,0,0,0,0,1,0,1,0,562,23.3,1354,20.9,7506,372.1
2,State,Arunachal Pradesh,35,0.4,27,0.2,10,0,0,0,0,0,12,0.2,186,1.4,260,2.1
3,State,Assam,2593,54.3,360,24.3,0,0.2,15,0.4,0,0,325,243.6,290,149.5,3593,472.4
4,State,Bihar,8154,173.7,0,0,0,0,61,0.6,0,0,658,22,190,0.6,9063,196.9
5,State,Goa,324,21.9,0,0,0,0,0,0,3,0.4,59,5.9,125,18.6,511,46.7
6,State,Gujarat,3306,268.4,0,0,0,0,0,0,4,0,647,26.4,1477,61.2,5434,356
7,State,Haryana,1617,126.2,0,0,0,0,0,0,1,0,76,1.4,298,19.9,1992,147.5
8,State,Himachal Pradesh,451,23.4,0,0,0,0,0,0,0,0,339,33.5,0,0,790,56.9
9,State,Jammu & Kashmir,1266,47,0,0,0,0,0,0,1,0,57,7.2,244,29.1,1568,83.2
10,State,Karnataka,5245,238.8,0,0,9,0,0,0,45,1.3,436,13.3,1936,86.8,7671,340.3
11,State,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,4587,418.9,4587,418.9
12,State,Madhya Pradesh,12852,267.4,9,0.2,0,0,6,0.1,0,0,355,9.2,5698,140.7,18920,417.6
13,State,Maharashtra,12472,949.3,8,1.6,0,0,5,0,0,0,730,178.5,3577,186.9,16792,1316.2
14,State,Manipur,92,6.9,0,0,0,0,0,0,1,0,28,1,64,625,185,632.9
15,State,Meghalaya,88,2.7,0,0,0,0,0,0,0,0,34,0.9,64,1.9,186,5.6
16,State,Mizoram,132,3.4,0,0,0,0,0,0,0,0,1,0.4,19,1.1,152,4.9
17,State,Nagaland,162,9.6,0,0,0,0,0,0,0,0,50,9.7,69,100.2,281,119.5
18,State,Orissa,1846,68.4,0,0,0,0,0,0,0,0,15,0.9,2764,58.4,4625,127.7
19,State,Punjab,1200,177.3,0,0,0,0,0,0,7,0.2,171,22.1,162,44.1,1540,243.7
20,State,Rajasthan,3637,199.5,0,0,0,0,8,5.6,0,0,27,0.3,3055,118.1,6727,323.6
21,State,Sikkim,23,1.9,0,0,0,0,0,0,0,0,4,0.1,12,0.2,39,2.2
22,State,Tamil Nadu,6475,248.6,0,0,0,0,11,0.3,17,0.4,298,16.8,1134,47.6,7935,313.8
23,State,Tripura,565,3.3,31,0.4,0,0,0,0,0,0,65,1,160,10.3,821,15
24,State,Uttar Pradesh,15712,757.5,137,6.1,0,0,8,0,0,0,87,5.5,3043,44.6,18987,813.7
25,State,West Bengal,321,20.3,0,0,0,0,0,0,0,0,54,3.5,1534,17.7,1909,41.5
Total (States),State,Total (States),84156,3998.3,572,32.8,19,0.2,115,7.1,80,2.3,5090,626.5,32042,2203.6,122074,6870.8
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,109,3.7,109,3.7
27,UT,Chandigarh,203,17.8,0,0,0,0,0,0,0,0,15,1,15,1.2,233,20
28,UT,D & N Haveli,11,0.2,0,0,0,0,0,0,0,0,0,0,90,0.5,101,0.7
29,UT,Daman & Diu,11,0.6,0,0,0,0,0,0,0,0,0,0,0,0,11,0.6
30,UT,Delhi,1151,40,4,0.6,0,0,0,0,0,0,58,1.8,378,25.6,1591,168
31,UT,Lakshadweep,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
32,UT,Pondicherry,161,5.1,0,0,0,0,0,0,0,0,0,0,22,0.1,183,5.2
Total (UTs),UT,Total (UTs),1538,163.7,4,0.6,0,0,0,0,0,0,73,2.8,615,31.1,2230,198.2
Total (All-India),Total (All-India),Total (All-India),85694,4162,576,33.4,19,0.2,115,7.1,80,2.3,5163,629.3,32657,2234.7,124304,7069
33,City,Ahmedabad,576,46.8,0,0,0,0,0,0,0,0,26,2.5,101,9.5,703,58.8
34,City,Bangalore,960,72.3,0,0,0,0,0,0,0,0,252,2,578,38,1790,112.2
35,City,Bombay,1486,378.7,6,1.4,0,0,0,0,0,0,334,149.6,494,78.5,2320,608.2
36,City,Calcutta,321,20.3,0,0,0,0,0,0,0,0,54,3.5,12,0.9,387,24.8
37,City,Delhi,1131,139.2,4,0.6,0,0,0,0,0,0,58,1.8,255,16,1448,157.6
38,City,Hyderabad,918,83.5,0,0,0,0,0,0,0,0,233,0.4,0,0,1151,84
39,City,Jaipur,473,33.2,0,0,0,0,0,0,0,0,0,0,0,0,473,33.2
40,City,Kanpur,411,26.6,0,0,0,0,0,0,0,0,60,3.2,48,2.2,519,32
41,City,Lucknow,526,35.7,0,0,0,0,0,0,0,0,0,0,0,0,526,35.7
42,City,Madras,287,15.4,0,0,0,0,0,0,0,0,17,5,62,2.7,366,23.1
43,City,Nagpur,813,49.1,0,0,0,0,0,0,0,0,0,0,0,0,813,49.1
44,City,Pune,760,36.2,0,0,0,0,0,0,2,0.1,0,0,178,3.2,940,39.4
