SL. No. (Col. 1),Crime Head (Col. 2),Total Number of Persons Under Trial Including those from Previous Year (Col. 3),Number of Persons whose - Cases Compounded or Withdrawn (Col. 4),Number of Persons whose - Trial Completed (Col. 5),Number of Persons whose - Trial Remained Pending (Col. 6),Number of Persons Convicted (Col. 7),Percentage of Persons - Whose Trials Remained Pending [Col. 6*100/Col. 3] (Col. 8),Percentage of Persons - Convicted to Trials Completed [Col. 7*100/Col. 5] (Col. 9)
1,Arms Act,205425,1903,53409,150113,34352,73.1,64.3
2,Narcotic Drugs & Psychotropic Substances Act,37812,672,9272,27868,3809,73.7,41.1
3,Gambling Act,663453,4985,336921,321547,290983,48.5,86.4
4,Excise Act,286124,7493,107680,170951,74448,59.7,69.1
5,Prohibition Act,1319736,31551,262734,1025451,147829,77.7,56.3
6,Explosive & Explosive Substances Act,13577,442,3133,10002,1638,73.7,52.3
7,Immoral Traffic (Prevention) Act,27880,421,15384,12075,13789,43.3,89.6
8,Indian Railways Act,48950,821,33665,14464,32521,29.5,96.6
9,Foreigner's Registration Act,1014,13,484,517,383,51,79.1
10,Protection Of Civil Rights Act,12167,256,3380,8531,1032,70.1,30.5
11,Indian Passport Act,908,4,404,500,350,55.1,86.6
12,Essential Commodities Act,22589,544,4230,17815,2043,78.9,48.3
13,Terrorist & Disruptive Activites Act,1380,107,276,997,76,72.2,27.5
14,Antiquity & Art Treasure Act,4,0,1,3,0,75,0
15,Dowry Prohibition Act,5394,94,684,4616,336,85.6,49.1
16,Other LSL Crimes not Include Above,3188863,64222,2455625,669016,2326941,21,94.8
17,Total Cognizable Crimes Under LSL,5835276,113528,3287282,2434466,2930530,41.7,89.1
